stream,view,mode,roc_auc
RBF_I,features,concept,0.519109866770406
RBF_I,features,instance,0.5000621979435781
RBF_I,features,splice,0.500422761806799
RBF_I,features_label,concept,0.5051118340074411
RBF_I,features_label,instance,0.43981387095749025
RBF_I,features_label,splice,0.49705106655653847
SEA_A,features,concept,0.5002268499442981
SEA_A,features,instance,0.5008762009656715
SEA_A,features,splice,0.49977526368414316
SEA_A,features_label,concept,0.7110741193061467
SEA_A,features_label,instance,0.932967038681038
SEA_A,features_label,splice,0.5003582174102181
radar,features,concept,0.9971013526025952
radar,features,instance,0.49959779092927736
radar,features,splice,0.5191393752483269
radar,features_label,concept,0.9354562341310408
radar,features_label,instance,0.23210879830431427
radar,features_label,splice,0.5272135907236035
