stream,detector,arm,mode,level,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.45160520799981896,,
RBF_I,adwin,confirmed,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.4620389160118066,,
RBF_I,adwin,confirmed,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.4591674169932958,,
RBF_I,adwin,confirmed,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.47933183300483506,,
RBF_I,adwin,error_rule,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.7272727272727273,1.0,11400.0,0.43766366700583603,,
RBF_I,adwin,error_rule,clean,none,0.05,1,0.37430018802141235,0.38354066985645935,,0.5454545454545454,2.0,11400.0,0.4461079159955261,,
RBF_I,adwin,error_rule,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.443975500005763,,
RBF_I,adwin,error_rule,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.4644565829948988,,
RBF_I,adwin,no_reset,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.4430654999887338,,
RBF_I,adwin,no_reset,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.4614970839902526,,
RBF_I,adwin,no_reset,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.4736035000096308,,
RBF_I,adwin,no_reset,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.48788000000058673,,
RBF_I,adwin,q_alarm_7,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.4426223330083303,,
RBF_I,adwin,q_alarm_7,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.4553630419977708,,
RBF_I,adwin,q_alarm_7,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.44934120900870766,,
RBF_I,adwin,q_alarm_7,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.46374479100632016,,
RBF_I,adwin,q_alarm_persistence_7,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.445384708000347,,
RBF_I,adwin,q_alarm_persistence_7,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.4601887919998262,,
