state,action,q_value,selected,visits,mean_reward,rejected_fraction,dataset,detector,variant,seed
0,update,7.628167490431303,True,966,0.9133954451345756,0.3167701863354037,SEA_A,adwin,alarm,7
0,reset,7.555412514421325,False,280,0.9181428571428571,0.3714285714285714,SEA_A,adwin,alarm,7
1,update,8.045718855141224,True,387,0.902222222222222,0.3901808785529715,SEA_A,adwin,alarm,7
1,reset,6.655394340296606,False,19,0.9199999999999998,0.7368421052631579,SEA_A,adwin,alarm,7
0,update,7.690887443097706,True,814,0.9132186732186732,0.2874692874692874,SEA_A,adwin,alarm,17
0,reset,7.6145241120282945,False,434,0.9187096774193548,0.4516129032258064,SEA_A,adwin,alarm,17
1,update,7.904320088362791,True,389,0.9038046272493574,0.3984575835475578,SEA_A,adwin,alarm,17
1,reset,5.792700515970911,False,15,0.892,0.6,SEA_A,adwin,alarm,17
0,update,7.520843643553354,False,919,0.912361262241567,0.2818280739934711,SEA_A,adwin,alarm,27
0,reset,8.149971991905158,True,331,0.9201812688821752,0.3655589123867069,SEA_A,adwin,alarm,27
1,update,7.576920356169505,True,381,0.904461942257218,0.4435695538057743,SEA_A,adwin,alarm,27
1,reset,6.71828256150972,False,21,0.9066666666666668,0.8571428571428571,SEA_A,adwin,alarm,27
00,update,7.419866177837176,True,810,0.9161975308641976,0.3074074074074074,SEA_A,adwin,alarm_persistence,7
00,reset,7.296594209328781,False,297,0.9222895622895624,0.4141414141414141,SEA_A,adwin,alarm_persistence,7
01,update,7.842322734096606,True,132,0.8825757575757576,0.1439393939393939,SEA_A,adwin,alarm_persistence,7
01,reset,1.4269464708286894,False,3,0.92,0.3333333333333333,SEA_A,adwin,alarm_persistence,7
10,update,7.717400554153553,True,213,0.9130516431924884,0.4131455399061033,SEA_A,adwin,alarm_persistence,7
10,reset,3.9704165954165953,False,10,0.926,0.9,SEA_A,adwin,alarm_persistence,7
11,update,7.651107803112452,True,179,0.8870391061452513,0.3966480446927374,SEA_A,adwin,alarm_persistence,7
11,reset,3.833275065183103,False,8,0.9175,0.625,SEA_A,adwin,alarm_persistence,7
00,update,7.498697432214391,True,852,0.9214319248826291,0.3896713615023474,SEA_A,adwin,alarm_persistence,17
00,reset,7.381303405784728,False,229,0.9207860262008734,0.4585152838427948,SEA_A,adwin,alarm_persistence,17
01,update,7.797212790349513,True,136,0.8810294117647058,0.213235294117647,SEA_A,adwin,alarm_persistence,17
01,reset,3.168506466976562,False,7,0.8742857142857143,0.4285714285714285,SEA_A,adwin,alarm_persistence,17
10,update,5.416169493616011,False,15,0.94,0.4,SEA_A,adwin,alarm_persistence,17
10,reset,7.877973481506508,True,220,0.9190909090909092,0.7545454545454545,SEA_A,adwin,alarm_persistence,17
11,update,7.329668842109749,True,187,0.8925133689839571,0.5561497326203209,SEA_A,adwin,alarm_persistence,17
11,reset,2.7837955820356712,False,6,0.91,0.5,SEA_A,adwin,alarm_persistence,17
00,update,7.246223033347435,False,807,0.917819083023544,0.2850061957868649,SEA_A,adwin,alarm_persistence,27
00,reset,7.7925363521443165,True,299,0.9213377926421406,0.391304347826087,SEA_A,adwin,alarm_persistence,27
01,update,7.908387587032742,True,136,0.8744117647058823,0.1838235294117647,SEA_A,adwin,alarm_persistence,27
01,reset,2.330239967511725,False,4,0.8500000000000001,0.5,SEA_A,adwin,alarm_persistence,27
10,update,7.95672492623559,True,214,0.9125233644859816,0.4065420560747663,SEA_A,adwin,alarm_persistence,27
10,reset,4.90822592431514,False,13,0.926153846153846,0.7692307692307693,SEA_A,adwin,alarm_persistence,27
11,update,7.206777788235413,True,171,0.8943859649122807,0.3625730994152046,SEA_A,adwin,alarm_persistence,27
11,reset,3.459068640169192,False,8,0.8775,1.0,SEA_A,adwin,alarm_persistence,27
0,update,7.660799630823207,True,892,0.9090582959641256,0.3385650224215246,SEA_A,d3_oof,alarm,7
0,reset,7.621353322596824,False,744,0.9172849462365592,0.4798387096774194,SEA_A,d3_oof,alarm,7
1,update,5.844565547034679,True,15,0.9186666666666669,0.0666666666666666,SEA_A,d3_oof,alarm,7
1,reset,0.4676375704803795,False,1,0.98,0.0,SEA_A,d3_oof,alarm,7
0,update,7.347111886765493,False,855,0.9089590643274856,0.2947368421052631,SEA_A,d3_oof,alarm,17
0,reset,7.4875105695441935,True,782,0.9158823529411764,0.4782608695652174,SEA_A,d3_oof,alarm,17
1,update,5.933962106577244,True,15,0.912,0.0666666666666666,SEA_A,d3_oof,alarm,17
1,reset,0.0,False,0,,,SEA_A,d3_oof,alarm,17
0,update,7.330302409025009,False,958,0.9102296450939458,0.3246346555323591,SEA_A,d3_oof,alarm,27
0,reset,7.683889168996038,True,675,0.9140148148148148,0.4622222222222222,SEA_A,d3_oof,alarm,27
1,update,6.3648168523829565,True,19,0.8978947368421052,0.1052631578947368,SEA_A,d3_oof,alarm,27
1,reset,0.0,False,0,,,SEA_A,d3_oof,alarm,27
00,update,7.45574328814574,True,911,0.9165751920965972,0.3523600439077936,SEA_A,d3_oof,alarm_persistence,7
00,reset,7.369042188172727,False,413,0.9213559322033896,0.4285714285714285,SEA_A,d3_oof,alarm_persistence,7
01,update,7.867059585502999,True,295,0.8852881355932203,0.3186440677966101,SEA_A,d3_oof,alarm_persistence,7
01,reset,4.975205069749122,False,12,0.9166666666666666,0.5833333333333334,SEA_A,d3_oof,alarm_persistence,7
10,update,5.055975041002737,True,13,0.9107692307692308,0.0769230769230769,SEA_A,d3_oof,alarm_persistence,7
10,reset,0.4114722469450127,False,1,0.98,0.0,SEA_A,d3_oof,alarm_persistence,7
11,update,3.129671185717399,True,6,0.8999999999999999,0.0,SEA_A,d3_oof,alarm_persistence,7
11,reset,0.8039462109270819,False,1,0.86,0.0,SEA_A,d3_oof,alarm_persistence,7
00,update,7.181868619022591,True,898,0.9161469933184856,0.3307349665924276,SEA_A,d3_oof,alarm_persistence,17
00,reset,7.041289757400061,False,421,0.9192399049881236,0.4750593824228028,SEA_A,d3_oof,alarm_persistence,17
01,update,7.012027788139995,True,303,0.8888448844884488,0.3069306930693069,SEA_A,d3_oof,alarm_persistence,17
01,reset,4.904901717847392,False,11,0.8872727272727274,0.3636363636363636,SEA_A,d3_oof,alarm_persistence,17
10,update,5.435812770352246,True,14,0.9185714285714284,0.0714285714285714,SEA_A,d3_oof,alarm_persistence,17
10,reset,0.7322036616241102,False,1,0.9,0.0,SEA_A,d3_oof,alarm_persistence,17
11,update,2.366413074276042,True,4,0.865,0.25,SEA_A,d3_oof,alarm_persistence,17
11,reset,0.0,False,0,,,SEA_A,d3_oof,alarm_persistence,17
00,update,7.200484466837816,False,857,0.916289381563594,0.3033838973162194,SEA_A,d3_oof,alarm_persistence,27
00,reset,8.002110856860348,True,464,0.9200862068965516,0.4741379310344827,SEA_A,d3_oof,alarm_persistence,27
01,update,7.246488954444881,True,297,0.887878787878788,0.303030303030303,SEA_A,d3_oof,alarm_persistence,27
01,reset,4.653341566456636,False,11,0.870909090909091,0.9090909090909092,SEA_A,d3_oof,alarm_persistence,27
10,update,4.857085727128416,True,13,0.9307692307692308,0.1538461538461538,SEA_A,d3_oof,alarm_persistence,27
10,reset,0.0,False,0,,,SEA_A,d3_oof,alarm_persistence,27
11,update,4.494462637457943,True,10,0.876,0.0,SEA_A,d3_oof,alarm_persistence,27
11,reset,0.0,False,0,,,SEA_A,d3_oof,alarm_persistence,27
0,update,7.589438337717269,True,792,0.9125,0.2967171717171717,SEA_A,hddm_w,alarm,7
0,reset,7.566140639837092,False,479,0.9183298538622128,0.407098121085595,SEA_A,hddm_w,alarm,7
1,update,8.114702086153349,True,363,0.9025895316804408,0.4269972451790633,SEA_A,hddm_w,alarm,7
1,reset,6.463772010791512,False,18,0.93,0.6666666666666666,SEA_A,hddm_w,alarm,7
0,update,7.482625598479209,False,1003,0.9159322033898306,0.3320039880358923,SEA_A,hddm_w,alarm,17
0,reset,7.783252424885015,True,281,0.9162989323843416,0.4483985765124555,SEA_A,hddm_w,alarm,17
1,update,6.834077285684301,False,22,0.9181818181818184,0.4090909090909091,SEA_A,hddm_w,alarm,17
1,reset,7.740912418061445,True,346,0.8995953757225433,0.6907514450867052,SEA_A,hddm_w,alarm,17
0,update,7.649505131952148,False,940,0.9125957446808513,0.2872340425531915,SEA_A,hddm_w,alarm,27
0,reset,8.17041201468634,True,337,0.918160237388724,0.3679525222551928,SEA_A,hddm_w,alarm,27
1,update,7.49394801725951,True,356,0.9046629213483148,0.3764044943820224,SEA_A,hddm_w,alarm,27
1,reset,6.4180476481784865,False,19,0.9147368421052632,0.7894736842105263,SEA_A,hddm_w,alarm,27
00,update,7.333706873631402,True,879,0.9181569965870306,0.3742889647326507,SEA_A,hddm_w,alarm_persistence,7
00,reset,7.302639286697335,False,208,0.9184615384615386,0.3701923076923077,SEA_A,hddm_w,alarm_persistence,7
01,update,7.877401516586425,True,172,0.8840697674418605,0.2790697674418604,SEA_A,hddm_w,alarm_persistence,7
01,reset,2.350304978126774,False,4,0.9,0.5,SEA_A,hddm_w,alarm_persistence,7
10,update,7.818083641260672,True,229,0.9110917030567688,0.5109170305676856,SEA_A,hddm_w,alarm_persistence,7
10,reset,4.038169770112023,False,9,0.9288888888888888,0.6666666666666666,SEA_A,hddm_w,alarm_persistence,7
11,update,4.37247429117408,False,10,0.866,0.3,SEA_A,hddm_w,alarm_persistence,7
11,reset,7.527154445265687,True,141,0.8929078014184397,0.7021276595744681,SEA_A,hddm_w,alarm_persistence,7
00,update,7.311278915785321,False,922,0.9212798264642084,0.3036876355748373,SEA_A,hddm_w,alarm_persistence,17
00,reset,7.427055213232695,True,176,0.9180681818181818,0.4602272727272727,SEA_A,hddm_w,alarm_persistence,17
01,update,7.713459152057687,True,182,0.8813186813186812,0.2252747252747252,SEA_A,hddm_w,alarm_persistence,17
01,reset,3.899369097179289,False,9,0.9022222222222224,0.3333333333333333,SEA_A,hddm_w,alarm_persistence,17
10,update,5.235273044744186,False,14,0.9185714285714284,0.2857142857142857,SEA_A,hddm_w,alarm_persistence,17
10,reset,7.837593826037972,True,186,0.911505376344086,0.6881720430107527,SEA_A,hddm_w,alarm_persistence,17
11,update,7.255797478397548,True,161,0.8873291925465839,0.4099378881987577,SEA_A,hddm_w,alarm_persistence,17
11,reset,1.3444694366736942,False,2,0.87,0.5,SEA_A,hddm_w,alarm_persistence,17
00,update,7.300325950040847,False,738,0.9189972899728996,0.3021680216802168,SEA_A,hddm_w,alarm_persistence,27
00,reset,7.833113658353792,True,364,0.9207142857142858,0.3681318681318681,SEA_A,hddm_w,alarm_persistence,27
01,update,7.9796167979173855,True,163,0.876441717791411,0.1840490797546012,SEA_A,hddm_w,alarm_persistence,27
01,reset,2.6394040460530803,False,5,0.8360000000000001,0.8,SEA_A,hddm_w,alarm_persistence,27
10,update,7.898727816962902,True,220,0.9086363636363636,0.3818181818181818,SEA_A,hddm_w,alarm_persistence,27
10,reset,4.81874130550397,False,13,0.92,0.8461538461538461,SEA_A,hddm_w,alarm_persistence,27
11,update,7.187629395592325,True,143,0.8955244755244756,0.4195804195804196,SEA_A,hddm_w,alarm_persistence,27
11,reset,2.8102253103802126,False,6,0.89,0.8333333333333334,SEA_A,hddm_w,alarm_persistence,27
0,update,7.67192051059213,True,1096,0.9098175182481752,0.3257299270072992,SEA_A,hellinger,alarm,7
0,reset,7.632648500860554,False,443,0.916388261851016,0.437923250564334,SEA_A,hellinger,alarm,7
1,update,8.072670764745483,True,105,0.9116190476190478,0.3904761904761905,SEA_A,hellinger,alarm,7
1,reset,3.780514624769731,False,8,0.93,0.25,SEA_A,hellinger,alarm,7
0,update,7.716906131098977,True,1108,0.9115342960288808,0.3691335740072202,SEA_A,hellinger,alarm,17
0,reset,7.584022919215826,False,440,0.9151363636363636,0.4886363636363636,SEA_A,hellinger,alarm,17
1,update,1.3059504669964572,False,3,0.92,0.3333333333333333,SEA_A,hellinger,alarm,17
1,reset,7.982666614749804,True,101,0.9162376237623764,0.4356435643564356,SEA_A,hellinger,alarm,17
0,update,7.457069384126111,False,997,0.9091273821464394,0.3039117352056169,SEA_A,hellinger,alarm,27
0,reset,7.61879176041374,True,562,0.9141992882562278,0.4661921708185053,SEA_A,hellinger,alarm,27
1,update,8.056708347543454,True,90,0.9157777777777778,0.3777777777777777,SEA_A,hellinger,alarm,27
1,reset,2.229630133862205,False,3,0.9666666666666668,0.6666666666666666,SEA_A,hellinger,alarm,27
00,update,7.405837610246971,True,957,0.916760710553814,0.3375130616509927,SEA_A,hellinger,alarm_persistence,7
00,reset,7.358597080352104,False,272,0.9202941176470588,0.4080882352941176,SEA_A,hellinger,alarm_persistence,7
01,update,7.855950304657052,True,285,0.883438596491228,0.2771929824561403,SEA_A,hellinger,alarm_persistence,7
01,reset,4.839910447026769,False,12,0.9133333333333332,0.5,SEA_A,hellinger,alarm_persistence,7
10,update,7.739824812380098,True,97,0.9150515463917528,0.422680412371134,SEA_A,hellinger,alarm_persistence,7
10,reset,3.420049159745298,False,8,0.93,0.25,SEA_A,hellinger,alarm_persistence,7
11,update,5.96055205949464,True,21,0.897142857142857,0.3333333333333333,SEA_A,hellinger,alarm_persistence,7
11,reset,0.0,False,0,,,SEA_A,hellinger,alarm_persistence,7
00,update,7.3789446695503695,False,929,0.9169429494079656,0.3659849300322927,SEA_A,hellinger,alarm_persistence,17
00,reset,7.467153776365712,True,311,0.9187781350482316,0.472668810289389,SEA_A,hellinger,alarm_persistence,17
01,update,7.760240300743086,True,299,0.8844816053511707,0.3277591973244147,SEA_A,hellinger,alarm_persistence,17
01,reset,4.423867641535079,False,10,0.9,0.5,SEA_A,hellinger,alarm_persistence,17
10,update,0.9246443771916352,False,2,0.89,1.0,SEA_A,hellinger,alarm_persistence,17
10,reset,7.6804478138861025,True,85,0.9174117647058826,0.3764705882352941,SEA_A,hellinger,alarm_persistence,17
11,update,5.186014329542541,True,16,0.915,0.25,SEA_A,hellinger,alarm_persistence,17
11,reset,0.0,False,0,,,SEA_A,hellinger,alarm_persistence,17
00,update,7.339773170771947,False,807,0.9171003717472118,0.3035935563816604,SEA_A,hellinger,alarm_persistence,27
00,reset,7.947208344349346,True,442,0.9191402714932126,0.4479638009049774,SEA_A,hellinger,alarm_persistence,27
01,update,7.24172832851397,True,297,0.8841077441077443,0.2962962962962963,SEA_A,hellinger,alarm_persistence,27
01,reset,4.569537827472582,False,11,0.8672727272727272,0.8181818181818182,SEA_A,hellinger,alarm_persistence,27
10,update,7.683742101470659,True,77,0.9176623376623374,0.3506493506493506,SEA_A,hellinger,alarm_persistence,27
10,reset,2.1230046020752003,False,3,0.94,0.6666666666666666,SEA_A,hellinger,alarm_persistence,27
11,update,5.375759666223304,True,15,0.9066666666666666,0.2666666666666666,SEA_A,hellinger,alarm_persistence,27
11,reset,0.0,False,0,,,SEA_A,hellinger,alarm_persistence,27
0,update,4.615591966576925,False,861,0.5467595818815331,0.2520325203252032,RBF_I,adwin,alarm,7
0,reset,4.88023845743616,True,315,0.5361904761904763,0.492063492063492,RBF_I,adwin,alarm,7
1,update,4.604354664044402,True,455,0.5788131868131868,0.3296703296703296,RBF_I,adwin,alarm,7
1,reset,4.1485366747225525,False,21,0.5695238095238095,0.5714285714285714,RBF_I,adwin,alarm,7
0,update,4.645268539227692,True,955,0.5544083769633508,0.2596858638743455,RBF_I,adwin,alarm,17
0,reset,4.577275411767341,False,184,0.5441304347826087,0.5054347826086957,RBF_I,adwin,alarm,17
1,update,4.824269722015124,True,492,0.5930081300813008,0.2703252032520325,RBF_I,adwin,alarm,17
1,reset,4.245904837273292,False,21,0.6076190476190477,0.7619047619047619,RBF_I,adwin,alarm,17
0,update,4.984279281192855,True,866,0.5431408775981524,0.2655889145496535,RBF_I,adwin,alarm,27
0,reset,4.518104415755833,False,304,0.5317763157894738,0.4440789473684211,RBF_I,adwin,alarm,27
1,update,4.584496688349439,True,461,0.5763123644251628,0.3297180043383948,RBF_I,adwin,alarm,27
1,reset,4.163135422616998,False,21,0.5733333333333334,0.5238095238095238,RBF_I,adwin,alarm,27
00,update,4.371691084477335,False,684,0.5686842105263158,0.2514619883040935,RBF_I,adwin,alarm_persistence,7
00,reset,4.575714151939142,True,50,0.5532,0.56,RBF_I,adwin,alarm_persistence,7
01,update,4.649047254905158,True,401,0.4731670822942643,0.2793017456359102,RBF_I,adwin,alarm_persistence,7
01,reset,3.5224469154974467,False,18,0.4955555555555555,0.6666666666666666,RBF_I,adwin,alarm_persistence,7
10,update,4.742372138902083,True,279,0.5913978494623656,0.2544802867383512,RBF_I,adwin,alarm_persistence,7
10,reset,3.4531741851110183,False,16,0.6,0.5625,RBF_I,adwin,alarm_persistence,7
11,update,3.064777563535882,False,14,0.5485714285714286,0.4285714285714285,RBF_I,adwin,alarm_persistence,7
11,reset,4.292245871382435,True,190,0.5418947368421053,0.7157894736842105,RBF_I,adwin,alarm_persistence,7
00,update,4.394338408689317,True,773,0.5594566623544632,0.2729624838292367,RBF_I,adwin,alarm_persistence,17
00,reset,4.211641958021882,False,32,0.56125,0.4375,RBF_I,adwin,alarm_persistence,17
01,update,3.211488000679928,False,15,0.4293333333333333,0.2,RBF_I,adwin,alarm_persistence,17
01,reset,4.613979254743248,True,386,0.478341968911917,0.5803108808290155,RBF_I,adwin,alarm_persistence,17
10,update,4.415377151534198,True,249,0.5803212851405622,0.2650602409638554,RBF_I,adwin,alarm_persistence,17
10,reset,2.531849035353556,False,8,0.63,0.5,RBF_I,adwin,alarm_persistence,17
11,update,4.650336263452884,True,182,0.5580219780219781,0.3846153846153846,RBF_I,adwin,alarm_persistence,17
11,reset,1.9625979704445484,False,7,0.5000000000000001,0.4285714285714285,RBF_I,adwin,alarm_persistence,17
00,update,4.898104697773586,True,672,0.5794345238095238,0.2470238095238095,RBF_I,adwin,alarm_persistence,27
00,reset,4.49387518407901,False,43,0.5874418604651163,0.5116279069767442,RBF_I,adwin,alarm_persistence,27
01,update,4.627407727341813,True,414,0.4828019323671497,0.2898550724637681,RBF_I,adwin,alarm_persistence,27
01,reset,4.126866997852711,False,23,0.5513043478260868,0.5652173913043478,RBF_I,adwin,alarm_persistence,27
10,update,4.395543853666666,True,292,0.6008219178082191,0.2157534246575342,RBF_I,adwin,alarm_persistence,27
10,reset,3.1122512942854224,False,13,0.5707692307692308,0.3846153846153846,RBF_I,adwin,alarm_persistence,27
11,update,4.789457420358002,True,188,0.5324468085106383,0.3829787234042553,RBF_I,adwin,alarm_persistence,27
11,reset,2.0581679989471175,False,7,0.5228571428571428,0.8571428571428571,RBF_I,adwin,alarm_persistence,27
0,update,4.61376436082337,True,1080,0.5563703703703704,0.2759259259259259,RBF_I,d3_oof,alarm,7
0,reset,4.430751688267545,False,547,0.5399268738574041,0.5319926873857403,RBF_I,d3_oof,alarm,7
1,update,0.4366391562061053,False,1,0.5,0.0,RBF_I,d3_oof,alarm,7
1,reset,4.271964179027116,True,24,0.6091666666666667,0.75,RBF_I,d3_oof,alarm,7
0,update,4.647669035861112,True,1235,0.5670769230769231,0.2688259109311741,RBF_I,d3_oof,alarm,17
0,reset,4.4662272132228455,False,383,0.5422454308093995,0.5274151436031331,RBF_I,d3_oof,alarm,17
1,update,4.516764873684455,True,30,0.572,0.2333333333333333,RBF_I,d3_oof,alarm,17
1,reset,1.5491513083738444,False,4,0.6599999999999999,0.5,RBF_I,d3_oof,alarm,17
0,update,4.525315671697177,True,1059,0.551180358829084,0.2823418319169027,RBF_I,d3_oof,alarm,27
0,reset,4.440253362771855,False,567,0.5421869488536155,0.5220458553791887,RBF_I,d3_oof,alarm,27
1,update,4.29094865916013,True,26,0.5715384615384616,0.2692307692307692,RBF_I,d3_oof,alarm,27
1,reset,0.0,False,0,,,RBF_I,d3_oof,alarm,27
00,update,4.437958757635479,True,800,0.582425,0.24875,RBF_I,d3_oof,alarm_persistence,7
00,reset,4.385565951317474,False,216,0.5626851851851852,0.4537037037037037,RBF_I,d3_oof,alarm_persistence,7
01,update,4.460425718375856,True,577,0.5069324090121318,0.3067590987868284,RBF_I,d3_oof,alarm_persistence,7
01,reset,4.176794629367205,False,31,0.507741935483871,0.6451612903225806,RBF_I,d3_oof,alarm_persistence,7
10,update,0.4166448664608589,False,1,0.6,0.0,RBF_I,d3_oof,alarm_persistence,7
10,reset,3.456616776537952,True,16,0.63375,0.8125,RBF_I,d3_oof,alarm_persistence,7
11,update,2.757996245740321,True,11,0.5163636363636364,0.2727272727272727,RBF_I,d3_oof,alarm_persistence,7
11,reset,0.0,False,0,,,RBF_I,d3_oof,alarm_persistence,7
00,update,4.528501479887029,True,794,0.5636523929471033,0.2607052896725441,RBF_I,d3_oof,alarm_persistence,17
00,reset,4.38008255352378,False,287,0.5579790940766551,0.4634146341463415,RBF_I,d3_oof,alarm_persistence,17
01,update,3.4212520725510913,False,15,0.4973333333333334,0.4,RBF_I,d3_oof,alarm_persistence,17
01,reset,4.782160633281821,True,556,0.4974100719424461,0.6097122302158273,RBF_I,d3_oof,alarm_persistence,17
10,update,0.0,True,0,,,RBF_I,d3_oof,alarm_persistence,17
10,reset,0.0,False,0,,,RBF_I,d3_oof,alarm_persistence,17
11,update,0.0,True,0,,,RBF_I,d3_oof,alarm_persistence,17
11,reset,0.0,False,0,,,RBF_I,d3_oof,alarm_persistence,17
00,update,4.343544888705738,False,779,0.585186136071887,0.2336328626444159,RBF_I,d3_oof,alarm_persistence,27
00,reset,4.392555850210839,True,213,0.5673239436619718,0.4272300469483568,RBF_I,d3_oof,alarm_persistence,27
01,update,4.764546483106057,True,598,0.4985284280936455,0.3294314381270903,RBF_I,d3_oof,alarm_persistence,27
01,reset,4.409234708568648,False,31,0.5361290322580645,0.5483870967741935,RBF_I,d3_oof,alarm_persistence,27
10,update,3.984639773912117,True,24,0.5650000000000001,0.25,RBF_I,d3_oof,alarm_persistence,27
10,reset,0.0,False,0,,,RBF_I,d3_oof,alarm_persistence,27
11,update,2.0889484022964693,True,7,0.5257142857142857,0.1428571428571428,RBF_I,d3_oof,alarm_persistence,27
11,reset,0.0,False,0,,,RBF_I,d3_oof,alarm_persistence,27
0,update,4.915219248083965,True,513,0.5507212475633528,0.2631578947368421,RBF_I,hddm_w,alarm,7
0,reset,4.135765748522589,False,21,0.5228571428571429,0.4285714285714285,RBF_I,hddm_w,alarm,7
1,update,4.563768119306956,True,911,0.5586608122941823,0.2645444566410538,RBF_I,hddm_w,alarm,7
1,reset,4.525897514814695,False,207,0.5378743961352657,0.5217391304347826,RBF_I,hddm_w,alarm,7
0,update,4.4511848463708334,True,516,0.5558139534883721,0.2771317829457364,RBF_I,hddm_w,alarm,17
0,reset,4.353552602807444,False,24,0.5533333333333333,0.5416666666666666,RBF_I,hddm_w,alarm,17
1,update,4.559811256676055,False,870,0.5706666666666667,0.264367816091954,RBF_I,hddm_w,alarm,17
1,reset,4.905886790270014,True,242,0.5460330578512396,0.5826446280991735,RBF_I,hddm_w,alarm,17
0,update,4.53107163596164,False,464,0.5449137931034483,0.25,RBF_I,hddm_w,alarm,27
0,reset,4.833393428585377,True,96,0.5425000000000001,0.3854166666666667,RBF_I,hddm_w,alarm,27
1,update,4.494698524758779,True,837,0.5540023894862605,0.2712066905615293,RBF_I,hddm_w,alarm,27
1,reset,4.451169898109504,False,255,0.5428235294117648,0.5882352941176471,RBF_I,hddm_w,alarm,27
00,update,4.844236522422939,True,348,0.5832758620689655,0.2327586206896551,RBF_I,hddm_w,alarm_persistence,7
00,reset,2.4952379892743517,False,10,0.5559999999999999,0.4,RBF_I,hddm_w,alarm_persistence,7
01,update,4.81068497818232,True,174,0.4948275862068966,0.2873563218390804,RBF_I,hddm_w,alarm_persistence,7
01,reset,2.7830374811453136,False,11,0.4745454545454545,0.6363636363636364,RBF_I,hddm_w,alarm_persistence,7
10,update,4.4741440649180655,True,618,0.587831715210356,0.2669902912621359,RBF_I,hddm_w,alarm_persistence,7
10,reset,4.449383276309264,False,71,0.5645070422535213,0.4788732394366197,RBF_I,hddm_w,alarm_persistence,7
11,update,4.80762306346128,True,404,0.5143069306930692,0.2648514851485148,RBF_I,hddm_w,alarm_persistence,7
11,reset,3.280606386404086,False,16,0.53,0.625,RBF_I,hddm_w,alarm_persistence,7
00,update,4.253311211093199,True,316,0.5725316455696203,0.240506329113924,RBF_I,hddm_w,alarm_persistence,17
00,reset,3.6206509240587383,False,17,0.5635294117647058,0.2941176470588235,RBF_I,hddm_w,alarm_persistence,17
01,update,4.582542929115428,True,158,0.4846835443037974,0.3227848101265823,RBF_I,hddm_w,alarm_persistence,17
01,reset,2.194690252953931,False,7,0.5114285714285715,0.2857142857142857,RBF_I,hddm_w,alarm_persistence,17
10,update,4.629985618584888,True,703,0.5609957325746799,0.2688477951635846,RBF_I,hddm_w,alarm_persistence,17
10,reset,3.906613774578617,False,24,0.5783333333333335,0.5,RBF_I,hddm_w,alarm_persistence,17
11,update,3.3063967237568708,False,15,0.512,0.2666666666666666,RBF_I,hddm_w,alarm_persistence,17
11,reset,4.569531195252403,True,412,0.4935922330097088,0.587378640776699,RBF_I,hddm_w,alarm_persistence,17
00,update,4.766404525933115,True,328,0.5896951219512194,0.2195121951219512,RBF_I,hddm_w,alarm_persistence,27
00,reset,3.857821334170967,False,24,0.5625,0.4166666666666667,RBF_I,hddm_w,alarm_persistence,27
01,update,4.658878663894729,True,205,0.4711219512195123,0.3170731707317073,RBF_I,hddm_w,alarm_persistence,27
01,reset,3.049720622330826,False,11,0.5218181818181818,0.5454545454545454,RBF_I,hddm_w,alarm_persistence,27
10,update,4.446212517975003,True,636,0.5839622641509433,0.2468553459119497,RBF_I,hddm_w,alarm_persistence,27
10,reset,4.40568263837643,False,32,0.599375,0.53125,RBF_I,hddm_w,alarm_persistence,27
11,update,4.762184852479207,True,397,0.5123425692695215,0.3198992443324937,RBF_I,hddm_w,alarm_persistence,27
11,reset,3.742223348444188,False,19,0.5578947368421052,0.6842105263157895,RBF_I,hddm_w,alarm_persistence,27
0,update,4.649912535923436,True,1057,0.5594891201513716,0.2781456953642384,RBF_I,hellinger,alarm,7
