epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon,variant
0,SEA_A__s112__concept__moderate,7,adwin,53.5,57000,2,2,0.1,alarm
0,RBF_I__s112__splice__moderate,7,adwin,31.22,57000,3,2,0.1,alarm
0,RBF_I__s112__instance__moderate,7,adwin,34.26,57000,0,2,0.1,alarm
0,SEA_A__s112__splice__severe,7,adwin,53.76,57000,2,2,0.1,alarm
0,RBF_I__s112__clean__none,7,adwin,32.84,57000,1,2,0.1,alarm
0,SEA_A__s112__clean__none,7,adwin,54.2,57000,1,2,0.1,alarm
0,SEA_A__s112__concept__severe,7,adwin,53.64,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__moderate,7,adwin,54.04,57000,2,2,0.1,alarm
0,RBF_I__s112__splice__severe,7,adwin,31.96,57000,1,2,0.1,alarm
0,RBF_I__s112__concept__moderate,7,adwin,33.06,57000,2,2,0.1,alarm
0,SEA_A__s112__instance__severe,7,adwin,53.18,57000,2,2,0.1,alarm
0,SEA_A__s112__splice__moderate,7,adwin,53.62,57000,1,2,0.1,alarm
0,RBF_I__s112__instance__severe,7,adwin,30.62,57000,1,2,0.1,alarm
0,RBF_I__s112__concept__severe,7,adwin,32.02,57000,19,2,0.1,alarm
1,RBF_I__s112__instance__moderate,7,adwin,32.12,57000,0,2,0.1,alarm
1,SEA_A__s112__splice__severe,7,adwin,54.16,57000,27,2,0.1,alarm
1,RBF_I__s112__concept__moderate,7,adwin,32.5,57000,19,2,0.1,alarm
1,SEA_A__s112__concept__severe,7,adwin,54.02,57000,7,2,0.1,alarm
1,RBF_I__s112__splice__severe,7,adwin,32.6,57000,17,2,0.1,alarm
1,RBF_I__s112__clean__none,7,adwin,32.48,57000,1,2,0.1,alarm
1,RBF_I__s112__concept__severe,7,adwin,32.12,57000,15,2,0.1,alarm
1,SEA_A__s112__concept__moderate,7,adwin,53.54,57000,1,2,0.1,alarm
1,RBF_I__s112__instance__severe,7,adwin,31.36,57000,1,2,0.1,alarm
1,SEA_A__s112__instance__moderate,7,adwin,53.94,57000,1,2,0.1,alarm
1,RBF_I__s112__splice__moderate,7,adwin,32.36,57000,2,2,0.1,alarm
1,SEA_A__s112__clean__none,7,adwin,53.54,57000,1,2,0.1,alarm
1,SEA_A__s112__instance__severe,7,adwin,53.36,57000,3,2,0.1,alarm
1,SEA_A__s112__splice__moderate,7,adwin,53.78,57000,1,2,0.1,alarm
2,RBF_I__s112__clean__none,7,adwin,32.44,57000,8,2,0.1,alarm
2,SEA_A__s112__instance__severe,7,adwin,54.26,57000,1,2,0.1,alarm
2,RBF_I__s112__splice__severe,7,adwin,31.92,57000,1,2,0.1,alarm
2,SEA_A__s112__clean__none,7,adwin,54.28,57000,38,2,0.1,alarm
2,RBF_I__s112__instance__moderate,7,adwin,31.6,57000,31,2,0.1,alarm
2,RBF_I__s112__concept__moderate,7,adwin,32.58,57000,2,2,0.1,alarm
2,SEA_A__s112__splice__severe,7,adwin,53.66,57000,8,2,0.1,alarm
2,SEA_A__s112__concept__severe,7,adwin,53.54,57000,10,2,0.1,alarm
2,RBF_I__s112__concept__severe,7,adwin,29.82,57000,12,2,0.1,alarm
2,SEA_A__s112__splice__moderate,7,adwin,54.02,57000,35,2,0.1,alarm
2,SEA_A__s112__instance__moderate,7,adwin,54.4,57000,28,2,0.1,alarm
2,RBF_I__s112__splice__moderate,7,adwin,32.18,57000,30,2,0.1,alarm
2,RBF_I__s112__instance__severe,7,adwin,30.66,57000,24,2,0.1,alarm
2,SEA_A__s112__concept__moderate,7,adwin,54.04,57000,16,2,0.1,alarm
3,SEA_A__s112__splice__severe,7,adwin,53.92,57000,30,2,0.1,alarm
3,RBF_I__s112__splice__severe,7,adwin,31.92,57000,17,2,0.1,alarm
3,SEA_A__s112__instance__moderate,7,adwin,53.78,57000,1,2,0.1,alarm
3,RBF_I__s112__concept__moderate,7,adwin,33.28,57000,1,2,0.1,alarm
3,SEA_A__s112__clean__none,7,adwin,54.06,57000,6,2,0.1,alarm
3,SEA_A__s112__instance__severe,7,adwin,53.74,57000,5,2,0.1,alarm
