epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__concept__moderate,7,hddm_w,53.5,57000,2,2,0.1
0,RBF_I__s112__splice__moderate,7,hddm_w,31.22,57000,3,2,0.1
0,RBF_I__s112__instance__moderate,7,hddm_w,34.26,57000,0,2,0.1
0,SEA_A__s112__splice__severe,7,hddm_w,53.76,57000,2,2,0.1
0,RBF_I__s112__clean__none,7,hddm_w,32.84,57000,1,2,0.1
0,SEA_A__s112__clean__none,7,hddm_w,54.2,57000,1,2,0.1
0,SEA_A__s112__concept__severe,7,hddm_w,53.64,57000,1,2,0.1
0,SEA_A__s112__instance__moderate,7,hddm_w,54.04,57000,2,2,0.1
0,RBF_I__s112__splice__severe,7,hddm_w,31.96,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,7,hddm_w,33.06,57000,2,2,0.1
0,SEA_A__s112__instance__severe,7,hddm_w,53.18,57000,2,2,0.1
0,SEA_A__s112__splice__moderate,7,hddm_w,53.62,57000,1,2,0.1
0,RBF_I__s112__instance__severe,7,hddm_w,30.62,57000,1,2,0.1
0,RBF_I__s112__concept__severe,7,hddm_w,33.3,57000,1,2,0.1
1,RBF_I__s112__instance__moderate,7,hddm_w,31.6,57000,5,2,0.1
1,SEA_A__s112__splice__severe,7,hddm_w,54.06,57000,29,2,0.1
1,RBF_I__s112__concept__moderate,7,hddm_w,32.14,57000,11,2,0.1
1,SEA_A__s112__concept__severe,7,hddm_w,53.96,57000,1,2,0.1
1,RBF_I__s112__splice__severe,7,hddm_w,34.3,57000,0,2,0.1
1,RBF_I__s112__clean__none,7,hddm_w,32.48,57000,1,2,0.1
1,RBF_I__s112__concept__severe,7,hddm_w,31.48,57000,5,2,0.1
1,SEA_A__s112__concept__moderate,7,hddm_w,53.66,57000,28,2,0.1
1,RBF_I__s112__instance__severe,7,hddm_w,30.34,57000,35,2,0.1
1,SEA_A__s112__instance__moderate,7,hddm_w,54.2,57000,29,2,0.1
1,RBF_I__s112__splice__moderate,7,hddm_w,32.4,57000,10,2,0.1
1,SEA_A__s112__clean__none,7,hddm_w,54.28,57000,36,2,0.1
1,SEA_A__s112__instance__severe,7,hddm_w,54.1,57000,29,2,0.1
1,SEA_A__s112__splice__moderate,7,hddm_w,54.04,57000,35,2,0.1
2,RBF_I__s112__clean__none,7,hddm_w,33.0,57000,25,2,0.1
2,SEA_A__s112__instance__severe,7,hddm_w,54.16,57000,11,2,0.1
2,RBF_I__s112__splice__severe,7,hddm_w,31.580000000000002,57000,18,2,0.1
2,SEA_A__s112__clean__none,7,hddm_w,53.54,57000,1,2,0.1
2,RBF_I__s112__instance__moderate,7,hddm_w,31.96,57000,20,2,0.1
2,RBF_I__s112__concept__moderate,7,hddm_w,32.72,57000,27,2,0.1
2,SEA_A__s112__splice__severe,7,hddm_w,53.72,57000,1,2,0.1
2,SEA_A__s112__concept__severe,7,hddm_w,53.26,57000,8,2,0.1
2,RBF_I__s112__concept__severe,7,hddm_w,30.04,57000,13,2,0.1
2,SEA_A__s112__splice__moderate,7,hddm_w,53.58,57000,2,2,0.1
2,SEA_A__s112__instance__moderate,7,hddm_w,53.88,57000,0,2,0.1
2,RBF_I__s112__splice__moderate,7,hddm_w,35.54,57000,0,2,0.1
2,RBF_I__s112__instance__severe,7,hddm_w,30.92,57000,8,2,0.1
2,SEA_A__s112__concept__moderate,7,hddm_w,53.72,57000,27,2,0.1
3,SEA_A__s112__splice__severe,7,hddm_w,53.82,57000,32,2,0.1
3,RBF_I__s112__splice__severe,7,hddm_w,31.740000000000002,57000,21,2,0.1
3,SEA_A__s112__instance__moderate,7,hddm_w,54.36,57000,27,2,0.1
3,RBF_I__s112__concept__moderate,7,hddm_w,32.78,57000,24,2,0.1
3,SEA_A__s112__clean__none,7,hddm_w,53.74,57000,2,2,0.1
3,SEA_A__s112__instance__severe,7,hddm_w,54.14,57000,11,2,0.1
3,RBF_I__s112__concept__severe,7,hddm_w,31.66,57000,17,2,0.1
3,SEA_A__s112__concept__severe,7,hddm_w,53.72,57000,15,2,0.1
3,RBF_I__s112__clean__none,7,hddm_w,32.68,57000,8,2,0.1
3,RBF_I__s112__instance__severe,7,hddm_w,33.32,57000,0,2,0.1
3,RBF_I__s112__splice__moderate,7,hddm_w,32.76,57000,2,2,0.1
3,RBF_I__s112__instance__moderate,7,hddm_w,31.98,57000,23,2,0.1
3,SEA_A__s112__concept__moderate,7,hddm_w,53.7,57000,27,2,0.1
3,SEA_A__s112__splice__moderate,7,hddm_w,54.04,57000,36,2,0.1
