category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.1952169296671914,,1,1
0,learned_features,host_accuracy,0.7198814940217966,,1,1
0,learned_features,host_macro_f1,0.23795026623891333,,1,1
0,learned_features,poison_admission_rate,,,1,0
0,learned_features_label,clean_withhold_rate,0.23808003514809797,,1,1
0,learned_features_label,host_accuracy,0.7496905089408529,,1,1
0,learned_features_label,host_macro_f1,0.2590691713869213,,1,1
0,learned_features_label,poison_admission_rate,,,1,0
0,none,clean_withhold_rate,0.2365174092922784,,1,1
0,none,host_accuracy,0.6929160935350757,,1,1
0,none,host_macro_f1,0.2241102956157508,,1,1
0,none,poison_admission_rate,,,1,0
1,learned_features,clean_withhold_rate,0.15511988856456413,0.02155627872098206,5,5
1,learned_features,host_accuracy,0.7266421542693895,0.01853390923841823,5,5
1,learned_features,host_macro_f1,0.2161186552948462,0.00993442636689395,5,5
1,learned_features,poison_admission_rate,0.8443520110360841,0.022483692889531004,5,5
1,learned_features_label,clean_withhold_rate,0.2218251457487413,0.008600529892775143,5,5
1,learned_features_label,host_accuracy,0.7141170246534758,0.01062513422835483,5,5
1,learned_features_label,host_macro_f1,0.19165465333343207,0.018647751757339112,5,5
1,learned_features_label,poison_admission_rate,0.6570769932819539,0.008077820328132635,5,5
1,none,clean_withhold_rate,0.13782771896201396,0.02039974765886529,5,5
1,none,host_accuracy,0.7263517088138822,0.04643247450211575,5,5
1,none,host_macro_f1,0.21098535934537782,0.027422952312540137,5,5
1,none,poison_admission_rate,0.8627726528499968,0.021272555111023255,5,5
2,learned_features,clean_withhold_rate,0.17397606788640593,0.02327873765747183,5,5
2,learned_features,host_accuracy,0.7169225478785314,0.024239939267266742,5,5
2,learned_features,host_macro_f1,0.19585544296993376,0.01572943663534231,5,5
2,learned_features,poison_admission_rate,0.8252694721853497,0.023945188325586095,5,5
2,learned_features_label,clean_withhold_rate,0.2260963393350036,0.012425912585422099,5,5
2,learned_features_label,host_accuracy,0.7131483440905724,0.03774448096997973,5,5
2,learned_features_label,host_macro_f1,0.1894736408708848,0.024492667856896237,5,5
2,learned_features_label,poison_admission_rate,0.6532872586854854,0.013357989388756765,5,5
2,none,clean_withhold_rate,0.1809997064950072,0.04196097333532869,5,5
2,none,host_accuracy,0.7296979155644905,0.030406937370849436,5,5
2,none,host_macro_f1,0.19535156525937256,0.020641537906026054,5,5
2,none,poison_admission_rate,0.8195294320476114,0.042293659607330315,5,5
3,learned_features,clean_withhold_rate,0.17460434093484808,0.00768284802817214,5,5
3,learned_features,host_accuracy,0.7060726565596138,0.03179755079075885,5,5
3,learned_features,host_macro_f1,0.2288115690557983,0.020381734667455353,5,5
3,learned_features,poison_admission_rate,0.044700021526312764,0.0019011055997085052,5,5
3,learned_features_label,clean_withhold_rate,0.20149372402494822,0.013462909195451945,5,5
3,learned_features_label,host_accuracy,0.6796128600154341,0.016832312617985474,5,5
3,learned_features_label,host_macro_f1,0.21013786652116964,0.01635035593839306,5,5
3,learned_features_label,poison_admission_rate,0.18606456849889247,0.006738975306811672,5,5
3,none,clean_withhold_rate,0.12618139306585663,0.02924676171668494,5,5
3,none,host_accuracy,0.750389702813989,0.009307319723054364,5,5
3,none,host_macro_f1,0.2451010745284185,0.03327595984735352,5,5
3,none,poison_admission_rate,0.852359574777604,0.0454413932369684,5,5
4,learned_features,clean_withhold_rate,0.1791446605250508,0.007802893960934425,5,5
4,learned_features,host_accuracy,0.7003877803760508,0.0428344046834464,5,5
4,learned_features,host_macro_f1,0.20737335720446906,0.018448117819607462,5,5
4,learned_features,poison_admission_rate,0.04652699449701177,0.0014614032333483038,5,5
4,learned_features_label,clean_withhold_rate,0.22058389897077318,0.016002409802852963,5,5
4,learned_features_label,host_accuracy,0.6949294375488266,0.043875514612209746,5,5
4,learned_features_label,host_macro_f1,0.21152738917496983,0.0319763488595107,5,5
4,learned_features_label,poison_admission_rate,0.18407060911720277,0.00643561427380772,5,5
4,none,clean_withhold_rate,0.1540907024865727,0.031546670241208045,5,5
4,none,host_accuracy,0.7517998654914659,0.025418584916566782,5,5
4,none,host_macro_f1,0.22684633191462517,0.01630308533861792,5,5
4,none,poison_admission_rate,0.8390158887020952,0.05697405143207018,5,5
5,learned_features,clean_withhold_rate,0.2162062249755307,0.015527276169922504,5,5
5,learned_features,host_accuracy,0.756165063953125,0.019807810704047576,5,5
5,learned_features,host_macro_f1,0.23244139586507795,0.018747258183771334,5,5
5,learned_features,poison_admission_rate,0.7833491203968089,0.05168099346319308,5,5
5,learned_features_label,clean_withhold_rate,0.25386311017603713,0.020685595004391693,5,5
5,learned_features_label,host_accuracy,0.7516759499267852,0.026164029442265722,5,5
5,learned_features_label,host_macro_f1,0.22683316461196307,0.017886216555154013,5,5
5,learned_features_label,poison_admission_rate,0.7028862870696814,0.039285428742937514,5,5
5,none,clean_withhold_rate,0.18638335063666864,0.025729053498595778,5,5
5,none,host_accuracy,0.7713073347980834,0.0237555964851201,5,5
5,none,host_macro_f1,0.23599359441526455,0.03466932600886427,5,5
5,none,poison_admission_rate,0.8040064559651302,0.042914554527939575,5,5
6,learned_features,clean_withhold_rate,0.18679241094682478,0.025348434218070887,5,5
6,learned_features,host_accuracy,0.7665467403320627,0.03030730199164866,5,5
6,learned_features,host_macro_f1,0.24342728888817025,0.030150794420104297,5,5
6,learned_features,poison_admission_rate,0.7964238571877537,0.03524665250205842,5,5
6,learned_features_label,clean_withhold_rate,0.24024368396391446,0.018895812277111103,5,5
6,learned_features_label,host_accuracy,0.7575119002152713,0.022217637695547104,5,5
6,learned_features_label,host_macro_f1,0.23846830613073755,0.01307716018935683,5,5
6,learned_features_label,poison_admission_rate,0.7270684691097852,0.0290970360994688,5,5
6,none,clean_withhold_rate,0.19390937655649804,0.01361463571358652,5,5
6,none,host_accuracy,0.7692955961953108,0.0383740863042492,5,5
6,none,host_macro_f1,0.2293919293580962,0.0240741804597483,5,5
6,none,poison_admission_rate,0.785974367129528,0.04459050764916635,5,5
