category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,,1,1
0,confirmed_False,poison_admission_rate,,,1,0
0,confirmed_False,resets_per_100k,9.671647565162726,,1,1
0,confirmed_False,training_visits_per_100k,113375.88858262004,,1,1
0,confirmed_True,clean_withhold_rate,0.2365174092922784,,1,1
0,confirmed_True,poison_admission_rate,,,1,0
0,confirmed_True,resets_per_100k,4.144991813641168,,1,1
0,confirmed_True,training_visits_per_100k,114688.46932360642,,1,1
0,immediate_False,clean_withhold_rate,0.0,,1,1
0,immediate_False,poison_admission_rate,,,1,0
0,immediate_False,resets_per_100k,51.8123976705146,,1,1
0,immediate_False,training_visits_per_100k,94999.75820881088,,1,1
0,immediate_True,clean_withhold_rate,0.382601691502215,,1,1
0,immediate_True,poison_admission_rate,,,1,0
0,immediate_True,resets_per_100k,22.10662300608623,,1,1
0,immediate_True,training_visits_per_100k,94999.75820881088,,1,1
0,none_False,clean_withhold_rate,0.0,,1,1
0,none_False,poison_admission_rate,,,1,0
0,none_False,resets_per_100k,0.0,,1,1
0,none_False,training_visits_per_100k,94999.75820881088,,1,1
0,none_True,clean_withhold_rate,0.1460842822099366,,1,1
0,none_True,poison_admission_rate,,,1,0
0,none_True,resets_per_100k,0.0,,1,1
0,none_True,training_visits_per_100k,94999.75820881088,,1,1
1,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
1,confirmed_False,poison_admission_rate,1.0,0.0,5,5
1,confirmed_False,resets_per_100k,7.73731805213018,0.577991493464091,5,5
1,confirmed_False,training_visits_per_100k,109700.66250785821,1098.1838375817733,5,5
1,confirmed_True,clean_withhold_rate,0.13782771896201396,0.02039974765886529,5,5
1,confirmed_True,poison_admission_rate,0.8627726528499968,0.021272555111023255,5,5
1,confirmed_True,resets_per_100k,6.631986901825869,1.0476985546484765,5,5
1,confirmed_True,training_visits_per_100k,111013.24324884459,1098.183837581773,5,5
1,immediate_False,clean_withhold_rate,0.0,0.0,5,5
1,immediate_False,poison_admission_rate,1.0,0.0,5,5
