category,series,metric,mean,sd,runs,defined
0,none,clean_withhold_rate,0.153040676600886,,1,1
0,none,host_accuracy,0.851298804359327,,1,1
0,none,host_macro_f1,0.2585637040628587,,1,1
0,none,poison_admission_rate,,,1,0
0,oracle_blocks,clean_withhold_rate,0.153040676600886,,1,1
0,oracle_blocks,host_accuracy,0.851298804359327,,1,1
0,oracle_blocks,host_macro_f1,0.2585637040628587,,1,1
0,oracle_blocks,poison_admission_rate,,,1,0
0,oracle_rows,clean_withhold_rate,0.153040676600886,,1,1
0,oracle_rows,host_accuracy,0.851298804359327,,1,1
0,oracle_rows,host_macro_f1,0.2585637040628587,,1,1
0,oracle_rows,poison_admission_rate,,,1,0
0,random_blocks,clean_withhold_rate,0.153040676600886,,1,1
0,random_blocks,host_accuracy,0.8512988043593271,,1,1
0,random_blocks,host_macro_f1,0.2585637040628587,,1,1
0,random_blocks,poison_admission_rate,,,1,0
0,random_rows,clean_withhold_rate,0.153040676600886,,1,1
0,random_rows,host_accuracy,0.8512988043593271,,1,1
0,random_rows,host_macro_f1,0.2585637040628587,,1,1
0,random_rows,poison_admission_rate,,,1,0
1,none,clean_withhold_rate,0.15983345036995789,0.04266385029680707,5,5
1,none,host_accuracy,0.7795392022008253,0.02540948582884366,5,5
1,none,host_macro_f1,0.24011526360244959,0.032666740909860006,5,5
1,none,poison_admission_rate,0.839079317796154,0.04230712166479452,5,5
1,oracle_blocks,clean_withhold_rate,1.0,0.0,5,5
1,oracle_blocks,host_accuracy,0.5796344302190244,0.0,5,5
1,oracle_blocks,host_macro_f1,0.10232709760553452,0.0,5,5
1,oracle_blocks,poison_admission_rate,0.0,0.0,5,5
1,oracle_rows,clean_withhold_rate,0.15749893479144528,0.04231209980650145,5,5
1,oracle_rows,host_accuracy,0.8436250132261136,0.01324863638855258,5,5
1,oracle_rows,host_macro_f1,0.26516094681329927,0.03234231813917015,5,5
1,oracle_rows,poison_admission_rate,0.0,0.0,5,5
1,random_blocks,clean_withhold_rate,1.0,0.0,5,5
1,random_blocks,host_accuracy,0.5796344302190244,0.0,5,5
1,random_blocks,host_macro_f1,0.10232709760553452,0.0,5,5
1,random_blocks,poison_admission_rate,0.0,0.0,5,5
1,random_rows,clean_withhold_rate,0.27513936422485574,0.014569351694234333,5,5
1,random_rows,host_accuracy,0.7893148873135118,0.04200753065779719,5,5
1,random_rows,host_macro_f1,0.25570856883375354,0.029858217542763403,5,5
1,random_rows,poison_admission_rate,0.7238310767707478,0.013712389551392984,5,5
2,none,clean_withhold_rate,0.17391269446968965,0.023848482142443634,5,5
2,none,host_accuracy,0.7974976192995451,0.06072059969279014,5,5
2,none,host_macro_f1,0.2732175076661646,0.04841052162551069,5,5
2,none,poison_admission_rate,0.8260991569812373,0.022838007864458887,5,5
2,oracle_blocks,clean_withhold_rate,1.0,0.0,5,5
2,oracle_blocks,host_accuracy,0.5796344302190244,0.0,5,5
2,oracle_blocks,host_macro_f1,0.10232709760553452,0.0,5,5
2,oracle_blocks,poison_admission_rate,0.0,0.0,5,5
2,oracle_rows,clean_withhold_rate,0.11692951198366278,0.028269319292370983,5,5
2,oracle_rows,host_accuracy,0.8591075018516559,0.022933763742742173,5,5
2,oracle_rows,host_macro_f1,0.2704958686249648,0.05061856879556606,5,5
2,oracle_rows,poison_admission_rate,0.0,0.0,5,5
2,random_blocks,clean_withhold_rate,1.0,0.0,5,5
2,random_blocks,host_accuracy,0.5796344302190244,0.0,5,5
2,random_blocks,host_macro_f1,0.10232709760553452,0.0,5,5
2,random_blocks,poison_admission_rate,0.0,0.0,5,5
2,random_rows,clean_withhold_rate,0.3515442921818875,0.012047407043773831,5,5
2,random_rows,host_accuracy,0.77402497090255,0.02558443556914639,5,5
2,random_rows,host_macro_f1,0.22441709886165162,0.015022788724951004,5,5
2,random_rows,poison_admission_rate,0.6489494616853015,0.012752900680247379,5,5
3,none,clean_withhold_rate,0.1269069812429456,0.05231059804407379,5,5
3,none,host_accuracy,0.8192827285183324,0.016008712964876087,5,5
3,none,host_macro_f1,0.2829408011536322,0.0529252889473474,5,5
