category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.14251967927360595,,1,1
0,learned_features,host_accuracy,0.8409983070574543,,1,1
0,learned_features,host_macro_f1,0.2662422192707887,,1,1
0,learned_features,poison_admission_rate,,,1,0
0,learned_features_label,clean_withhold_rate,0.225130890052356,,1,1
0,learned_features_label,host_accuracy,0.7768701724685219,,1,1
0,learned_features_label,host_macro_f1,0.24739433176788744,,1,1
0,learned_features_label,poison_admission_rate,,,1,0
0,none,clean_withhold_rate,0.153040676600886,,1,1
0,none,host_accuracy,0.851298804359327,,1,1
0,none,host_macro_f1,0.2585637040628587,,1,1
0,none,poison_admission_rate,,,1,0
1,learned_features,clean_withhold_rate,0.16311856295664445,0.021382956626554546,5,5
1,learned_features,host_accuracy,0.7850936408845625,0.02360632638771351,5,5
1,learned_features,host_macro_f1,0.24244167933187682,0.02134251384380503,5,5
1,learned_features,poison_admission_rate,0.8369788115786353,0.02148249463927585,5,5
1,learned_features_label,clean_withhold_rate,0.1801168422981418,0.017387223002735302,5,5
1,learned_features_label,host_accuracy,0.7996100941699291,0.031691620686189595,5,5
1,learned_features_label,host_macro_f1,0.25304191681276156,0.037363759055980696,5,5
1,learned_features_label,poison_admission_rate,0.6906395908228792,0.014265909806494746,5,5
1,none,clean_withhold_rate,0.15983345036995789,0.04266385029680707,5,5
1,none,host_accuracy,0.7795392022008253,0.02540948582884366,5,5
1,none,host_macro_f1,0.24011526360244959,0.032666740909860006,5,5
1,none,poison_admission_rate,0.839079317796154,0.04230712166479452,5,5
2,learned_features,clean_withhold_rate,0.16313443976762781,0.012979666793775678,5,5
2,learned_features,host_accuracy,0.7963310760766056,0.027521545908622165,5,5
2,learned_features,host_macro_f1,0.2470598330132165,0.03041868929112477,5,5
2,learned_features,poison_admission_rate,0.8375203781035836,0.01274957327220007,5,5
2,learned_features_label,clean_withhold_rate,0.20099255257402895,0.017991107276559153,5,5
2,learned_features_label,host_accuracy,0.7809469897365358,0.024622326555928012,5,5
2,learned_features_label,host_macro_f1,0.259021209630509,0.03588361521970775,5,5
2,learned_features_label,poison_admission_rate,0.6734519547332098,0.016959484232483116,5,5
2,none,clean_withhold_rate,0.17391269446968965,0.023848482142443634,5,5
2,none,host_accuracy,0.7974976192995451,0.06072059969279014,5,5
2,none,host_macro_f1,0.2732175076661646,0.04841052162551069,5,5
2,none,poison_admission_rate,0.8260991569812373,0.022838007864458887,5,5
3,learned_features,clean_withhold_rate,0.14294616875288857,0.014912363850892927,5,5
3,learned_features,host_accuracy,0.7871533346363703,0.03304031214729499,5,5
3,learned_features,host_macro_f1,0.2640485494439886,0.02351474536084764,5,5
3,learned_features,poison_admission_rate,0.046367241557048175,0.0011507127112438454,5,5
3,learned_features_label,clean_withhold_rate,0.1957173351364196,0.009671330841967574,5,5
3,learned_features_label,host_accuracy,0.7575087175085896,0.049083728597917965,5,5
3,learned_features_label,host_macro_f1,0.25250929111614057,0.024290007106445244,5,5
3,learned_features_label,poison_admission_rate,0.18779203788084803,0.010818788040029026,5,5
3,none,clean_withhold_rate,0.1269069812429456,0.05231059804407379,5,5
3,none,host_accuracy,0.8192827285183324,0.016008712964876087,5,5
3,none,host_macro_f1,0.2829408011536322,0.0529252889473474,5,5
3,none,poison_admission_rate,0.8378592451581909,0.06572398912222704,5,5
4,learned_features,clean_withhold_rate,0.1423071589975898,0.01568467572205185,5,5
4,learned_features,host_accuracy,0.7851917934491871,0.028523081238786916,5,5
4,learned_features,host_macro_f1,0.25517492378123113,0.02680023899456696,5,5
4,learned_features,poison_admission_rate,0.04857669989178818,0.0017232910941255882,5,5
4,learned_features_label,clean_withhold_rate,0.19674658358028035,0.019918148935945117,5,5
4,learned_features_label,host_accuracy,0.7145706638154914,0.02807267841685983,5,5
4,learned_features_label,host_macro_f1,0.20609666881852556,0.0269606662208032,5,5
4,learned_features_label,poison_admission_rate,0.189970659107276,0.0026289135068555667,5,5
4,none,clean_withhold_rate,0.13132381421824232,0.014545519493628577,5,5
4,none,host_accuracy,0.7942063952626669,0.016696153384794934,5,5
4,none,host_macro_f1,0.2402989091351971,0.03296490458251449,5,5
4,none,poison_admission_rate,0.8653019682015366,0.015249095983164991,5,5
5,learned_features,clean_withhold_rate,0.1511674898787428,0.03685728661258084,5,5
5,learned_features,host_accuracy,0.8136590288192116,0.025431587399627257,5,5
5,learned_features,host_macro_f1,0.2825835203626214,0.040024199919085665,5,5
5,learned_features,poison_admission_rate,0.8447997796525222,0.006794134983702113,5,5
5,learned_features_label,clean_withhold_rate,0.21788123274359128,0.016985220137971633,5,5
5,learned_features_label,host_accuracy,0.7613691489309902,0.017932047693377556,5,5
5,learned_features_label,host_macro_f1,0.19839487369337158,0.029055725614495344,5,5
5,learned_features_label,poison_admission_rate,0.7536410643358623,0.03504869513678568,5,5
5,none,clean_withhold_rate,0.1439089991130305,0.03269797480533607,5,5
5,none,host_accuracy,0.8154077991846039,0.03570827236127899,5,5
5,none,host_macro_f1,0.25924917697915445,0.06325451566492309,5,5
5,none,poison_admission_rate,0.8508441419438227,0.03328635843327006,5,5
6,learned_features,clean_withhold_rate,0.1535476121593024,0.025780710572992714,5,5
6,learned_features,host_accuracy,0.803867277115681,0.027318113130416568,5,5
6,learned_features,host_macro_f1,0.24431036179777238,0.04974355087223603,5,5
6,learned_features,poison_admission_rate,0.8440141771454597,0.011811520125451327,5,5
6,learned_features_label,clean_withhold_rate,0.19497045468662177,0.019445971237042253,5,5
6,learned_features_label,host_accuracy,0.7648467936035976,0.031644007509202536,5,5
6,learned_features_label,host_macro_f1,0.2216611121550717,0.0585053759177213,5,5
6,learned_features_label,poison_admission_rate,0.7825822640548268,0.019732638299502964,5,5
6,none,clean_withhold_rate,0.14417631961652808,0.02722987640449284,5,5
6,none,host_accuracy,0.7910049109254593,0.029667791103055806,5,5
6,none,host_macro_f1,0.2321088607808924,0.062278449008445286,5,5
6,none,poison_admission_rate,0.8482042510697598,0.034743216931901466,5,5
