category,series,metric,mean,sd,runs,defined
0,confirmed,clean_withhold_rate,0.1947790429465822,,1,1
0,confirmed,host_accuracy,0.6215941126935891,,1,1
0,confirmed,host_macro_f1,0.521195681655464,,1,1
0,confirmed,poison_admission_rate,,,1,0
0,q_alarm_17,clean_withhold_rate,0.4521656354117087,,1,1
0,q_alarm_17,host_accuracy,0.5782521143777688,,1,1
0,q_alarm_17,host_macro_f1,0.465290588981865,,1,1
0,q_alarm_17,poison_admission_rate,,,1,0
0,q_alarm_27,clean_withhold_rate,0.1460842822099366,,1,1
0,q_alarm_27,host_accuracy,0.6631420935085857,,1,1
0,q_alarm_27,host_macro_f1,0.4611957613941567,,1,1
0,q_alarm_27,poison_admission_rate,,,1,0
0,q_alarm_37,clean_withhold_rate,0.1460842822099366,,1,1
0,q_alarm_37,host_accuracy,0.6631420935085857,,1,1
0,q_alarm_37,host_macro_f1,0.4611957613941567,,1,1
0,q_alarm_37,poison_admission_rate,,,1,0
0,q_alarm_47,clean_withhold_rate,0.4521656354117087,,1,1
0,q_alarm_47,host_accuracy,0.5782521143777688,,1,1
0,q_alarm_47,host_macro_f1,0.465290588981865,,1,1
0,q_alarm_47,poison_admission_rate,,,1,0
0,q_alarm_7,clean_withhold_rate,0.1460842822099366,,1,1
0,q_alarm_7,host_accuracy,0.6631420935085857,,1,1
0,q_alarm_7,host_macro_f1,0.4611957613941567,,1,1
0,q_alarm_7,poison_admission_rate,,,1,0
1,confirmed,clean_withhold_rate,0.18501321243567045,0.026330870436362806,5,5
1,confirmed,host_accuracy,0.5925954673598653,0.01255861073546486,5,5
1,confirmed,host_macro_f1,0.416557614375353,0.01497974196603074,5,5
1,confirmed,poison_admission_rate,0.8148079797332917,0.026188290509704205,5,5
1,q_alarm_17,clean_withhold_rate,0.4242579646454523,0.014461326536790949,5,5
1,q_alarm_17,host_accuracy,0.5567517299454472,0.006166558734042925,5,5
1,q_alarm_17,host_macro_f1,0.42851611906729137,0.004174340030750762,5,5
1,q_alarm_17,poison_admission_rate,0.5751924855213526,0.011603093906285259,5,5
1,q_alarm_27,clean_withhold_rate,0.12246284663179732,0.020044917600121847,5,5
1,q_alarm_27,host_accuracy,0.6166968110423607,0.01722003778539184,5,5
1,q_alarm_27,host_macro_f1,0.40219882351380065,0.05324257709052208,5,5
1,q_alarm_27,poison_admission_rate,0.8777346335584193,0.02027944887869311,5,5
1,q_alarm_37,clean_withhold_rate,0.12246284663179732,0.020044917600121847,5,5
1,q_alarm_37,host_accuracy,0.6166968110423607,0.01722003778539184,5,5
1,q_alarm_37,host_macro_f1,0.40219882351380065,0.05324257709052208,5,5
1,q_alarm_37,poison_admission_rate,0.8777346335584193,0.02027944887869311,5,5
1,q_alarm_47,clean_withhold_rate,0.4242579646454523,0.014461326536790949,5,5
