category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.31025183527104555,,1,1
0,alarm,host_accuracy,0.5334428336852097,,1,1
0,alarm,host_macro_f1,0.529088482961264,,1,1
0,alarm,poison_admission_rate,0.6089514277824225,,1,1
0,alarm_persistence,clean_withhold_rate,0.23287563353104104,,1,1
0,alarm_persistence,host_accuracy,0.5356760826933183,,1,1
0,alarm_persistence,host_macro_f1,0.531339626716341,,1,1
0,alarm_persistence,poison_admission_rate,0.6772598759434957,,1,1
0,confirmed,clean_withhold_rate,0.2104020703873966,,1,1
0,confirmed,host_accuracy,0.5426978606570986,,1,1
0,confirmed,host_macro_f1,0.5385402327626935,,1,1
0,confirmed,poison_admission_rate,0.7022364250747118,,1,1
0,error_rule,clean_withhold_rate,0.2747593868746865,,1,1
0,error_rule,host_accuracy,0.5295139428423943,,1,1
0,error_rule,host_macro_f1,0.5240981102050394,,1,1
0,error_rule,poison_admission_rate,0.6055609752990253,,1,1
0,no_reset,clean_withhold_rate,0.19040433956392785,,1,1
0,no_reset,host_accuracy,0.5406779304569264,,1,1
0,no_reset,host_macro_f1,0.5368546098671165,,1,1
0,no_reset,poison_admission_rate,0.7109215124169905,,1,1
0,selected_map,clean_withhold_rate,0.19040433956392785,,1,1
0,selected_map,host_accuracy,0.5406779304569264,,1,1
0,selected_map,host_macro_f1,0.5368546098671165,,1,1
0,selected_map,poison_admission_rate,0.7109215124169905,,1,1
1,alarm,clean_withhold_rate,0.40035832628836543,,1,1
1,alarm,host_accuracy,0.5308824491310673,,1,1
1,alarm,host_macro_f1,0.5262410913482344,,1,1
1,alarm,poison_admission_rate,0.5379870173037543,,1,1
1,alarm_persistence,clean_withhold_rate,0.30932522878662755,,1,1
1,alarm_persistence,host_accuracy,0.53233954879569,,1,1
1,alarm_persistence,host_macro_f1,0.5276243298102328,,1,1
1,alarm_persistence,poison_admission_rate,0.6233334868574542,,1,1
1,confirmed,clean_withhold_rate,0.2712558138197579,,1,1
1,confirmed,host_accuracy,0.5315436548098156,,1,1
1,confirmed,host_macro_f1,0.5265748400286892,,1,1
1,confirmed,poison_admission_rate,0.6501243303153642,,1,1
1,error_rule,clean_withhold_rate,0.3710056704031232,,1,1
1,error_rule,host_accuracy,0.5269236722856718,,1,1
1,error_rule,host_macro_f1,0.5215394191756703,,1,1
1,error_rule,poison_admission_rate,0.48380222341675005,,1,1
1,no_reset,clean_withhold_rate,0.2598809524615319,,1,1
1,no_reset,host_accuracy,0.5373678541358473,,1,1
1,no_reset,host_macro_f1,0.5329592228790996,,1,1
1,no_reset,poison_admission_rate,0.6784323393837833,,1,1
1,selected_map,clean_withhold_rate,0.2598809524615319,,1,1
1,selected_map,host_accuracy,0.5373678541358473,,1,1
1,selected_map,host_macro_f1,0.5329592228790996,,1,1
1,selected_map,poison_admission_rate,0.6784323393837833,,1,1
2,alarm,clean_withhold_rate,0.5139366553406817,,1,1
2,alarm,host_accuracy,0.523353073720643,,1,1
2,alarm,host_macro_f1,0.5182393865798188,,1,1
2,alarm,poison_admission_rate,0.4289598824470344,,1,1
2,alarm_persistence,clean_withhold_rate,0.4276569820867094,,1,1
2,alarm_persistence,host_accuracy,0.522991637083565,,1,1
2,alarm_persistence,host_macro_f1,0.5176838552183943,,1,1
2,alarm_persistence,poison_admission_rate,0.5205213085939583,,1,1
2,confirmed,clean_withhold_rate,0.38257568592598196,,1,1
2,confirmed,host_accuracy,0.5228463774074953,,1,1
2,confirmed,host_macro_f1,0.5178776287395542,,1,1
2,confirmed,poison_admission_rate,0.5675666441645103,,1,1
2,error_rule,clean_withhold_rate,0.5038922587120677,,1,1
2,error_rule,host_accuracy,0.5216837160111808,,1,1
2,error_rule,host_macro_f1,0.5165828002389087,,1,1
2,error_rule,poison_admission_rate,0.3778147788787399,,1,1
2,no_reset,clean_withhold_rate,0.3641407806680762,,1,1
2,no_reset,host_accuracy,0.5275510361872433,,1,1
2,no_reset,host_macro_f1,0.522529288798229,,1,1
2,no_reset,poison_admission_rate,0.5860561907429712,,1,1
2,selected_map,clean_withhold_rate,0.3641407806680762,,1,1
2,selected_map,host_accuracy,0.5275510361872433,,1,1
2,selected_map,host_macro_f1,0.522529288798229,,1,1
2,selected_map,poison_admission_rate,0.5860561907429712,,1,1
