category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.24610169491525422,0.046516083777395065,5,5
0,alarm,host_accuracy,0.5587539696699375,0.01141865058769944,5,5
0,alarm,host_macro_f1,0.5558774665046199,0.012017370072269684,5,5
0,alarm,poison_admission_rate,,,5,0
0,alarm_persistence,clean_withhold_rate,0.3376271186440678,0.06632296732960326,5,5
0,alarm_persistence,host_accuracy,0.5458633363068689,0.011998922051584992,5,5
0,alarm_persistence,host_macro_f1,0.5419797082704937,0.009560827943124512,5,5
0,alarm_persistence,poison_admission_rate,,,5,0
0,confirmed,clean_withhold_rate,0.20677966101694914,0.0615793292358812,5,5
0,confirmed,host_accuracy,0.5647314897413024,0.017776239406146893,5,5
0,confirmed,host_macro_f1,0.5623138369553082,0.018899761127674938,5,5
0,confirmed,poison_admission_rate,,,5,0
0,error_rule,clean_withhold_rate,0.3694915254237288,0.07895467592442114,5,5
0,error_rule,host_accuracy,0.5557966101694916,0.019171944732449046,5,5
0,error_rule,host_macro_f1,0.5513469926529522,0.01532015177640906,5,5
0,error_rule,poison_admission_rate,,,5,0
0,no_reset,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,no_reset,host_accuracy,0.5601677074041035,0.011839151350776561,5,5
0,no_reset,host_macro_f1,0.5576023644552077,0.013457641172360245,5,5
0,no_reset,poison_admission_rate,,,5,0
0,selected_map,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,selected_map,host_accuracy,0.5601677074041035,0.011839151350776561,5,5
0,selected_map,host_macro_f1,0.5576023644552077,0.013457641172360245,5,5
0,selected_map,poison_admission_rate,,,5,0
1,alarm,clean_withhold_rate,0.26608297706883655,0.020306594486666562,5,5
1,alarm,host_accuracy,0.5547917930419268,0.010880016105949786,5,5
1,alarm,host_macro_f1,0.5493370274942462,0.010990549593455015,5,5
1,alarm,poison_admission_rate,0.7315676351100376,0.017645514636274104,5,5
1,alarm_persistence,clean_withhold_rate,0.3755005278990705,0.0694630192476512,5,5
1,alarm_persistence,host_accuracy,0.5375043710972346,0.014777670997590624,5,5
1,alarm_persistence,host_macro_f1,0.5325425635603135,0.013697299602105513,5,5
1,alarm_persistence,poison_admission_rate,0.6238888450911017,0.06918393770921097,5,5
1,confirmed,clean_withhold_rate,0.1894786477921119,0.02517073392333628,5,5
1,confirmed,host_accuracy,0.5583907225691347,0.010096947696769082,5,5
1,confirmed,host_macro_f1,0.5530068483715685,0.010295680154257329,5,5
1,confirmed,poison_admission_rate,0.8082106771523441,0.02525507140225917,5,5
1,error_rule,clean_withhold_rate,0.311915651730588,0.0506694969186618,5,5
1,error_rule,host_accuracy,0.5419375557537912,0.02043325103134512,5,5
1,error_rule,host_macro_f1,0.5368569429361287,0.0188313212277103,5,5
1,error_rule,poison_admission_rate,0.6884097254964087,0.048756711775034337,5,5
1,no_reset,clean_withhold_rate,0.19294471361788207,0.030992824193364556,5,5
1,no_reset,host_accuracy,0.5595182872435325,0.010784803091607405,5,5
1,no_reset,host_macro_f1,0.55353170404324,0.010399771906292866,5,5
1,no_reset,poison_admission_rate,0.8052437340382219,0.02993185020246932,5,5
1,selected_map,clean_withhold_rate,0.19294471361788207,0.030992824193364556,5,5
1,selected_map,host_accuracy,0.5595182872435325,0.010784803091607405,5,5
1,selected_map,host_macro_f1,0.55353170404324,0.010399771906292866,5,5
1,selected_map,poison_admission_rate,0.8052437340382219,0.02993185020246932,5,5
2,alarm,clean_withhold_rate,0.28623747489626006,0.030889810539170393,5,5
2,alarm,host_accuracy,0.5215350579839428,0.0245663424593482,5,5
2,alarm,host_macro_f1,0.5157755004943386,0.023347155500165508,5,5
2,alarm,poison_admission_rate,0.7142916332923461,0.03067508439716223,5,5
2,alarm_persistence,clean_withhold_rate,0.3956866678013994,0.02338259586794412,5,5
2,alarm_persistence,host_accuracy,0.5137484388938447,0.02497915071603434,5,5
2,alarm_persistence,host_macro_f1,0.5078720035981314,0.024600620594016274,5,5
2,alarm_persistence,poison_admission_rate,0.6033450330409791,0.027861246765683714,5,5
2,confirmed,clean_withhold_rate,0.2376056857586319,0.04708686631981576,5,5
2,confirmed,host_accuracy,0.5232899197145405,0.02865470359678057,5,5
2,confirmed,host_macro_f1,0.5174126990862369,0.02728664833876316,5,5
2,confirmed,poison_admission_rate,0.7636370680730156,0.04471638468686227,5,5
2,error_rule,clean_withhold_rate,0.3887793215296634,0.04821614321367485,5,5
2,error_rule,host_accuracy,0.5216271186440677,0.03226070845185538,5,5
2,error_rule,host_macro_f1,0.5149321120870842,0.03385886381019184,5,5
2,error_rule,poison_admission_rate,0.6070861755319303,0.053048773136674436,5,5
2,no_reset,clean_withhold_rate,0.21734253399868328,0.0459288222626337,5,5
2,no_reset,host_accuracy,0.5228724353256021,0.027653382631989847,5,5
2,no_reset,host_macro_f1,0.5171596563423677,0.02597751184471856,5,5
2,no_reset,poison_admission_rate,0.784198418801217,0.04453294529412277,5,5
2,selected_map,clean_withhold_rate,0.21734253399868328,0.0459288222626337,5,5
2,selected_map,host_accuracy,0.5228724353256021,0.027653382631989847,5,5
2,selected_map,host_macro_f1,0.5171596563423677,0.02597751184471856,5,5
2,selected_map,poison_admission_rate,0.784198418801217,0.04453294529412277,5,5
3,alarm,clean_withhold_rate,0.31080150735472556,0.038496269579778815,5,5
3,alarm,host_accuracy,0.5495740948197719,0.00907760899712947,5,5
3,alarm,host_macro_f1,0.5462924601493941,0.011094512225010823,5,5
3,alarm,poison_admission_rate,0.6555497201720755,0.13787275978979435,5,5
3,alarm_persistence,clean_withhold_rate,0.37531417164432634,0.05862175382792949,5,5
3,alarm_persistence,host_accuracy,0.5367629873275291,0.013919189979847698,5,5
3,alarm_persistence,host_macro_f1,0.5321638630639561,0.011383794989506518,5,5
3,alarm_persistence,poison_admission_rate,0.5250433547149809,0.08376452078951267,5,5
3,confirmed,clean_withhold_rate,0.26975377753092766,0.03179204021659233,5,5
3,confirmed,host_accuracy,0.5621624468982169,0.021772023666163636,5,5
3,confirmed,host_macro_f1,0.5584482645405018,0.024019923419570238,5,5
3,confirmed,poison_admission_rate,0.654084211568111,0.16089626679003577,5,5
3,error_rule,clean_withhold_rate,0.4232075313660326,0.07805480874242941,5,5
3,error_rule,host_accuracy,0.5381229900515578,0.0163656131159427,5,5
3,error_rule,host_macro_f1,0.5328775796579001,0.01401700348063584,5,5
3,error_rule,poison_admission_rate,0.4178051551823544,0.08425691606171389,5,5
3,no_reset,clean_withhold_rate,0.2671223735811252,0.03489887379060611,5,5
3,no_reset,host_accuracy,0.5487909172093777,0.018325110719140128,5,5
3,no_reset,host_macro_f1,0.5456248556696359,0.020873956881295407,5,5
3,no_reset,poison_admission_rate,0.7284493206070548,0.16476238036104218,5,5
3,selected_map,clean_withhold_rate,0.2671223735811252,0.03489887379060611,5,5
3,selected_map,host_accuracy,0.5487909172093777,0.018325110719140128,5,5
3,selected_map,host_macro_f1,0.5456248556696359,0.020873956881295407,5,5
3,selected_map,poison_admission_rate,0.7284493206070548,0.16476238036104218,5,5
4,alarm,clean_withhold_rate,0.29954329366641635,0.031801398452267336,5,5
4,alarm,host_accuracy,0.5346544607292312,0.012171593786768117,5,5
4,alarm,host_macro_f1,0.5307812003573973,0.01243669394174746,5,5
