category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.21980285064306843,,1,1
0,alarm,host_accuracy,0.5416055366678846,,1,1
0,alarm,host_macro_f1,0.5374147024215349,,1,1
0,alarm,poison_admission_rate,0.7339115967130097,,1,1
0,alarm_persistence,clean_withhold_rate,0.1831991132208302,,1,1
0,alarm_persistence,host_accuracy,0.5385083063452479,,1,1
0,alarm_persistence,host_macro_f1,0.5339995952859931,,1,1
0,alarm_persistence,poison_admission_rate,0.7623592636417477,,1,1
0,confirmed,clean_withhold_rate,0.13002936364253428,,1,1
0,confirmed,host_accuracy,0.5522592345891921,,1,1
0,confirmed,host_macro_f1,0.5476364058172323,,1,1
0,confirmed,poison_admission_rate,0.8214097009366376,,1,1
0,error_rule,clean_withhold_rate,0.2134919593994798,,1,1
0,error_rule,host_accuracy,0.5329778920312125,,1,1
0,error_rule,host_macro_f1,0.5278179718531812,,1,1
0,error_rule,poison_admission_rate,0.6889367641286605,,1,1
0,no_reset,clean_withhold_rate,0.12192008114931681,,1,1
0,no_reset,host_accuracy,0.552054953586573,,1,1
0,no_reset,host_macro_f1,0.5480713034533602,,1,1
0,no_reset,poison_admission_rate,0.8460878487757015,,1,1
0,selected_map,clean_withhold_rate,0.12192008114931681,,1,1
0,selected_map,host_accuracy,0.552054953586573,,1,1
0,selected_map,host_macro_f1,0.5480713034533602,,1,1
0,selected_map,poison_admission_rate,0.8460878487757015,,1,1
1,alarm,clean_withhold_rate,0.28118691531498163,,1,1
1,alarm,host_accuracy,0.5397746969719128,,1,1
1,alarm,host_macro_f1,0.5356434509538318,,1,1
1,alarm,poison_admission_rate,0.6658618395240912,,1,1
1,alarm_persistence,clean_withhold_rate,0.24303455134343657,,1,1
1,alarm_persistence,host_accuracy,0.5372317393432708,,1,1
1,alarm_persistence,host_macro_f1,0.5327216990692744,,1,1
1,alarm_persistence,poison_admission_rate,0.6958068082267973,,1,1
1,confirmed,clean_withhold_rate,0.18421191989554478,,1,1
1,confirmed,host_accuracy,0.5481617582448612,,1,1
1,confirmed,host_macro_f1,0.5439781533174172,,1,1
1,confirmed,poison_admission_rate,0.7563537091028009,,1,1
1,error_rule,clean_withhold_rate,0.2902762344482362,,1,1
1,error_rule,host_accuracy,0.533732043462784,,1,1
1,error_rule,host_macro_f1,0.5283371038815012,,1,1
1,error_rule,poison_admission_rate,0.5928543816847115,,1,1
1,no_reset,clean_withhold_rate,0.1688579498045816,,1,1
1,no_reset,host_accuracy,0.5484378240121898,,1,1
1,no_reset,host_macro_f1,0.5444276172769784,,1,1
1,no_reset,poison_admission_rate,0.797634991242519,,1,1
1,selected_map,clean_withhold_rate,0.1688579498045816,,1,1
1,selected_map,host_accuracy,0.5484378240121898,,1,1
1,selected_map,host_macro_f1,0.5444276172769784,,1,1
1,selected_map,poison_admission_rate,0.797634991242519,,1,1
2,alarm,clean_withhold_rate,0.3392003789758857,,1,1
2,alarm,host_accuracy,0.5389367303273799,,1,1
2,alarm,host_macro_f1,0.5345621996544292,,1,1
2,alarm,poison_admission_rate,0.5772780709480275,,1,1
2,alarm_persistence,clean_withhold_rate,0.3032219243062877,,1,1
2,alarm_persistence,host_accuracy,0.5346430806600017,,1,1
2,alarm_persistence,host_macro_f1,0.5298528636630626,,1,1
2,alarm_persistence,poison_admission_rate,0.6146770984838891,,1,1
2,confirmed,clean_withhold_rate,0.25954848866374197,,1,1
2,confirmed,host_accuracy,0.542059210570544,,1,1
2,confirmed,host_macro_f1,0.5374784137416396,,1,1
2,confirmed,poison_admission_rate,0.667214725088399,,1,1
2,error_rule,clean_withhold_rate,0.3807924420399266,,1,1
2,error_rule,host_accuracy,0.5349573750121733,,1,1
2,error_rule,host_macro_f1,0.5294746960413691,,1,1
2,error_rule,poison_admission_rate,0.48443351176312954,,1,1
2,no_reset,clean_withhold_rate,0.22938260383460848,,1,1
2,no_reset,host_accuracy,0.5425691723854149,,1,1
2,no_reset,host_macro_f1,0.5382632430967099,,1,1
2,no_reset,poison_admission_rate,0.724690033606028,,1,1
2,selected_map,clean_withhold_rate,0.22938260383460848,,1,1
2,selected_map,host_accuracy,0.5425691723854149,,1,1
2,selected_map,host_macro_f1,0.5382632430967099,,1,1
2,selected_map,poison_admission_rate,0.724690033606028,,1,1
