category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
0,confirmed_False,poison_admission_rate,,,5,0
0,confirmed_False,resets_per_100k,3.0,0.74535599249993,5,5
0,confirmed_False,training_visits_per_100k,100700.00000000001,1416.1763857498738,5,5
0,confirmed_True,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,confirmed_True,poison_admission_rate,,,5,0
0,confirmed_True,resets_per_100k,2.666666666666667,1.4907119849998598,5,5
0,confirmed_True,training_visits_per_100k,105133.33333333334,2649.423417357906,5,5
0,immediate_False,clean_withhold_rate,0.0,0.0,5,5
0,immediate_False,poison_admission_rate,,,5,0
0,immediate_False,resets_per_100k,10.0,1.666666666666666,5,5
0,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
0,immediate_True,clean_withhold_rate,0.24745762711864402,0.04883003488436587,5,5
0,immediate_True,poison_admission_rate,,,5,0
0,immediate_True,resets_per_100k,7.666666666666667,2.527625148017184,5,5
0,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
0,none_False,clean_withhold_rate,0.0,0.0,5,5
0,none_False,poison_admission_rate,,,5,0
0,none_False,resets_per_100k,0.0,0.0,5,5
0,none_False,training_visits_per_100k,95000.0,0.0,5,5
0,none_True,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,none_True,poison_admission_rate,,,5,0
0,none_True,resets_per_100k,0.0,0.0,5,5
0,none_True,training_visits_per_100k,95000.0,0.0,5,5
1,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
1,confirmed_False,poison_admission_rate,1.0,0.0,5,5
1,confirmed_False,resets_per_100k,2.3333333333333335,0.9128709291752769,5,5
1,confirmed_False,training_visits_per_100k,99433.33333333334,1734.454765433027,5,5
1,confirmed_True,clean_withhold_rate,0.22749986267081926,0.015479531844239069,5,5
1,confirmed_True,poison_admission_rate,0.7749945045684032,0.014358795875974436,5,5
1,confirmed_True,resets_per_100k,2.666666666666667,1.90029237516523,5,5
1,confirmed_True,training_visits_per_100k,103866.66666666667,3468.909530866054,5,5
1,immediate_False,clean_withhold_rate,0.0,0.0,5,5
1,immediate_False,poison_admission_rate,1.0,0.0,5,5
1,immediate_False,resets_per_100k,10.0,1.666666666666666,5,5
1,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
1,immediate_True,clean_withhold_rate,0.2818784126813685,0.02521690138742356,5,5
1,immediate_True,poison_admission_rate,0.7215408851211781,0.02864444868696543,5,5
1,immediate_True,resets_per_100k,6.333333333333334,2.472066162365221,5,5
1,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
1,none_False,clean_withhold_rate,0.0,0.0,5,5
1,none_False,poison_admission_rate,1.0,0.0,5,5
1,none_False,resets_per_100k,0.0,0.0,5,5
1,none_False,training_visits_per_100k,95000.0,0.0,5,5
1,none_True,clean_withhold_rate,0.19294471361788207,0.030992824193364556,5,5
1,none_True,poison_admission_rate,0.8052437340382219,0.02993185020246932,5,5
1,none_True,resets_per_100k,0.0,0.0,5,5
1,none_True,training_visits_per_100k,95000.0,0.0,5,5
2,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
2,confirmed_False,poison_admission_rate,1.0,0.0,5,5
2,confirmed_False,resets_per_100k,2.0,0.7453559924999299,5,5
2,confirmed_False,training_visits_per_100k,98800.0,1416.176385749869,5,5
2,confirmed_True,clean_withhold_rate,0.29144286367522343,0.05219757805793975,5,5
2,confirmed_True,poison_admission_rate,0.7082333841899434,0.05473373630631046,5,5
2,confirmed_True,resets_per_100k,2.666666666666667,2.23606797749979,5,5
2,confirmed_True,training_visits_per_100k,102600.0,2832.352771499731,5,5
2,immediate_False,clean_withhold_rate,0.0,0.0,5,5
2,immediate_False,poison_admission_rate,1.0,0.0,5,5
2,immediate_False,resets_per_100k,10.0,1.666666666666666,5,5
2,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
2,immediate_True,clean_withhold_rate,0.34910665055848633,0.08777551611478362,5,5
2,immediate_True,poison_admission_rate,0.6507155475186397,0.09405499557401394,5,5
2,immediate_True,resets_per_100k,5.333333333333334,1.825741858350554,5,5
2,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
2,none_False,clean_withhold_rate,0.0,0.0,5,5
2,none_False,poison_admission_rate,1.0,0.0,5,5
2,none_False,resets_per_100k,0.0,0.0,5,5
2,none_False,training_visits_per_100k,95000.0,0.0,5,5
2,none_True,clean_withhold_rate,0.21734253399868328,0.0459288222626337,5,5
2,none_True,poison_admission_rate,0.784198418801217,0.04453294529412277,5,5
2,none_True,resets_per_100k,0.0,0.0,5,5
2,none_True,training_visits_per_100k,95000.0,0.0,5,5
3,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
3,confirmed_False,poison_admission_rate,1.0,0.0,5,5
3,confirmed_False,resets_per_100k,3.3333333333333335,1.1785113019775793,5,5
3,confirmed_False,training_visits_per_100k,101333.33333333334,2239.1714737573984,5,5
3,confirmed_True,clean_withhold_rate,0.2469739391163684,0.05863776554922229,5,5
3,confirmed_True,poison_admission_rate,0.6386912386611849,0.06069565435161144,5,5
3,confirmed_True,resets_per_100k,2.666666666666667,2.23606797749979,5,5
3,confirmed_True,training_visits_per_100k,103233.33333333334,5752.535672785237,5,5
3,immediate_False,clean_withhold_rate,0.0,0.0,5,5
3,immediate_False,poison_admission_rate,1.0,0.0,5,5
3,immediate_False,resets_per_100k,10.333333333333334,1.8257418583505536,5,5
3,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
3,immediate_True,clean_withhold_rate,0.2866865367166974,0.07197582591735034,5,5
3,immediate_True,poison_admission_rate,0.6371264218602599,0.09969847755912566,5,5
3,immediate_True,resets_per_100k,5.0,1.6666666666666667,5,5
3,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
3,none_False,clean_withhold_rate,0.0,0.0,5,5
3,none_False,poison_admission_rate,1.0,0.0,5,5
3,none_False,resets_per_100k,0.0,0.0,5,5
3,none_False,training_visits_per_100k,95000.0,0.0,5,5
3,none_True,clean_withhold_rate,0.2671223735811252,0.03489887379060611,5,5
3,none_True,poison_admission_rate,0.7284493206070548,0.16476238036104218,5,5
3,none_True,resets_per_100k,0.0,0.0,5,5
3,none_True,training_visits_per_100k,95000.0,0.0,5,5
4,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
4,confirmed_False,poison_admission_rate,1.0,0.0,5,5
4,confirmed_False,resets_per_100k,4.0,1.90029237516523,5,5
4,confirmed_False,training_visits_per_100k,102600.0,3610.5555128139363,5,5
4,confirmed_True,clean_withhold_rate,0.26870069188291723,0.02413158939498799,5,5
4,confirmed_True,poison_admission_rate,0.6548473491789191,0.09710367405455958,5,5
4,confirmed_True,resets_per_100k,2.666666666666667,1.4907119849998598,5,5
4,confirmed_True,training_visits_per_100k,103233.33333333334,2832.352771499733,5,5
4,immediate_False,clean_withhold_rate,0.0,0.0,5,5
4,immediate_False,poison_admission_rate,1.0,0.0,5,5
4,immediate_False,resets_per_100k,10.666666666666668,1.9002923751652299,5,5
4,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
4,immediate_True,clean_withhold_rate,0.3164871417514767,0.04928779310972955,5,5
4,immediate_True,poison_admission_rate,0.5682529493452709,0.14231791578680075,5,5
4,immediate_True,resets_per_100k,7.0,2.173067468400883,5,5
4,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
4,none_False,clean_withhold_rate,0.0,0.0,5,5
4,none_False,poison_admission_rate,1.0,0.0,5,5
4,none_False,resets_per_100k,0.0,0.0,5,5
4,none_False,training_visits_per_100k,95000.0,0.0,5,5
4,none_True,clean_withhold_rate,0.23920762596144565,0.037682170041379574,5,5
4,none_True,poison_admission_rate,0.7016247877028761,0.10002346095833609,5,5
4,none_True,resets_per_100k,0.0,0.0,5,5
4,none_True,training_visits_per_100k,95000.0,0.0,5,5
5,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
5,confirmed_False,poison_admission_rate,1.0,0.0,5,5
5,confirmed_False,resets_per_100k,3.3333333333333335,1.1785113019775793,5,5
5,confirmed_False,training_visits_per_100k,101333.33333333334,2239.171473757396,5,5
5,confirmed_True,clean_withhold_rate,0.2665748481365968,0.09276545482226999,5,5
5,confirmed_True,poison_admission_rate,0.6364174583353428,0.1057698196588156,5,5
5,confirmed_True,resets_per_100k,1.0,0.9128709291752769,5,5
5,confirmed_True,training_visits_per_100k,98800.0,2649.42341735791,5,5
5,immediate_False,clean_withhold_rate,0.0,0.0,5,5
5,immediate_False,poison_admission_rate,1.0,0.0,5,5
5,immediate_False,resets_per_100k,7.0,2.173067468400883,5,5
5,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
5,immediate_True,clean_withhold_rate,0.29896723288385796,0.09651051237149409,5,5
5,immediate_True,poison_admission_rate,0.5941417563712014,0.1456533696817191,5,5
5,immediate_True,resets_per_100k,5.0,3.3333333333333335,5,5
5,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
5,none_False,clean_withhold_rate,0.0,0.0,5,5
5,none_False,poison_admission_rate,1.0,0.0,5,5
5,none_False,resets_per_100k,0.0,0.0,5,5
5,none_False,training_visits_per_100k,95000.0,0.0,5,5
5,none_True,clean_withhold_rate,0.24444490879702513,0.0745562956168764,5,5
5,none_True,poison_admission_rate,0.691297397426904,0.0696492286423751,5,5
5,none_True,resets_per_100k,0.0,0.0,5,5
5,none_True,training_visits_per_100k,95000.0,0.0,5,5
6,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
6,confirmed_False,poison_admission_rate,1.0,0.0,5,5
6,confirmed_False,resets_per_100k,3.3333333333333335,1.1785113019775793,5,5
6,confirmed_False,training_visits_per_100k,101333.33333333334,2239.171473757396,5,5
