category,series,metric,mean,sd,runs,defined
0,confirmed,clean_withhold_rate,0.17627118644067793,0.11532898872002711,5,5
0,confirmed,host_accuracy,0.9007100802854595,0.0068841356303578185,5,5
0,confirmed,host_macro_f1,0.8905744532071942,0.007492367142558235,5,5
0,confirmed,poison_admission_rate,,,5,0
0,q_alarm_persistence_17,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,q_alarm_persistence_17,host_accuracy,0.9022479928635146,0.006987096084801581,5,5
0,q_alarm_persistence_17,host_macro_f1,0.8924145599514667,0.007720231239593029,5,5
0,q_alarm_persistence_17,poison_admission_rate,,,5,0
0,q_alarm_persistence_27,clean_withhold_rate,0.2813559322033898,0.0543959543589194,5,5
0,q_alarm_persistence_27,host_accuracy,0.9123568242640498,0.0017980101681158338,5,5
0,q_alarm_persistence_27,host_macro_f1,0.9033271320739059,0.0022365008977954354,5,5
0,q_alarm_persistence_27,poison_admission_rate,,,5,0
0,q_alarm_persistence_37,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,q_alarm_persistence_37,host_accuracy,0.9022479928635146,0.006987096084801581,5,5
0,q_alarm_persistence_37,host_macro_f1,0.8924145599514667,0.007720231239593029,5,5
0,q_alarm_persistence_37,poison_admission_rate,,,5,0
0,q_alarm_persistence_47,clean_withhold_rate,0.2813559322033898,0.0543959543589194,5,5
0,q_alarm_persistence_47,host_accuracy,0.9123568242640498,0.0017980101681158338,5,5
0,q_alarm_persistence_47,host_macro_f1,0.9033271320739059,0.0022365008977954354,5,5
0,q_alarm_persistence_47,poison_admission_rate,,,5,0
0,q_alarm_persistence_7,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,q_alarm_persistence_7,host_accuracy,0.9022479928635146,0.006987096084801581,5,5
0,q_alarm_persistence_7,host_macro_f1,0.8924145599514667,0.007720231239593029,5,5
0,q_alarm_persistence_7,poison_admission_rate,,,5,0
1,confirmed,clean_withhold_rate,0.23746159360483446,0.1271678509992785,5,5
1,confirmed,host_accuracy,0.9007564674397859,0.004864955677638754,5,5
1,confirmed,host_macro_f1,0.8906883175210165,0.005330744430249845,5,5
1,confirmed,poison_admission_rate,0.7636766144194354,0.12871176988500155,5,5
1,q_alarm_persistence_17,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
1,q_alarm_persistence_17,host_accuracy,0.899907225691347,0.004895201059059632,5,5
1,q_alarm_persistence_17,host_macro_f1,0.8896951450737836,0.005642919361619988,5,5
1,q_alarm_persistence_17,poison_admission_rate,0.7754607376227233,0.10617153870965738,5,5
1,q_alarm_persistence_27,clean_withhold_rate,0.38013425167188986,0.07410366842249297,5,5
1,q_alarm_persistence_27,host_accuracy,0.9156181980374665,0.002206497211156131,5,5
1,q_alarm_persistence_27,host_macro_f1,0.907904429527636,0.0024010694767811936,5,5
1,q_alarm_persistence_27,poison_admission_rate,0.6229649530433938,0.07653470297002363,5,5
1,q_alarm_persistence_37,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
1,q_alarm_persistence_37,host_accuracy,0.899907225691347,0.004895201059059632,5,5
1,q_alarm_persistence_37,host_macro_f1,0.8896951450737836,0.005642919361619988,5,5
1,q_alarm_persistence_37,poison_admission_rate,0.7754607376227233,0.10617153870965738,5,5
1,q_alarm_persistence_47,clean_withhold_rate,0.38013425167188986,0.07410366842249297,5,5
1,q_alarm_persistence_47,host_accuracy,0.9156181980374665,0.002206497211156131,5,5
1,q_alarm_persistence_47,host_macro_f1,0.907904429527636,0.0024010694767811936,5,5
1,q_alarm_persistence_47,poison_admission_rate,0.6229649530433938,0.07653470297002363,5,5
1,q_alarm_persistence_7,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
1,q_alarm_persistence_7,host_accuracy,0.899907225691347,0.004895201059059632,5,5
1,q_alarm_persistence_7,host_macro_f1,0.8896951450737836,0.005642919361619988,5,5
1,q_alarm_persistence_7,poison_admission_rate,0.7754607376227233,0.10617153870965738,5,5
2,confirmed,clean_withhold_rate,0.27751157180425734,0.08911245009296268,5,5
2,confirmed,host_accuracy,0.895636039250669,0.007139189942430222,5,5
2,confirmed,host_macro_f1,0.8850698465251245,0.00813027683553743,5,5
2,confirmed,poison_admission_rate,0.7206948122262176,0.09346875726330106,5,5
2,q_alarm_persistence_17,clean_withhold_rate,0.2742252766595551,0.08812745611251259,5,5
2,q_alarm_persistence_17,host_accuracy,0.8937270294380018,0.003826755161263188,5,5
2,q_alarm_persistence_17,host_macro_f1,0.8826716954178158,0.00396663898050315,5,5
2,q_alarm_persistence_17,poison_admission_rate,0.7243886324509367,0.0925922039004721,5,5
2,q_alarm_persistence_27,clean_withhold_rate,0.4102054699347513,0.08935897302481925,5,5
2,q_alarm_persistence_27,host_accuracy,0.9074041034790366,0.004005560969595985,5,5
2,q_alarm_persistence_27,host_macro_f1,0.8992452147977182,0.00441127487306126,5,5
2,q_alarm_persistence_27,poison_admission_rate,0.5899354360023654,0.08878671719974822,5,5
2,q_alarm_persistence_37,clean_withhold_rate,0.2742252766595551,0.08812745611251259,5,5
2,q_alarm_persistence_37,host_accuracy,0.8937270294380018,0.003826755161263188,5,5
2,q_alarm_persistence_37,host_macro_f1,0.8826716954178158,0.00396663898050315,5,5
2,q_alarm_persistence_37,poison_admission_rate,0.7243886324509367,0.0925922039004721,5,5
2,q_alarm_persistence_47,clean_withhold_rate,0.4102054699347513,0.08935897302481925,5,5
2,q_alarm_persistence_47,host_accuracy,0.9074041034790366,0.004005560969595985,5,5
2,q_alarm_persistence_47,host_macro_f1,0.8992452147977182,0.00441127487306126,5,5
2,q_alarm_persistence_47,poison_admission_rate,0.5899354360023654,0.08878671719974822,5,5
2,q_alarm_persistence_7,clean_withhold_rate,0.2742252766595551,0.08812745611251259,5,5
2,q_alarm_persistence_7,host_accuracy,0.8937270294380018,0.003826755161263188,5,5
2,q_alarm_persistence_7,host_macro_f1,0.8826716954178158,0.00396663898050315,5,5
2,q_alarm_persistence_7,poison_admission_rate,0.7243886324509367,0.0925922039004721,5,5
3,confirmed,clean_withhold_rate,0.20919432381455177,0.061062636554530474,5,5
3,confirmed,host_accuracy,0.9013364630372586,0.003084982989064406,5,5
3,confirmed,host_macro_f1,0.891622145514293,0.0035522172455354013,5,5
