category,series,metric,mean,sd,runs,defined
0,confirmed,clean_withhold_rate,0.19999999999999998,0.09467281385606063,5,5
0,confirmed,host_accuracy,0.9093773416592328,0.0016675379421414688,5,5
0,confirmed,host_macro_f1,0.9009210716624827,0.0022236347288060562,5,5
0,confirmed,poison_admission_rate,,,5,0
0,q_alarm_17,clean_withhold_rate,0.31186440677966104,0.07150855291433555,5,5
0,q_alarm_17,host_accuracy,0.9131525423728813,0.0011144976199386279,5,5
0,q_alarm_17,host_macro_f1,0.9043026109983853,0.0011815121081434645,5,5
0,q_alarm_17,poison_admission_rate,,,5,0
0,q_alarm_27,clean_withhold_rate,0.30508474576271183,0.07090339207915897,5,5
0,q_alarm_27,host_accuracy,0.9132346119536129,0.0016480395181000705,5,5
0,q_alarm_27,host_macro_f1,0.9043969616641603,0.0018998598832365482,5,5
0,q_alarm_27,poison_admission_rate,,,5,0
0,q_alarm_37,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,q_alarm_37,host_accuracy,0.9022479928635146,0.006987096084801581,5,5
0,q_alarm_37,host_macro_f1,0.8924145599514667,0.007720231239593029,5,5
0,q_alarm_37,poison_admission_rate,,,5,0
0,q_alarm_47,clean_withhold_rate,0.30508474576271183,0.07090339207915897,5,5
0,q_alarm_47,host_accuracy,0.9132346119536129,0.0016480395181000705,5,5
0,q_alarm_47,host_macro_f1,0.9043969616641603,0.0018998598832365482,5,5
0,q_alarm_47,poison_admission_rate,,,5,0
0,q_alarm_7,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,q_alarm_7,host_accuracy,0.9022479928635146,0.006987096084801581,5,5
0,q_alarm_7,host_macro_f1,0.8924145599514667,0.007720231239593029,5,5
0,q_alarm_7,poison_admission_rate,,,5,0
1,confirmed,clean_withhold_rate,0.34944354162957453,0.09462912196093663,5,5
1,confirmed,host_accuracy,0.9111757359500446,0.004425890439713142,5,5
1,confirmed,host_macro_f1,0.9030504728660856,0.004495877909030419,5,5
1,confirmed,poison_admission_rate,0.6524676947606303,0.09099553589628485,5,5
1,q_alarm_17,clean_withhold_rate,0.3967421630412692,0.06838744384314621,5,5
1,q_alarm_17,host_accuracy,0.9162176628010703,0.0014209269087430523,5,5
1,q_alarm_17,host_macro_f1,0.9087149962941629,0.0014748607767475109,5,5
1,q_alarm_17,poison_admission_rate,0.6041216685692533,0.0687316634236624,5,5
1,q_alarm_27,clean_withhold_rate,0.40045773446229527,0.08665735815822145,5,5
1,q_alarm_27,host_accuracy,0.9168991971454059,0.0021249177032710473,5,5
1,q_alarm_27,host_macro_f1,0.9094596999271192,0.0022083929101138753,5,5
1,q_alarm_27,poison_admission_rate,0.6025403682235739,0.08840468765700563,5,5
1,q_alarm_37,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
1,q_alarm_37,host_accuracy,0.899907225691347,0.004895201059059632,5,5
1,q_alarm_37,host_macro_f1,0.8896951450737836,0.005642919361619988,5,5
1,q_alarm_37,poison_admission_rate,0.7754607376227233,0.10617153870965738,5,5
1,q_alarm_47,clean_withhold_rate,0.40045773446229527,0.08665735815822145,5,5
1,q_alarm_47,host_accuracy,0.9168991971454059,0.0021249177032710473,5,5
1,q_alarm_47,host_macro_f1,0.9094596999271192,0.0022083929101138753,5,5
1,q_alarm_47,poison_admission_rate,0.6025403682235739,0.08840468765700563,5,5
1,q_alarm_7,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
