category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.22960142729705613,0.07061611047783957,5,5
0,learned_features,host_accuracy,0.9040899197145406,0.0031528966530147535,5,5
0,learned_features,host_macro_f1,0.894515570404206,0.0031873071941556225,5,5
0,learned_features,poison_admission_rate,,,5,0
0,learned_features_label,clean_withhold_rate,0.18326779661016945,0.03703895764204073,5,5
0,learned_features_label,host_accuracy,0.9047450490633363,0.003762219401160333,5,5
0,learned_features_label,host_macro_f1,0.895739276032567,0.004304689624663165,5,5
0,learned_features_label,poison_admission_rate,,,5,0
0,none,clean_withhold_rate,0.17288135593220336,0.07985911179247286,5,5
0,none,host_accuracy,0.9042818911685995,0.00796280948060078,5,5
0,none,host_macro_f1,0.8949039286171694,0.008711580844058951,5,5
0,none,poison_admission_rate,,,5,0
1,learned_features,clean_withhold_rate,0.3056786061404503,0.0847416603712527,5,5
1,learned_features,host_accuracy,0.903564674397859,0.002847501223734471,5,5
1,learned_features,host_macro_f1,0.8938467857870561,0.0030651962098034555,5,5
1,learned_features,poison_admission_rate,0.6952769906859433,0.08330388391294215,5,5
1,learned_features_label,clean_withhold_rate,0.18062647302763257,0.014747550395420176,5,5
1,learned_features_label,host_accuracy,0.9006544157002676,0.0033301489249750564,5,5
1,learned_features_label,host_macro_f1,0.8911058413020315,0.003637536521209495,5,5
1,learned_features_label,poison_admission_rate,0.1966131155363603,0.004542237674480125,5,5
1,none,clean_withhold_rate,0.24796129567205819,0.11392353106345081,5,5
1,none,host_accuracy,0.9035147190008921,0.006003468829411053,5,5
1,none,host_macro_f1,0.8939998183778162,0.006504501076022271,5,5
1,none,poison_admission_rate,0.755344043129741,0.11496165893292166,5,5
2,learned_features,clean_withhold_rate,0.34832400852803114,0.06624675342841616,5,5
2,learned_features,host_accuracy,0.8970561998215878,0.0038939362344709056,5,5
2,learned_features,host_macro_f1,0.8865740447063694,0.004354226312151551,5,5
2,learned_features,poison_admission_rate,0.6529924550500557,0.06588787545420266,5,5
2,learned_features_label,clean_withhold_rate,0.24673828499186484,0.06922906859503232,5,5
2,learned_features_label,host_accuracy,0.8971197145405888,0.0026168509680764844,5,5
2,learned_features_label,host_macro_f1,0.8872465478339195,0.0032373697386625833,5,5
2,learned_features_label,poison_admission_rate,0.181382815290271,0.01644429424337702,5,5
2,none,clean_withhold_rate,0.29498299495468105,0.12162968691025254,5,5
2,none,host_accuracy,0.8954148082069582,0.00538129262251138,5,5
2,none,host_macro_f1,0.8846898000682767,0.006128776298843371,5,5
2,none,poison_admission_rate,0.7052784801963403,0.1254701748623313,5,5
3,learned_features,clean_withhold_rate,0.26770188453314014,0.027606375120159534,5,5
3,learned_features,host_accuracy,0.9016664860421149,0.002564616772906861,5,5
3,learned_features,host_macro_f1,0.8919324083925619,0.0029907126479938604,5,5
3,learned_features,poison_admission_rate,0.6918558749875594,0.05367549043587854,5,5
3,learned_features_label,clean_withhold_rate,0.19297153123754116,0.05772439456287827,5,5
3,learned_features_label,host_accuracy,0.9024275622280384,0.0033585592898266767,5,5
3,learned_features_label,host_macro_f1,0.8932201728892192,0.0036870949568802653,5,5
3,learned_features_label,poison_admission_rate,0.5467972672695954,0.05993433055687703,5,5
3,none,clean_withhold_rate,0.2274987570528862,0.05672620524449162,5,5
3,none,host_accuracy,0.8977154131960962,0.006584864560945989,5,5
3,none,host_macro_f1,0.8876598142523189,0.00724583155902291,5,5
3,none,poison_admission_rate,0.708429044667766,0.049134214273611546,5,5
4,learned_features,clean_withhold_rate,0.2827689069867394,0.07972098297585366,5,5
4,learned_features,host_accuracy,0.8987159966082343,0.0037901580432900973,5,5
4,learned_features,host_macro_f1,0.8889182630455921,0.004179046601333112,5,5
4,learned_features,poison_admission_rate,0.6557254520645734,0.0577906534045369,5,5
4,learned_features_label,clean_withhold_rate,0.21831479234080214,0.0360131477121818,5,5
4,learned_features_label,host_accuracy,0.8989604348521881,0.003954212568295343,5,5
4,learned_features_label,host_macro_f1,0.888971036359667,0.0044287812576469954,5,5
4,learned_features_label,poison_admission_rate,0.47150973221261727,0.02538988372784187,5,5
4,none,clean_withhold_rate,0.25925050399475874,0.07677401625856096,5,5
4,none,host_accuracy,0.9017388455765116,0.005112232544321547,5,5
4,none,host_macro_f1,0.8920127234393946,0.00624617918821941,5,5
4,none,poison_admission_rate,0.6805148893212266,0.06640870624590285,5,5
5,learned_features,clean_withhold_rate,0.22982731766879,0.047525527367523,5,5
5,learned_features,host_accuracy,0.9029658674021483,0.00365624031914477,5,5
5,learned_features,host_macro_f1,0.8938251797825784,0.003911721352021006,5,5
5,learned_features,poison_admission_rate,0.7218897203576808,0.062371642845565144,5,5
5,learned_features_label,clean_withhold_rate,0.18178580666536526,0.03304473512606168,5,5
5,learned_features_label,host_accuracy,0.8988875582221475,0.0019942334039174054,5,5
5,learned_features_label,host_macro_f1,0.889349285343753,0.0018671167690973377,5,5
