stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_rows,status,folder
SEA_A,clean,none,115.0,,,SEA_A__s115,SEA_A__s115__clean__none,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__clean__none
SEA_A,concept,moderate,115.0,2983410498.0,,SEA_A__s115,SEA_A__s115__concept__moderate,47512,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__concept__moderate
SEA_A,instance,moderate,115.0,2392216387.0,,SEA_A__s115,SEA_A__s115__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__instance__moderate
SEA_A,instance,severe,115.0,345179728.0,,SEA_A__s115,SEA_A__s115__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__instance__severe
SEA_A,splice,moderate,115.0,1669518770.0,,SEA_A__s115,SEA_A__s115__splice__moderate,47495,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__splice__moderate
SEA_A,splice,severe,115.0,3823887799.0,,SEA_A__s115,SEA_A__s115__splice__severe,41816,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__splice__severe
SEA_A,clean,none,116.0,,,SEA_A__s116,SEA_A__s116__clean__none,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__clean__none
SEA_A,concept,severe,115.0,3074832534.0,,SEA_A__s115,SEA_A__s115__concept__severe,41779,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s115__concept__severe
SEA_A,concept,moderate,116.0,2842105116.0,,SEA_A__s116,SEA_A__s116__concept__moderate,47478,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__concept__moderate
SEA_A,instance,moderate,116.0,453400147.0,,SEA_A__s116,SEA_A__s116__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__instance__moderate
SEA_A,concept,severe,116.0,1226260622.0,,SEA_A__s116,SEA_A__s116__concept__severe,41789,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__concept__severe
SEA_A,instance,severe,116.0,3914142360.0,,SEA_A__s116,SEA_A__s116__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__instance__severe
SEA_A,splice,moderate,116.0,921862620.0,,SEA_A__s116,SEA_A__s116__splice__moderate,47537,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__splice__moderate
SEA_A,splice,severe,116.0,1993734708.0,,SEA_A__s116,SEA_A__s116__splice__severe,41812,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s116__splice__severe
SEA_A,clean,none,117.0,,,SEA_A__s117,SEA_A__s117__clean__none,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s117__clean__none
SEA_A,instance,moderate,117.0,1195402420.0,,SEA_A__s117,SEA_A__s117__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s117__instance__moderate
