stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,1,115,instance,moderate,SEA_A__s115__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,1,115,instance,severe,SEA_A__s115__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,1,115,concept,moderate,SEA_A__s115__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,1,115,concept,severe,SEA_A__s115__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,1,115,splice,moderate,SEA_A__s115__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,1,115,splice,severe,SEA_A__s115__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,clean,none,SEA_A__s116__clean__none,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,instance,moderate,SEA_A__s116__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,instance,severe,SEA_A__s116__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,concept,moderate,SEA_A__s116__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,concept,severe,SEA_A__s116__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,splice,moderate,SEA_A__s116__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,2,116,splice,severe,SEA_A__s116__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,clean,none,SEA_A__s117__clean__none,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,instance,moderate,SEA_A__s117__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,instance,severe,SEA_A__s117__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,concept,moderate,SEA_A__s117__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,concept,severe,SEA_A__s117__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,splice,moderate,SEA_A__s117__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,3,117,splice,severe,SEA_A__s117__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,clean,none,SEA_A__s118__clean__none,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,instance,moderate,SEA_A__s118__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,instance,severe,SEA_A__s118__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,concept,moderate,SEA_A__s118__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,concept,severe,SEA_A__s118__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,splice,moderate,SEA_A__s118__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,4,118,splice,severe,SEA_A__s118__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,clean,none,SEA_A__s119__clean__none,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,instance,moderate,SEA_A__s119__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,instance,severe,SEA_A__s119__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,concept,moderate,SEA_A__s119__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,concept,severe,SEA_A__s119__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,splice,moderate,SEA_A__s119__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
SEA_A,5,119,splice,severe,SEA_A__s119__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,1,115,clean,none,RBF_I__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,1,115,instance,moderate,RBF_I__s115__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,1,115,instance,severe,RBF_I__s115__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,1,115,concept,moderate,RBF_I__s115__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,1,115,concept,severe,RBF_I__s115__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
