stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.15254237288135594,9,59,0,0,,8,0,0.0,1.0,3.0,3.0,4.666666666666667,0.013254929945105689,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__clean__none
RBF_I,concept,moderate,115.0,816888935.0,,RBF_I__s115,RBF_I__s115__concept__moderate,0.4576271186440678,27,59,26,23,0.8846153846153846,0,0,,1.0,3.0,3.0,4.0,0.013207710144342855,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__concept__moderate
RBF_I,concept,severe,115.0,1773327730.0,,RBF_I__s115,RBF_I__s115__concept__severe,0.4576271186440678,27,59,29,24,0.8275862068965517,0,0,,1.0,3.0,3.0,4.333333333333333,0.01326597678901938,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__concept__severe
RBF_I,instance,moderate,115.0,2781123431.0,,RBF_I__s115,RBF_I__s115__instance__moderate,0.11864406779661017,7,59,59,7,0.11864406779661017,0,0,,1.0,3.0,3.0,3.6666666666666665,0.013274924955718841,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__instance__moderate
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,0.0847457627118644,5,59,59,5,0.0847457627118644,0,0,,1.0,3.0,3.0,4.333333333333333,0.01309930817418111,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__instance__severe
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,0.4406779661016949,26,59,28,21,0.75,0,0,,1.0,3.0,3.0,4.333333333333333,0.01317797830173125,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__splice__moderate
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,0.3220338983050847,19,59,29,17,0.5862068965517241,0,0,,1.0,3.0,3.0,3.0,0.013406804985910034,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s115__splice__severe
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,0.15254237288135594,9,59,0,0,,8,0,0.0,1.0,3.0,3.0,3.6666666666666665,0.013685423182323575,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__clean__none
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,0.4745762711864407,28,59,26,23,0.8846153846153846,0,0,,1.0,3.0,3.0,5.0,0.013587018086885413,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__concept__moderate
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,0.4915254237288136,29,59,29,24,0.8275862068965517,0,0,,1.0,3.0,3.0,2.6666666666666665,0.013708961826826757,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__concept__severe
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,0.11864406779661017,7,59,59,7,0.11864406779661017,0,0,,1.0,3.0,3.0,5.333333333333333,0.014688746693233648,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__instance__moderate
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,0.0847457627118644,5,59,59,5,0.0847457627118644,0,0,,1.0,3.0,3.0,8.666666666666666,0.01339680481275233,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__instance__severe
RBF_I,splice,moderate,116.0,2889189400.0,,RBF_I__s116,RBF_I__s116__splice__moderate,0.3898305084745763,23,59,27,18,0.6666666666666666,0,0,,1.0,3.0,3.0,4.333333333333333,0.0140436085833547,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__splice__moderate
RBF_I,splice,severe,116.0,51810913.0,,RBF_I__s116,RBF_I__s116__splice__severe,0.3728813559322034,22,59,29,19,0.6551724137931034,0,0,,1.0,3.0,3.0,2.6666666666666665,0.013424448407022282,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s116__splice__severe
RBF_I,clean,none,117.0,,,RBF_I__s117,RBF_I__s117__clean__none,0.13559322033898305,8,59,0,0,,8,0,0.0,1.0,3.0,3.0,2.0,0.01609222497791052,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__clean__none
RBF_I,concept,moderate,117.0,1695553040.0,,RBF_I__s117,RBF_I__s117__concept__moderate,0.559322033898305,33,59,27,26,0.9629629629629629,0,0,,1.0,3.0,3.0,2.3333333333333335,0.013767985365120694,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__concept__moderate
RBF_I,concept,severe,117.0,4269849707.0,,RBF_I__s117,RBF_I__s117__concept__severe,0.4576271186440678,27,59,29,22,0.7586206896551724,0,0,,1.0,3.0,3.0,4.333333333333333,0.013998750170382362,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__concept__severe
RBF_I,instance,moderate,117.0,670137400.0,,RBF_I__s117,RBF_I__s117__instance__moderate,0.13559322033898305,8,59,59,8,0.13559322033898305,0,0,,1.0,3.0,3.0,2.6666666666666665,0.01488707673464281,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__instance__moderate
RBF_I,instance,severe,117.0,2977372565.0,,RBF_I__s117,RBF_I__s117__instance__severe,0.1016949152542373,6,59,59,6,0.1016949152542373,0,0,,1.0,3.0,3.0,3.0,0.014011455059517173,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__instance__severe
RBF_I,splice,moderate,117.0,559821452.0,,RBF_I__s117,RBF_I__s117__splice__moderate,0.3389830508474576,20,59,28,15,0.5357142857142857,0,0,,1.0,3.0,3.0,5.333333333333333,0.013836379803251475,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__splice__moderate
RBF_I,splice,severe,117.0,3664738830.0,,RBF_I__s117,RBF_I__s117__splice__severe,0.2711864406779661,16,59,29,11,0.3793103448275862,0,0,,1.0,3.0,3.0,7.333333333333333,0.014706733394026136,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__splice__severe
RBF_I,clean,none,118.0,,,RBF_I__s118,RBF_I__s118__clean__none,0.13559322033898305,8,59,0,0,,8,1,0.125,1.0,3.0,3.0,4.333333333333333,0.014886876500289267,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__clean__none
RBF_I,concept,moderate,118.0,3840731115.0,,RBF_I__s118,RBF_I__s118__concept__moderate,0.4915254237288136,29,59,28,25,0.8928571428571429,0,0,,1.0,3.0,3.0,2.6666666666666665,0.01407465329975821,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__concept__moderate
RBF_I,concept,severe,118.0,3811301496.0,,RBF_I__s118,RBF_I__s118__concept__severe,0.4915254237288136,29,59,29,24,0.8275862068965517,0,0,,1.0,3.0,3.0,1.0,0.013527081609936431,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__concept__severe
