stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
radar,radar__evaluation__clean__none__aNone,clean,none,features,0.5584489674967715,75608,0,0.0,,,,0.0,0.0007406623637710295,75552,56,0,0
radar,radar__evaluation__clean__none__aNone,clean,none,features_label,0.6314018075581159,75608,0,0.0,,,,0.0,0.08477938842450534,69198,6410,0,0
radar,radar__evaluation__instance__moderate__a0,instance,moderate,features,0.5584489674967715,75608,11481,0.15184901068669981,0.49630547540268505,0.15005814302578066,0.0003484017071683651,0.07142857142857142,0.0008108908883933444,64075,52,11477,4
radar,radar__evaluation__instance__moderate__a0,instance,moderate,features_label,0.6314018075581159,75608,11481,0.15184901068669981,0.21518719833792932,0.10832047268074663,0.026914031878756205,0.05391729192113069,0.08455096917055219,58705,5422,11172,309
radar,radar__evaluation__instance__moderate__a1,instance,moderate,features,0.5584489674967715,75608,11429,0.15116125277748385,0.5009644809442599,0.15287468672801335,0.0008749671887304226,0.17857142857142858,0.0007167453528412721,64133,46,11419,10
radar,radar__evaluation__instance__moderate__a1,instance,moderate,features_label,0.6314018075581159,75608,11429,0.15116125277748385,0.21660892577152552,0.10887800626364527,0.030098871292326537,0.059402521153514076,0.08487199862883497,58732,5447,11085,344
radar,radar__evaluation__instance__moderate__a2,instance,moderate,features,0.5584489674967715,75608,11533,0.15253676859591578,0.492076432421998,0.14979016909506948,0.0006936616665221538,0.14285714285714285,0.0007491221225126804,64027,48,11525,8
radar,radar__evaluation__instance__moderate__a2,instance,moderate,features_label,0.6314018075581159,75608,11533,0.15253676859591578,0.2171972577359396,0.1096246644356208,0.027312928119309805,0.0554675118858954,0.08371439719079204,58711,5364,11218,315
radar,radar__evaluation__instance__moderate__a3,instance,moderate,features,0.5584489674967715,75608,11525,0.15243095968680562,0.4995288749545016,0.15173351253015044,0.0006941431670281996,0.14285714285714285,0.0007490286035297973,64035,48,11517,8
radar,radar__evaluation__instance__moderate__a3,instance,moderate,features_label,0.6314018075581159,75608,11525,0.15243095968680562,0.21522117449160885,0.10857874569975623,0.025075921908893708,0.0507908611599297,0.08428132265967574,58682,5401,11236,289
radar,radar__evaluation__instance__moderate__a4,instance,moderate,features,0.5584489674967715,75608,11460,0.1515712623002857,0.5019048242061523,0.15279910649628034,0.0006980802792321117,0.14285714285714285,0.0007482696264887448,64100,48,11452,8
radar,radar__evaluation__instance__moderate__a4,instance,moderate,features_label,0.6314018075581159,75608,11460,0.1515712623002857,0.21441236090602436,0.10957267146153646,0.02774869109947644,0.05543933054393305,0.08446093408991706,58730,5418,11142,318
radar,radar__evaluation__instance__severe__a0,instance,severe,features,0.5584489674967715,75608,18934,0.2504232356364406,0.5062120862152465,0.2539836762457762,0.0005281504172388297,0.17857142857142858,0.0008116596675724319,56628,46,18924,10
radar,radar__evaluation__instance__severe__a0,instance,severe,features_label,0.6314018075581159,75608,18934,0.2504232356364406,0.2171194969236156,0.17678859669618088,0.0285201225308968,0.10140845070422536,0.08443025020291492,51889,4785,18394,540
radar,radar__evaluation__instance__severe__a1,instance,severe,features,0.5584489674967715,75608,18916,0.2501851655909428,0.49801530115644793,0.24938360538259746,0.0005286529921759357,0.17857142857142858,0.000811401961476046,56646,46,18906,10
radar,radar__evaluation__instance__severe__a1,instance,severe,features_label,0.6314018075581159,75608,18916,0.2501851655909428,0.21326227477566023,0.17608562805482858,0.02738422499471347,0.09671396564600448,0.08533831933958937,51854,4838,18398,518
radar,radar__evaluation__instance__severe__a2,instance,severe,features,0.5584489674967715,75608,18891,0.24985451274997356,0.4996710117026181,0.25120672892105034,0.0011116404637128792,0.375,0.0006170989297741417,56682,35,18870,21
radar,radar__evaluation__instance__severe__a2,instance,severe,features_label,0.6314018075581159,75608,18891,0.24985451274997356,0.21411907632825203,0.17630857170736972,0.02853210523529723,0.10018587360594795,0.08535359768676058,51876,4841,18352,539
radar,radar__evaluation__instance__severe__a3,instance,severe,features,0.5584489674967715,75608,19143,0.2531874933869432,0.4990073567630193,0.252307070266215,0.0006790994097058977,0.23214285714285715,0.0007615336934384131,56422,43,19130,13
radar,radar__evaluation__instance__severe__a3,instance,severe,features_label,0.6314018075581159,75608,19143,0.2531874933869432,0.22065758289966725,0.17991509066916225,0.028678890456041373,0.10407582938388625,0.08369786593464978,51739,4726,18594,549
radar,radar__evaluation__instance__severe__a4,instance,severe,features,0.5584489674967715,75608,18954,0.25068775790921594,0.4980175065033903,0.249919230492762,0.0007386303682599979,0.25,0.0007413421823701769,56612,42,18940,14
radar,radar__evaluation__instance__severe__a4,instance,severe,features_label,0.6314018075581159,75608,18954,0.25068775790921594,0.21280526612993086,0.17556772574002522,0.02775139812176849,0.09809772472957852,0.08536025699862322,51818,4836,18428,526
radar,radar__evaluation__concept__moderate__a0,concept,moderate,features,0.5584489674967715,84649,20482,0.2419638743517348,0.9985022337452457,0.996640708064555,0.9368225759203203,0.9975565375617365,0.000732463727461156,64120,47,1294,19188
radar,radar__evaluation__concept__moderate__a0,concept,moderate,features_label,0.6314018075581159,84649,20482,0.2419638743517348,0.9330540506740627,0.8768214766294712,0.7554926276730788,0.7374541295334318,0.08585409945922359,58658,5509,5008,15474
radar,radar__evaluation__concept__moderate__a1,concept,moderate,features,0.5584489674967715,85767,20406,0.23792367693868272,0.9986255760258429,0.9967464402893916,0.9367342938351465,0.9979117723831897,0.000611985740732241,65321,40,1291,19115
radar,radar__evaluation__concept__moderate__a1,concept,moderate,features_label,0.6314018075581159,85767,20406,0.23792367693868272,0.93119648792042,0.8724799652968758,0.7560521415270018,0.7207325049051668,0.09146126895243341,59383,5978,4978,15428
radar,radar__evaluation__concept__moderate__a2,concept,moderate,features,0.5584489674967715,84297,20398,0.24197776907837765,0.9986874999924238,0.9969706951566059,0.9398960682419845,0.9972431729518856,0.0008294339504530588,63846,53,1226,19172
radar,radar__evaluation__concept__moderate__a2,concept,moderate,features_label,0.6314018075581159,84297,20398,0.24197776907837765,0.9308373302576556,0.8724209473445984,0.7526718305716247,0.7219844815424407,0.09252100971846194,57987,5912,5045,15353
radar,radar__evaluation__concept__moderate__a3,concept,moderate,features,0.5584489674967715,85360,20404,0.23903467666354264,0.9985117238410139,0.9965614791611936,0.9361399725544011,0.9970767865532182,0.0008621220518504834,64900,56,1303,19101
radar,radar__evaluation__concept__moderate__a3,concept,moderate,features_label,0.6314018075581159,85360,20404,0.23903467666354264,0.9349954816578506,0.8795294859953787,0.75612624975495,0.7480242424242424,0.0800080054190529,59759,5197,4976,15428
radar,radar__evaluation__concept__moderate__a4,concept,moderate,features,0.5584489674967715,83874,20478,0.24415194219901282,0.9984459052470794,0.9965783212353997,0.9388612169157144,0.9976131174761311,0.0007255978295160578,63350,46,1252,19226
radar,radar__evaluation__concept__moderate__a4,concept,moderate,features_label,0.6314018075581159,83874,20478,0.24415194219901282,0.9300493683641269,0.8713946493734588,0.7557866979197188,0.7155339805825243,0.09705659663070225,57243,6153,5001,15477
radar,radar__evaluation__concept__severe__a0,concept,severe,features,0.5584489674967715,90940,34224,0.3763360457444469,0.9985235164544977,0.9980024009948154,0.9367987377279102,0.9988472802043741,0.000652373228013259,56679,37,2163,32061
radar,radar__evaluation__concept__severe__a0,concept,severe,features_label,0.6314018075581159,90940,34224,0.3763360457444469,0.93606944163634,0.9203796788422842,0.7577723235156615,0.8406482982171799,0.08667748078143733,51800,4916,8290,25934
radar,radar__evaluation__concept__severe__a1,concept,severe,features,0.5584489674967715,91084,34139,0.3748078696587765,0.9986950541079326,0.9982101596817134,0.9388089867893026,0.9988157566691598,0.0006673105628237773,56907,38,2089,32050
radar,radar__evaluation__concept__severe__a1,concept,severe,features_label,0.6314018075581159,91084,34139,0.3748078696587765,0.9327720581909984,0.9163052966631421,0.758253024400246,0.8285641124127777,0.09405566774958293,51589,5356,8253,25886
radar,radar__evaluation__concept__severe__a2,concept,severe,features,0.5584489674967715,92032,34162,0.37119697496522946,0.9985611750968892,0.9979966520544721,0.9372109361278613,0.9986276161067964,0.0007603248660791429,57826,44,2145,32017
radar,radar__evaluation__concept__severe__a2,concept,severe,features_label,0.6314018075581159,92032,34162,0.37119697496522946,0.9356468094310739,0.9197034243937636,0.762426087465605,0.8402206522791058,0.0855883877656817,52917,4953,8116,26046
radar,radar__evaluation__concept__severe__a3,concept,severe,features,0.5584489674967715,89623,34210,0.38171005210715997,0.9985487498717676,0.9980712788711228,0.9340543700672318,0.9990620310155077,0.0005413892046992583,55383,30,2256,31954
radar,radar__evaluation__concept__severe__a3,concept,severe,features_label,0.6314018075581159,89623,34210,0.38171005210715997,0.9335957280060847,0.9195282065668324,0.7557439345220696,0.8452057929320997,0.08544926280836627,50678,4735,8356,25854
radar,radar__evaluation__concept__severe__a4,concept,severe,features,0.5584489674967715,91173,34193,0.37503427549822865,0.998638647710095,0.9981208552714627,0.9382622174129208,0.9989102344552729,0.0006142506142506142,56945,35,2111,32082
radar,radar__evaluation__concept__severe__a4,concept,severe,features_label,0.6314018075581159,91173,34193,0.37503427549822865,0.9355928681097575,0.9205043733555412,0.7586055625420408,0.8470430722006335,0.0822042822042822,52296,4684,8254,25939
radar,radar__evaluation__splice__moderate__a0,splice,moderate,features,0.5584489674967715,78885,13216,0.1675350193319389,0.5210585689587413,0.19067836363831042,0.001059322033898305,0.25,0.0006395711827498515,65627,42,13202,14
radar,radar__evaluation__splice__moderate__a0,splice,moderate,features_label,0.6314018075581159,78885,13216,0.1675350193319389,0.5553339721824513,0.21702208256426203,0.1601089588377724,0.30056818181818185,0.07498210723476831,60745,4924,11100,2116
radar,radar__evaluation__splice__moderate__a1,splice,moderate,features,0.5584489674967715,75990,11464,0.15086195552046322,0.5543721553929185,0.19312573531867971,0.0017445917655268667,0.3389830508474576,0.0006044075256485757,64487,39,11444,20
radar,radar__evaluation__splice__moderate__a1,splice,moderate,features_label,0.6314018075581159,75990,11464,0.15086195552046322,0.6341404153903113,0.24568812929608255,0.23159455687369154,0.3173559646186947,0.08850695843535938,58815,5711,8809,2655
radar,radar__evaluation__splice__moderate__a2,splice,moderate,features,0.5584489674967715,74025,10926,0.14759878419452888,0.5646752322011628,0.16409879835337254,0.0007321984257733846,0.13559322033898305,0.0008082536965720534,63048,51,10918,8
radar,radar__evaluation__splice__moderate__a2,splice,moderate,features_label,0.6314018075581159,74025,10926,0.14759878419452888,0.5455979125423103,0.18098244305521916,0.18268350723045945,0.25488443366109054,0.09247373175486141,57264,5835,8930,1996
radar,radar__evaluation__splice__moderate__a3,splice,moderate,features,0.5584489674967715,76170,10887,0.1429302875147696,0.5232281051082396,0.1613194783424604,0.0005511160099200882,0.10714285714285714,0.0007658961751145015,65233,50,10881,6
radar,radar__evaluation__splice__moderate__a3,splice,moderate,features_label,0.6314018075581159,76170,10887,0.1429302875147696,0.5444534849317845,0.1837909123386966,0.17709194452098834,0.2613882863340564,0.08345204724047608,59835,5448,8959,1928
