experiment,stream,condition,mode,level,method,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_screened,adwin,d3_oof,detector,0.0,0.0,,-0.09090909090909094,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_screened,adwin,hddm_w,detector,0.0,0.0,,-0.09090909090909094,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_screened,adwin,hellinger,detector,0.0,0.0,,-0.09090909090909094,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_screened,d3_oof,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_screened,hddm_w,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_unscreened,adwin,d3_oof,detector,0.0,0.0,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_unscreened,adwin,hddm_w,detector,0.0,0.0,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_unscreened,adwin,hellinger,detector,0.0,0.0,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_unscreened,d3_oof,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,confirmed_unscreened,hddm_w,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_screened,adwin,d3_oof,detector,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_screened,adwin,hddm_w,detector,0.004083407348791812,0.0037320574162679754,,-0.09090909090909088,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_screened,adwin,hellinger,detector,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_screened,d3_oof,hddm_w,detector,-0.025543536246984355,-0.02114832535885164,,-0.09090909090909088,,,-8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_screened,hddm_w,hellinger,detector,0.025543536246984355,0.02114832535885164,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_unscreened,adwin,d3_oof,detector,0.12943199417429196,0.12382775119617223,,0.0,,,41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_unscreened,adwin,hddm_w,detector,0.00424017488206041,0.004784688995215336,,0.0,,,-16.666666666666664,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_unscreened,adwin,hellinger,detector,0.12943199417429196,0.12382775119617223,,0.0,,,41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_unscreened,d3_oof,hddm_w,detector,-0.12519181929223155,-0.1190430622009569,,0.0,,,-58.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,immediate_unscreened,hddm_w,hellinger,detector,0.12519181929223155,0.1190430622009569,,0.0,,,58.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_screened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_screened,adwin,hddm_w,detector,0.0,0.0,-0.18290538163911363,0.18141185749967137,,,-8.333333333333334,-15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_screened,adwin,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_screened,d3_oof,hddm_w,detector,0.0,0.0,-0.18290538163911363,0.18141185749967137,,,-8.333333333333334,-15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_screened,hddm_w,hellinger,detector,0.0,0.0,0.18290538163911363,-0.18141185749967137,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_unscreened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_unscreened,adwin,hddm_w,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_unscreened,adwin,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_unscreened,d3_oof,hddm_w,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,confirmed_unscreened,hddm_w,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_screened,adwin,d3_oof,detector,0.10287975071311767,0.09071770334928231,0.18994020400984868,-0.17878270014460365,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_screened,adwin,hddm_w,detector,0.05113233543410345,0.04181818181818181,0.27893070699964817,-0.27040883396871307,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_screened,adwin,hellinger,detector,0.10287975071311767,0.09071770334928231,0.18994020400984868,-0.17878270014460365,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_screened,d3_oof,hddm_w,detector,-0.05174741527901422,-0.0488995215311005,0.08899050298979949,-0.09162613382410939,,,-16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_screened,hddm_w,hellinger,detector,0.05174741527901422,0.0488995215311005,-0.08899050298979949,0.09162613382410939,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_unscreened,adwin,d3_oof,detector,0.11234711911911555,0.10019138755980866,0.0,0.0,,,25.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_unscreened,adwin,hddm_w,detector,-0.009859404815925565,-0.008325358851674625,0.0,0.0,,,-16.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_unscreened,adwin,hellinger,detector,0.11234711911911555,0.10019138755980866,0.0,0.0,,,25.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_unscreened,d3_oof,hddm_w,detector,-0.12220652393504111,-0.10851674641148329,0.0,0.0,,,-41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_unscreened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,immediate_unscreened,hddm_w,hellinger,detector,0.12220652393504111,0.10851674641148329,0.0,0.0,,,41.66666666666667,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,adwin,d3_oof,detector,-7.209224033344341e-05,-0.0005741626794257826,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,adwin,hddm_w,detector,-7.209224033344341e-05,-0.0005741626794257826,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,adwin,hellinger,detector,-7.209224033344341e-05,-0.0005741626794257826,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,d3_oof,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,hddm_w,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,adwin,d3_oof,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,adwin,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,adwin,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,d3_oof,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,hddm_w,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,adwin,d3_oof,detector,0.0011606470201868113,0.000956937799043156,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,adwin,hddm_w,detector,-0.0021557354279242436,-0.0015311004784688276,,0.09090909090909088,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,adwin,hellinger,detector,0.0011606470201868113,0.000956937799043156,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,d3_oof,hddm_w,detector,-0.003316382448111055,-0.0024880382775119836,,0.0,,,-8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,hddm_w,hellinger,detector,0.003316382448111055,0.0024880382775119836,,0.0,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,adwin,d3_oof,detector,0.011000544667422174,0.010430622009569346,,0.0,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,adwin,hddm_w,detector,0.008895770567385441,0.008708133971291887,,0.0,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,adwin,hellinger,detector,0.011000544667422174,0.010430622009569346,,0.0,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,d3_oof,hddm_w,detector,-0.0021047741000367326,-0.0017224880382774588,,0.0,,,-8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,hddm_w,hellinger,detector,0.0021047741000367326,0.0017224880382774588,,0.0,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
