category,series,metric,mean,sd,runs,defined
0,adwin,alarm_rate,0.3636363636363636,,1,1
0,adwin,detection_delay,1.5333333333333332,,1,1
0,adwin,event_recall,1.0,,1,1
0,adwin,seconds_per_100k,0.0133072908890123,,1,1
0,d3_oof,alarm_rate,0.0,,1,1
0,d3_oof,detection_delay,,,1,0
0,d3_oof,event_recall,0.0,,1,1
0,d3_oof,seconds_per_100k,0.1182565829367376,,1,1
0,hddm_w,alarm_rate,0.6363636363636364,,1,1
0,hddm_w,detection_delay,0.5333333333333333,,1,1
0,hddm_w,event_recall,1.0,,1,1
0,hddm_w,seconds_per_100k,0.1302083413368867,,1,1
0,hellinger,alarm_rate,0.0,,1,1
0,hellinger,detection_delay,,,1,0
0,hellinger,event_recall,0.0,,1,1
0,hellinger,seconds_per_100k,0.0238552250569531,,1,1
2,adwin,alarm_rate,0.1818181818181818,,1,1
2,adwin,detection_delay,2.2,,1,1
2,adwin,event_recall,0.6666666666666666,,1,1
2,adwin,seconds_per_100k,0.0131625080636392,,1,1
2,d3_oof,alarm_rate,0.0,,1,1
2,d3_oof,detection_delay,,,1,0
2,d3_oof,event_recall,0.0,,1,1
2,d3_oof,seconds_per_100k,0.1246229170646984,,1,1
2,hddm_w,alarm_rate,0.4545454545454545,,1,1
2,hddm_w,detection_delay,0.8666666666666667,,1,1
2,hddm_w,event_recall,1.0,,1,1
2,hddm_w,seconds_per_100k,0.119781966592806,,1,1
2,hellinger,alarm_rate,0.0,,1,1
2,hellinger,detection_delay,,,1,0
2,hellinger,event_recall,0.0,,1,1
2,hellinger,seconds_per_100k,0.0249055420378378,,1,1
