category,series,metric,mean,sd,runs,defined
0,alarm_persistence,clean_withhold_rate,0.09539059555335244,,1,1
0,alarm_persistence,host_accuracy,0.89933392804044,,1,1
0,alarm_persistence,host_macro_f1,0.8897133283905045,,1,1
0,alarm_persistence,poison_admission_rate,0.9018751988683098,,1,1
0,confirmed,clean_withhold_rate,0.05672936508107635,,1,1
0,confirmed,host_accuracy,0.8999107939339874,,1,1
0,confirmed,host_macro_f1,0.8905377089252903,,1,1
0,confirmed,poison_admission_rate,0.9561663754623458,,1,1
0,error_rule,clean_withhold_rate,0.12718673231358563,,1,1
0,error_rule,host_accuracy,0.9043146000594706,,1,1
0,error_rule,host_macro_f1,0.8958149567683513,,1,1
0,error_rule,poison_admission_rate,0.8648085503038532,,1,1
0,no_reset,clean_withhold_rate,0.05390450632401421,,1,1
0,no_reset,host_accuracy,0.8930240856378233,,1,1
0,no_reset,host_macro_f1,0.8822773474127199,,1,1
0,no_reset,poison_admission_rate,0.9561663754623458,,1,1
0,selected_map,clean_withhold_rate,0.13566130858477207,,1,1
0,selected_map,host_accuracy,0.9042402616711269,,1,1
0,selected_map,host_macro_f1,0.8956600217412412,,1,1
0,selected_map,poison_admission_rate,0.8648085503038532,,1,1
1,alarm_persistence,clean_withhold_rate,0.17625103587940266,,1,1
1,alarm_persistence,host_accuracy,0.9010427197938349,,1,1
1,alarm_persistence,host_macro_f1,0.8915338516774214,,1,1
1,alarm_persistence,poison_admission_rate,0.7994818560933482,,1,1
1,confirmed,clean_withhold_rate,0.16103611825037328,,1,1
1,confirmed,host_accuracy,0.9031311329170384,,1,1
1,confirmed,host_macro_f1,0.894281316310392,,1,1
1,confirmed,poison_admission_rate,0.7910734594232779,,1,1
1,error_rule,clean_withhold_rate,0.27150557767786493,,1,1
1,error_rule,host_accuracy,0.9075319655069878,,1,1
1,error_rule,host_macro_f1,0.8992444476881558,,1,1
1,error_rule,poison_admission_rate,0.6628918206281614,,1,1
1,no_reset,clean_withhold_rate,0.1271976764691927,,1,1
1,no_reset,host_accuracy,0.8939310139756169,,1,1
1,no_reset,host_macro_f1,0.8830597359356394,,1,1
1,no_reset,poison_admission_rate,0.8366226951979191,,1,1
1,selected_map,clean_withhold_rate,0.27433043643492705,,1,1
1,selected_map,host_accuracy,0.9072494796312816,,1,1
1,selected_map,host_macro_f1,0.8988985201005713,,1,1
1,selected_map,poison_admission_rate,0.6628918206281614,,1,1
2,alarm_persistence,clean_withhold_rate,0.2631479583345439,,1,1
2,alarm_persistence,host_accuracy,0.9032540390524334,,1,1
2,alarm_persistence,host_macro_f1,0.8939759614823684,,1,1
2,alarm_persistence,poison_admission_rate,0.697593543394205,,1,1
2,confirmed,clean_withhold_rate,0.2592109243503793,,1,1
2,confirmed,host_accuracy,0.9016294974724948,,1,1
2,confirmed,host_macro_f1,0.892355109778399,,1,1
2,confirmed,poison_admission_rate,0.741788732145037,,1,1
2,error_rule,clean_withhold_rate,0.502571139800954,,1,1
2,error_rule,host_accuracy,0.9101546238477549,,1,1
2,error_rule,host_macro_f1,0.9021128373482161,,1,1
2,error_rule,poison_admission_rate,0.43918687466543477,,1,1
2,no_reset,clean_withhold_rate,0.20836346672326062,,1,1
2,no_reset,host_accuracy,0.8974576271186441,,1,1
2,no_reset,host_macro_f1,0.8873324913208729,,1,1
2,no_reset,poison_admission_rate,0.741788732145037,,1,1
2,selected_map,clean_withhold_rate,0.502571139800954,,1,1
2,selected_map,host_accuracy,0.91026167112697,,1,1
2,selected_map,host_macro_f1,0.9022367802217257,,1,1
2,selected_map,poison_admission_rate,0.43918687466543477,,1,1
