category,series,metric,mean,sd,runs,defined
0,adwin,alarm_rate,0.3636363636363636,,1,1
0,adwin,detection_delay,2.369333333333333,,1,1
0,adwin,event_recall,1.0,,1,1
0,adwin,seconds_per_100k,0.0132083417459701,,1,1
0,d3_oof,alarm_rate,0.0,,1,1
0,d3_oof,detection_delay,,,1,0
0,d3_oof,event_recall,0.0,,1,1
0,d3_oof,seconds_per_100k,0.1213878250079384,,1,1
0,hddm_w,alarm_rate,0.0909090909090909,,1,1
0,hddm_w,detection_delay,7.036,,1,1
0,hddm_w,event_recall,0.3333333333333333,,1,1
0,hddm_w,seconds_per_100k,0.1015281251360041,,1,1
0,hellinger,alarm_rate,0.0,,1,1
0,hellinger,detection_delay,,,1,0
0,hellinger,event_recall,0.0,,1,1
0,hellinger,seconds_per_100k,0.011324291457034,,1,1
2,adwin,alarm_rate,0.0,,1,1
2,adwin,detection_delay,,,1,0
2,adwin,event_recall,0.0,,1,1
2,adwin,seconds_per_100k,0.0152138753037434,,1,1
2,d3_oof,alarm_rate,0.0,,1,1
2,d3_oof,detection_delay,,,1,0
2,d3_oof,event_recall,0.0,,1,1
2,d3_oof,seconds_per_100k,0.1032778001293384,,1,1
2,hddm_w,alarm_rate,0.4545454545454545,,1,1
2,hddm_w,detection_delay,1.3693333333333335,,1,1
2,hddm_w,event_recall,1.0,,1,1
2,hddm_w,seconds_per_100k,0.1139645750906008,,1,1
2,hellinger,alarm_rate,0.0,,1,1
2,hellinger,detection_delay,,,1,0
2,hellinger,event_recall,0.0,,1,1
2,hellinger,seconds_per_100k,0.0107486164779402,,1,1
