stream,detector,alarm_rate,poison_alarm_rate,unexposed_alarm_rate,event_recall,detection_delay,seconds_per_100k
RBF_I,adwin,0.2727272727272727,0.18181818181818182,,0.8333333333333333,1.8666666666666667,0.013234899476325761
RBF_I,d3_oof,0.0,0.0,,0.0,,0.12143975000071804
RBF_I,hddm_w,0.5454545454545454,0.45454545454545453,,1.0,0.7,0.1249951539648464
RBF_I,hellinger,0.0,0.0,,0.0,,0.024380383547395468
SEA_A,adwin,0.18181818181818182,0.0,0.0,0.5,2.369333333333333,0.014211108524856778
SEA_A,d3_oof,0.0,0.0,0.0,0.0,,0.11233281256863847
SEA_A,hddm_w,0.2727272727272727,0.45454545454545453,0.0,0.6666666666666666,4.2026666666666666,0.10774635011330247
SEA_A,hellinger,0.0,0.0,0.0,0.0,,0.011036453967487128
radar,adwin,0.7727272727272727,0.7272727272727273,0.8181818181818182,,,0.017742179140138127
radar,d3_oof,0.0,0.0,0.0,,,1.504521533206571
radar,hddm_w,0.6363636363636364,0.6363636363636364,0.6363636363636364,,,0.24907985862228088
radar,hellinger,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,0.08878490807546768
