epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__clean__none,7,d3_oof,RBF_I,32.660000000000004,57000,3,4,0.1
0,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,31.22,57000,3,4,0.1
0,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,34.04,57000,0,4,0.1
0,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,30.0,57000,2,4,0.1
0,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,32.6,57000,1,4,0.1
0,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,31.86,57000,1,4,0.1
0,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,33.18,57000,3,4,0.1
1,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,33.7,57000,2,4,0.1
1,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,32.12,57000,0,4,0.1
1,RBF_I__s112__clean__none,7,d3_oof,RBF_I,32.56,57000,2,4,0.1
1,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,33.46,57000,1,4,0.1
1,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,34.36,57000,0,4,0.1
1,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,33.64,57000,1,4,0.1
1,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,31.52,57000,3,4,0.1
2,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,31.580000000000002,57000,2,4,0.1
2,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,31.94,57000,1,4,0.1
2,RBF_I__s112__clean__none,7,d3_oof,RBF_I,31.7,57000,3,4,0.1
2,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,32.88,57000,1,4,0.1
2,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,34.3,57000,0,4,0.1
2,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,33.480000000000004,57000,1,4,0.1
2,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,34.5,57000,0,4,0.1
3,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,33.06,57000,1,4,0.1
3,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,31.34,57000,20,4,0.1
3,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,32.38,57000,19,4,0.1
3,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,32.74,57000,16,4,0.1
3,RBF_I__s112__clean__none,7,d3_oof,RBF_I,33.36,57000,1,4,0.1
3,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,29.72,57000,22,4,0.1
3,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,32.24,57000,23,4,0.1
