epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__instance__moderate,17,hddm_w,RBF_I,31.96,57000,7,4,0.1
0,RBF_I__s112__clean__none,17,hddm_w,RBF_I,32.56,57000,5,4,0.1
0,RBF_I__s112__concept__severe,17,hddm_w,RBF_I,32.1,57000,6,4,0.1
0,RBF_I__s112__instance__severe,17,hddm_w,RBF_I,30.76,57000,8,4,0.1
0,RBF_I__s112__splice__severe,17,hddm_w,RBF_I,31.78,57000,8,4,0.1
0,RBF_I__s112__splice__moderate,17,hddm_w,RBF_I,32.44,57000,7,4,0.1
0,RBF_I__s112__concept__moderate,17,hddm_w,RBF_I,32.04,57000,6,4,0.1
1,RBF_I__s112__splice__severe,17,hddm_w,RBF_I,32.12,57000,6,4,0.1
1,RBF_I__s112__concept__moderate,17,hddm_w,RBF_I,33.480000000000004,57000,4,4,0.1
1,RBF_I__s112__concept__severe,17,hddm_w,RBF_I,30.72,57000,10,4,0.1
1,RBF_I__s112__instance__moderate,17,hddm_w,RBF_I,32.04,57000,6,4,0.1
1,RBF_I__s112__clean__none,17,hddm_w,RBF_I,32.64,57000,4,4,0.1
1,RBF_I__s112__splice__moderate,17,hddm_w,RBF_I,32.58,57000,7,4,0.1
1,RBF_I__s112__instance__severe,17,hddm_w,RBF_I,30.740000000000002,57000,8,4,0.1
2,RBF_I__s112__concept__moderate,17,hddm_w,RBF_I,31.900000000000002,57000,10,4,0.1
2,RBF_I__s112__concept__severe,17,hddm_w,RBF_I,30.36,57000,10,4,0.1
2,RBF_I__s112__splice__moderate,17,hddm_w,RBF_I,32.24,57000,5,4,0.1
2,RBF_I__s112__clean__none,17,hddm_w,RBF_I,32.72,57000,5,4,0.1
2,RBF_I__s112__instance__severe,17,hddm_w,RBF_I,29.66,57000,3,4,0.1
2,RBF_I__s112__splice__severe,17,hddm_w,RBF_I,31.38,57000,11,4,0.1
2,RBF_I__s112__instance__moderate,17,hddm_w,RBF_I,31.72,57000,6,4,0.1
3,RBF_I__s112__concept__moderate,17,hddm_w,RBF_I,33.4,57000,3,4,0.1
3,RBF_I__s112__splice__severe,17,hddm_w,RBF_I,31.38,57000,9,4,0.1
3,RBF_I__s112__clean__none,17,hddm_w,RBF_I,32.52,57000,5,4,0.1
3,RBF_I__s112__instance__severe,17,hddm_w,RBF_I,29.84,57000,13,4,0.1
3,RBF_I__s112__concept__severe,17,hddm_w,RBF_I,30.54,57000,11,4,0.1
3,RBF_I__s112__splice__moderate,17,hddm_w,RBF_I,32.42,57000,8,4,0.1
3,RBF_I__s112__instance__moderate,17,hddm_w,RBF_I,31.92,57000,8,4,0.1
