epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__instance__moderate,17,hellinger,RBF_I,31.82,57000,8,4,0.1
0,RBF_I__s112__clean__none,17,hellinger,RBF_I,32.54,57000,7,4,0.1
0,RBF_I__s112__concept__severe,17,hellinger,RBF_I,32.32,57000,7,4,0.1
0,RBF_I__s112__instance__severe,17,hellinger,RBF_I,31.2,57000,9,4,0.1
0,RBF_I__s112__splice__severe,17,hellinger,RBF_I,31.78,57000,7,4,0.1
0,RBF_I__s112__splice__moderate,17,hellinger,RBF_I,32.68,57000,10,4,0.1
0,RBF_I__s112__concept__moderate,17,hellinger,RBF_I,32.0,57000,7,4,0.1
1,RBF_I__s112__splice__severe,17,hellinger,RBF_I,31.52,57000,8,4,0.1
1,RBF_I__s112__concept__moderate,17,hellinger,RBF_I,32.06,57000,7,4,0.1
1,RBF_I__s112__concept__severe,17,hellinger,RBF_I,30.8,57000,11,4,0.1
1,RBF_I__s112__instance__moderate,17,hellinger,RBF_I,31.92,57000,7,4,0.1
1,RBF_I__s112__clean__none,17,hellinger,RBF_I,32.58,57000,5,4,0.1
1,RBF_I__s112__splice__moderate,17,hellinger,RBF_I,32.660000000000004,57000,10,4,0.1
1,RBF_I__s112__instance__severe,17,hellinger,RBF_I,31.080000000000002,57000,8,4,0.1
2,RBF_I__s112__concept__moderate,17,hellinger,RBF_I,31.900000000000002,57000,11,4,0.1
2,RBF_I__s112__concept__severe,17,hellinger,RBF_I,30.48,57000,12,4,0.1
2,RBF_I__s112__splice__moderate,17,hellinger,RBF_I,32.72,57000,7,4,0.1
2,RBF_I__s112__clean__none,17,hellinger,RBF_I,32.38,57000,4,4,0.1
2,RBF_I__s112__instance__severe,17,hellinger,RBF_I,30.82,57000,8,4,0.1
2,RBF_I__s112__splice__severe,17,hellinger,RBF_I,32.04,57000,22,4,0.1
2,RBF_I__s112__instance__moderate,17,hellinger,RBF_I,31.78,57000,29,4,0.1
3,RBF_I__s112__concept__moderate,17,hellinger,RBF_I,31.98,57000,7,4,0.1
3,RBF_I__s112__splice__severe,17,hellinger,RBF_I,32.06,57000,22,4,0.1
3,RBF_I__s112__clean__none,17,hellinger,RBF_I,32.76,57000,28,4,0.1
3,RBF_I__s112__instance__severe,17,hellinger,RBF_I,30.02,57000,32,4,0.1
3,RBF_I__s112__concept__severe,17,hellinger,RBF_I,31.94,57000,23,4,0.1
3,RBF_I__s112__splice__moderate,17,hellinger,RBF_I,32.56,57000,13,4,0.1
3,RBF_I__s112__instance__moderate,17,hellinger,RBF_I,31.32,57000,31,4,0.1
