epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__instance__moderate,17,adwin,SEA_A,53.78,57000,2,4,0.1
0,SEA_A__s112__clean__none,17,adwin,SEA_A,54.08,57000,2,4,0.1
0,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.9,57000,5,4,0.1
0,SEA_A__s112__instance__severe,17,adwin,SEA_A,54.18,57000,1,4,0.1
0,SEA_A__s112__splice__severe,17,adwin,SEA_A,53.64,57000,5,4,0.1
0,SEA_A__s112__splice__moderate,17,adwin,SEA_A,53.86,57000,3,4,0.1
0,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.44,57000,3,4,0.1
1,SEA_A__s112__splice__severe,17,adwin,SEA_A,53.339999999999996,57000,6,4,0.1
1,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.18,57000,2,4,0.1
1,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.74,57000,8,4,0.1
1,SEA_A__s112__instance__moderate,17,adwin,SEA_A,54.22,57000,2,4,0.1
1,SEA_A__s112__clean__none,17,adwin,SEA_A,54.24,57000,3,4,0.1
1,SEA_A__s112__splice__moderate,17,adwin,SEA_A,53.56,57000,2,4,0.1
1,SEA_A__s112__instance__severe,17,adwin,SEA_A,53.88,57000,3,4,0.1
2,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.2,57000,4,4,0.1
2,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.72,57000,5,4,0.1
2,SEA_A__s112__splice__moderate,17,adwin,SEA_A,54.14,57000,3,4,0.1
2,SEA_A__s112__clean__none,17,adwin,SEA_A,54.12,57000,3,4,0.1
2,SEA_A__s112__instance__severe,17,adwin,SEA_A,53.4,57000,1,4,0.1
2,SEA_A__s112__splice__severe,17,adwin,SEA_A,53.8,57000,5,4,0.1
2,SEA_A__s112__instance__moderate,17,adwin,SEA_A,53.92,57000,2,4,0.1
3,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.16,57000,2,4,0.1
3,SEA_A__s112__splice__severe,17,adwin,SEA_A,54.0,57000,22,4,0.1
3,SEA_A__s112__clean__none,17,adwin,SEA_A,54.18,57000,29,4,0.1
3,SEA_A__s112__instance__severe,17,adwin,SEA_A,54.0,57000,30,4,0.1
3,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.62,57000,6,4,0.1
3,SEA_A__s112__splice__moderate,17,adwin,SEA_A,54.08,57000,3,4,0.1
3,SEA_A__s112__instance__moderate,17,adwin,SEA_A,54.14,57000,23,4,0.1
