epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__instance__moderate,17,hellinger,SEA_A,53.839999999999996,57000,3,4,0.1
0,SEA_A__s112__clean__none,17,hellinger,SEA_A,53.76,57000,4,4,0.1
0,SEA_A__s112__concept__severe,17,hellinger,SEA_A,53.66,57000,0,4,0.1
0,SEA_A__s112__instance__severe,17,hellinger,SEA_A,53.78,57000,5,4,0.1
0,SEA_A__s112__splice__severe,17,hellinger,SEA_A,53.96,57000,4,4,0.1
0,SEA_A__s112__splice__moderate,17,hellinger,SEA_A,54.04,57000,4,4,0.1
0,SEA_A__s112__concept__moderate,17,hellinger,SEA_A,53.46,57000,4,4,0.1
1,SEA_A__s112__splice__severe,17,hellinger,SEA_A,53.44,57000,7,4,0.1
1,SEA_A__s112__concept__moderate,17,hellinger,SEA_A,53.24,57000,2,4,0.1
1,SEA_A__s112__concept__severe,17,hellinger,SEA_A,53.6,57000,1,4,0.1
1,SEA_A__s112__instance__moderate,17,hellinger,SEA_A,53.98,57000,4,4,0.1
1,SEA_A__s112__clean__none,17,hellinger,SEA_A,54.28,57000,4,4,0.1
1,SEA_A__s112__splice__moderate,17,hellinger,SEA_A,53.78,57000,4,4,0.1
1,SEA_A__s112__instance__severe,17,hellinger,SEA_A,53.86,57000,5,4,0.1
2,SEA_A__s112__concept__moderate,17,hellinger,SEA_A,53.42,57000,5,4,0.1
2,SEA_A__s112__concept__severe,17,hellinger,SEA_A,53.44,57000,1,4,0.1
2,SEA_A__s112__splice__moderate,17,hellinger,SEA_A,53.7,57000,3,4,0.1
2,SEA_A__s112__clean__none,17,hellinger,SEA_A,53.78,57000,6,4,0.1
2,SEA_A__s112__instance__severe,17,hellinger,SEA_A,53.58,57000,3,4,0.1
2,SEA_A__s112__splice__severe,17,hellinger,SEA_A,54.0,57000,23,4,0.1
2,SEA_A__s112__instance__moderate,17,hellinger,SEA_A,54.16,57000,23,4,0.1
3,SEA_A__s112__concept__moderate,17,hellinger,SEA_A,54.36,57000,15,4,0.1
3,SEA_A__s112__splice__severe,17,hellinger,SEA_A,53.48,57000,4,4,0.1
3,SEA_A__s112__clean__none,17,hellinger,SEA_A,54.18,57000,29,4,0.1
3,SEA_A__s112__instance__severe,17,hellinger,SEA_A,54.12,57000,8,4,0.1
3,SEA_A__s112__concept__severe,17,hellinger,SEA_A,53.36,57000,16,4,0.1
3,SEA_A__s112__splice__moderate,17,hellinger,SEA_A,53.68,57000,33,4,0.1
3,SEA_A__s112__instance__moderate,17,hellinger,SEA_A,53.5,57000,2,4,0.1
