epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,27,adwin,radar,195.85999999999999,229900,11,2,0.1
0,radar__training__clean__none__aNone,27,adwin,radar,200.84,229900,6,2,0.1
0,radar__training__instance__severe__a0,27,adwin,radar,188.52,229900,10,2,0.1
0,radar__training__splice__severe__a0,27,adwin,radar,185.48,229900,9,2,0.1
0,radar__training__concept__moderate__a0,27,adwin,radar,192.2,229900,84,2,0.1
0,radar__training__concept__severe__a0,27,adwin,radar,193.4,229900,5,2,0.1
0,radar__training__splice__moderate__a0,27,adwin,radar,189.0,229900,80,2,0.1
1,radar__training__clean__none__aNone,27,adwin,radar,188.82,229900,52,2,0.1
1,radar__training__splice__severe__a0,27,adwin,radar,190.2,229900,85,2,0.1
1,radar__training__concept__severe__a0,27,adwin,radar,196.84,229900,23,2,0.1
1,radar__training__instance__moderate__a0,27,adwin,radar,198.6,229900,143,2,0.1
1,radar__training__instance__severe__a0,27,adwin,radar,196.22,229900,145,2,0.1
1,radar__training__concept__moderate__a0,27,adwin,radar,189.42,229900,23,2,0.1
1,radar__training__splice__moderate__a0,27,adwin,radar,185.82,229900,15,2,0.1
2,radar__training__instance__severe__a0,27,adwin,radar,193.48,229900,132,2,0.1
2,radar__training__splice__severe__a0,27,adwin,radar,193.5,229900,34,2,0.1
2,radar__training__concept__severe__a0,27,adwin,radar,199.8,229900,14,2,0.1
2,radar__training__concept__moderate__a0,27,adwin,radar,193.26,229900,88,2,0.1
2,radar__training__clean__none__aNone,27,adwin,radar,199.02,229900,6,2,0.1
2,radar__training__splice__moderate__a0,27,adwin,radar,188.8,229900,82,2,0.1
2,radar__training__instance__moderate__a0,27,adwin,radar,197.44,229900,134,2,0.1
3,radar__training__concept__moderate__a0,27,adwin,radar,184.32,229900,52,2,0.1
3,radar__training__clean__none__aNone,27,adwin,radar,193.54,229900,2,2,0.1
3,radar__training__instance__moderate__a0,27,adwin,radar,198.88,229900,60,2,0.1
3,radar__training__instance__severe__a0,27,adwin,radar,193.92,229900,75,2,0.1
3,radar__training__splice__severe__a0,27,adwin,radar,187.24,229900,119,2,0.1
3,radar__training__splice__moderate__a0,27,adwin,radar,180.5,229900,60,2,0.1
3,radar__training__concept__severe__a0,27,adwin,radar,192.62,229900,121,2,0.1
