epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,27,d3_oof,radar,195.85999999999999,229900,11,2,0.1
0,radar__training__clean__none__aNone,27,d3_oof,radar,200.84,229900,6,2,0.1
0,radar__training__instance__severe__a0,27,d3_oof,radar,191.18,229900,26,2,0.1
0,radar__training__splice__severe__a0,27,d3_oof,radar,180.48,229900,78,2,0.1
0,radar__training__concept__moderate__a0,27,d3_oof,radar,187.5,229900,112,2,0.1
0,radar__training__concept__severe__a0,27,d3_oof,radar,194.1,229900,103,2,0.1
0,radar__training__splice__moderate__a0,27,d3_oof,radar,192.84,229900,28,2,0.1
1,radar__training__clean__none__aNone,27,d3_oof,radar,198.84,229900,6,2,0.1
1,radar__training__splice__severe__a0,27,d3_oof,radar,193.48,229900,19,2,0.1
1,radar__training__concept__severe__a0,27,d3_oof,radar,190.26,229900,20,2,0.1
1,radar__training__instance__moderate__a0,27,d3_oof,radar,194.68,229900,7,2,0.1
1,radar__training__instance__severe__a0,27,d3_oof,radar,196.22,229900,145,2,0.1
1,radar__training__concept__moderate__a0,27,d3_oof,radar,180.3,229900,20,2,0.1
1,radar__training__splice__moderate__a0,27,d3_oof,radar,188.52,229900,134,2,0.1
2,radar__training__instance__severe__a0,27,d3_oof,radar,190.7,229900,8,2,0.1
2,radar__training__splice__severe__a0,27,d3_oof,radar,179.66,229900,67,2,0.1
2,radar__training__concept__severe__a0,27,d3_oof,radar,198.46,229900,22,2,0.1
2,radar__training__concept__moderate__a0,27,d3_oof,radar,185.18,229900,72,2,0.1
2,radar__training__clean__none__aNone,27,d3_oof,radar,199.02,229900,6,2,0.1
2,radar__training__splice__moderate__a0,27,d3_oof,radar,186.02,229900,139,2,0.1
2,radar__training__instance__moderate__a0,27,d3_oof,radar,195.68,229900,3,2,0.1
3,radar__training__concept__moderate__a0,27,d3_oof,radar,192.98,229900,78,2,0.1
3,radar__training__clean__none__aNone,27,d3_oof,radar,185.88,229900,104,2,0.1
3,radar__training__instance__moderate__a0,27,d3_oof,radar,197.72,229900,138,2,0.1
3,radar__training__instance__severe__a0,27,d3_oof,radar,191.02,229900,140,2,0.1
3,radar__training__splice__severe__a0,27,d3_oof,radar,192.72,229900,4,2,0.1
3,radar__training__splice__moderate__a0,27,d3_oof,radar,184.86,229900,127,2,0.1
3,radar__training__concept__severe__a0,27,d3_oof,radar,199.7,229900,13,2,0.1
