epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__clean__none__aNone,7,d3_oof,radar,195.98,229900,4,4,0.1
0,radar__training__splice__moderate__a0,7,d3_oof,radar,188.98,229900,12,4,0.1
0,radar__training__splice__severe__a0,7,d3_oof,radar,189.86,229900,5,4,0.1
0,radar__training__instance__severe__a0,7,d3_oof,radar,191.16,229900,10,4,0.1
0,radar__training__concept__severe__a0,7,d3_oof,radar,191.8,229900,6,4,0.1
0,radar__training__instance__moderate__a0,7,d3_oof,radar,198.0,229900,51,4,0.1
0,radar__training__concept__moderate__a0,7,d3_oof,radar,191.48,229900,55,4,0.1
1,radar__training__splice__severe__a0,7,d3_oof,radar,192.96,229900,48,4,0.1
1,radar__training__instance__severe__a0,7,d3_oof,radar,199.68,229900,95,4,0.1
1,radar__training__clean__none__aNone,7,d3_oof,radar,193.06,229900,78,4,0.1
1,radar__training__concept__moderate__a0,7,d3_oof,radar,195.8,229900,8,4,0.1
1,radar__training__concept__severe__a0,7,d3_oof,radar,200.54,229900,73,4,0.1
1,radar__training__instance__moderate__a0,7,d3_oof,radar,193.22,229900,18,4,0.1
1,radar__training__splice__moderate__a0,7,d3_oof,radar,190.56,229900,85,4,0.1
2,radar__training__concept__severe__a0,7,d3_oof,radar,197.26,229900,18,4,0.1
2,radar__training__instance__severe__a0,7,d3_oof,radar,196.52,229900,77,4,0.1
2,radar__training__clean__none__aNone,7,d3_oof,radar,190.88,229900,84,4,0.1
2,radar__training__concept__moderate__a0,7,d3_oof,radar,194.56,229900,28,4,0.1
2,radar__training__splice__severe__a0,7,d3_oof,radar,184.86,229900,91,4,0.1
2,radar__training__instance__moderate__a0,7,d3_oof,radar,191.9,229900,18,4,0.1
2,radar__training__splice__moderate__a0,7,d3_oof,radar,190.48,229900,88,4,0.1
3,radar__training__concept__severe__a0,7,d3_oof,radar,199.48,229900,8,4,0.1
3,radar__training__instance__moderate__a0,7,d3_oof,radar,198.68,229900,110,4,0.1
3,radar__training__splice__severe__a0,7,d3_oof,radar,191.0,229900,106,4,0.1
3,radar__training__concept__moderate__a0,7,d3_oof,radar,193.3,229900,9,4,0.1
3,radar__training__clean__none__aNone,7,d3_oof,radar,200.06,229900,7,4,0.1
3,radar__training__instance__severe__a0,7,d3_oof,radar,199.46,229900,91,4,0.1
3,radar__training__splice__moderate__a0,7,d3_oof,radar,193.08,229900,11,4,0.1
