epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,27,hddm_w,radar,195.85999999999999,229900,11,2,0.1
0,radar__training__clean__none__aNone,27,hddm_w,radar,200.84,229900,6,2,0.1
0,radar__training__instance__severe__a0,27,hddm_w,radar,188.52,229900,10,2,0.1
0,radar__training__splice__severe__a0,27,hddm_w,radar,185.48,229900,9,2,0.1
0,radar__training__concept__moderate__a0,27,hddm_w,radar,187.84,229900,12,2,0.1
0,radar__training__concept__severe__a0,27,hddm_w,radar,193.3,229900,76,2,0.1
0,radar__training__splice__moderate__a0,27,hddm_w,radar,189.58,229900,7,2,0.1
1,radar__training__clean__none__aNone,27,hddm_w,radar,192.96,229900,32,2,0.1
1,radar__training__splice__severe__a0,27,hddm_w,radar,192.88,229900,71,2,0.1
1,radar__training__concept__severe__a0,27,hddm_w,radar,191.52,229900,109,2,0.1
1,radar__training__instance__moderate__a0,27,hddm_w,radar,198.6,229900,143,2,0.1
1,radar__training__instance__severe__a0,27,hddm_w,radar,193.28,229900,56,2,0.1
1,radar__training__concept__moderate__a0,27,hddm_w,radar,189.35999999999999,229900,121,2,0.1
1,radar__training__splice__moderate__a0,27,hddm_w,radar,195.0,229900,75,2,0.1
2,radar__training__instance__severe__a0,27,hddm_w,radar,192.98,229900,49,2,0.1
2,radar__training__splice__severe__a0,27,hddm_w,radar,180.5,229900,9,2,0.1
2,radar__training__concept__severe__a0,27,hddm_w,radar,201.16,229900,45,2,0.1
2,radar__training__concept__moderate__a0,27,hddm_w,radar,191.1,229900,122,2,0.1
2,radar__training__clean__none__aNone,27,hddm_w,radar,193.66,229900,107,2,0.1
2,radar__training__splice__moderate__a0,27,hddm_w,radar,189.38,229900,7,2,0.1
2,radar__training__instance__moderate__a0,27,hddm_w,radar,201.58,229900,89,2,0.1
3,radar__training__concept__moderate__a0,27,hddm_w,radar,197.22,229900,6,2,0.1
3,radar__training__clean__none__aNone,27,hddm_w,radar,195.54,229900,29,2,0.1
3,radar__training__instance__moderate__a0,27,hddm_w,radar,197.72,229900,138,2,0.1
3,radar__training__instance__severe__a0,27,hddm_w,radar,191.24,229900,56,2,0.1
3,radar__training__splice__severe__a0,27,hddm_w,radar,192.72,229900,4,2,0.1
3,radar__training__splice__moderate__a0,27,hddm_w,radar,183.22,229900,119,2,0.1
3,radar__training__concept__severe__a0,27,hddm_w,radar,194.34,229900,83,2,0.1
