epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__clean__none__aNone,37,hddm_w,radar,192.46,229900,72,4,0.1
0,radar__training__splice__severe__a0,37,hddm_w,radar,186.78,229900,32,4,0.1
0,radar__training__instance__moderate__a0,37,hddm_w,radar,199.22,229900,65,4,0.1
0,radar__training__concept__moderate__a0,37,hddm_w,radar,202.18,229900,38,4,0.1
0,radar__training__splice__moderate__a0,37,hddm_w,radar,186.74,229900,43,4,0.1
0,radar__training__concept__severe__a0,37,hddm_w,radar,196.3,229900,21,4,0.1
0,radar__training__instance__severe__a0,37,hddm_w,radar,200.14,229900,62,4,0.1
1,radar__training__concept__moderate__a0,37,hddm_w,radar,199.02,229900,36,4,0.1
1,radar__training__splice__moderate__a0,37,hddm_w,radar,195.94,229900,47,4,0.1
1,radar__training__instance__severe__a0,37,hddm_w,radar,194.66,229900,59,4,0.1
1,radar__training__splice__severe__a0,37,hddm_w,radar,186.02,229900,50,4,0.1
1,radar__training__clean__none__aNone,37,hddm_w,radar,198.98,229900,84,4,0.1
1,radar__training__concept__severe__a0,37,hddm_w,radar,193.72,229900,61,4,0.1
1,radar__training__instance__moderate__a0,37,hddm_w,radar,197.46,229900,28,4,0.1
2,radar__training__clean__none__aNone,37,hddm_w,radar,198.28,229900,90,4,0.1
2,radar__training__instance__severe__a0,37,hddm_w,radar,202.56,229900,48,4,0.1
2,radar__training__instance__moderate__a0,37,hddm_w,radar,206.58,229900,95,4,0.1
2,radar__training__splice__severe__a0,37,hddm_w,radar,188.24,229900,41,4,0.1
2,radar__training__concept__moderate__a0,37,hddm_w,radar,199.38,229900,70,4,0.1
2,radar__training__splice__moderate__a0,37,hddm_w,radar,192.68,229900,46,4,0.1
2,radar__training__concept__severe__a0,37,hddm_w,radar,192.78,229900,2,4,0.1
3,radar__training__concept__severe__a0,37,hddm_w,radar,195.12,229900,77,4,0.1
3,radar__training__clean__none__aNone,37,hddm_w,radar,202.84,229900,39,4,0.1
3,radar__training__instance__moderate__a0,37,hddm_w,radar,201.96,229900,112,4,0.1
3,radar__training__concept__moderate__a0,37,hddm_w,radar,197.54,229900,75,4,0.1
3,radar__training__splice__moderate__a0,37,hddm_w,radar,197.48,229900,57,4,0.1
3,radar__training__instance__severe__a0,37,hddm_w,radar,199.28,229900,60,4,0.1
3,radar__training__splice__severe__a0,37,hddm_w,radar,191.28,229900,32,4,0.1
