epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__clean__none__aNone,7,hellinger,radar,195.98,229900,4,2,0.1
0,radar__training__splice__moderate__a0,7,hellinger,radar,188.98,229900,12,2,0.1
0,radar__training__splice__severe__a0,7,hellinger,radar,189.86,229900,5,2,0.1
0,radar__training__instance__severe__a0,7,hellinger,radar,192.98,229900,11,2,0.1
0,radar__training__concept__severe__a0,7,hellinger,radar,194.22,229900,84,2,0.1
0,radar__training__instance__moderate__a0,7,hellinger,radar,199.24,229900,141,2,0.1
0,radar__training__concept__moderate__a0,7,hellinger,radar,187.08,229900,85,2,0.1
1,radar__training__splice__severe__a0,7,hellinger,radar,188.26,229900,8,2,0.1
1,radar__training__instance__severe__a0,7,hellinger,radar,192.34,229900,141,2,0.1
1,radar__training__clean__none__aNone,7,hellinger,radar,187.18,229900,8,2,0.1
1,radar__training__concept__moderate__a0,7,hellinger,radar,197.6,229900,6,2,0.1
1,radar__training__concept__severe__a0,7,hellinger,radar,191.34,229900,88,2,0.1
1,radar__training__instance__moderate__a0,7,hellinger,radar,192.9,229900,63,2,0.1
1,radar__training__splice__moderate__a0,7,hellinger,radar,185.56,229900,137,2,0.1
2,radar__training__concept__severe__a0,7,hellinger,radar,196.82,229900,6,2,0.1
2,radar__training__instance__severe__a0,7,hellinger,radar,193.32,229900,140,2,0.1
2,radar__training__clean__none__aNone,7,hellinger,radar,194.5,229900,11,2,0.1
2,radar__training__concept__moderate__a0,7,hellinger,radar,192.88,229900,94,2,0.1
2,radar__training__splice__severe__a0,7,hellinger,radar,184.8,229900,125,2,0.1
2,radar__training__instance__moderate__a0,7,hellinger,radar,189.18,229900,11,2,0.1
2,radar__training__splice__moderate__a0,7,hellinger,radar,190.62,229900,102,2,0.1
3,radar__training__concept__severe__a0,7,hellinger,radar,192.12,229900,109,2,0.1
3,radar__training__instance__moderate__a0,7,hellinger,radar,186.58,229900,91,2,0.1
3,radar__training__splice__severe__a0,7,hellinger,radar,190.8,229900,5,2,0.1
3,radar__training__concept__moderate__a0,7,hellinger,radar,186.92,229900,97,2,0.1
3,radar__training__clean__none__aNone,7,hellinger,radar,188.0,229900,135,2,0.1
3,radar__training__instance__severe__a0,7,hellinger,radar,190.78,229900,142,2,0.1
3,radar__training__splice__moderate__a0,7,hellinger,radar,191.64,229900,4,2,0.1
