epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,27,hellinger,radar,196.92,229900,50,4,0.1
0,radar__training__clean__none__aNone,27,hellinger,radar,192.42,229900,53,4,0.1
0,radar__training__instance__severe__a0,27,hellinger,radar,193.85999999999999,229900,53,4,0.1
0,radar__training__splice__severe__a0,27,hellinger,radar,186.88,229900,55,4,0.1
0,radar__training__concept__moderate__a0,27,hellinger,radar,189.54,229900,117,4,0.1
0,radar__training__concept__severe__a0,27,hellinger,radar,192.64,229900,120,4,0.1
0,radar__training__splice__moderate__a0,27,hellinger,radar,186.54,229900,136,4,0.1
1,radar__training__clean__none__aNone,27,hellinger,radar,185.14,229900,125,4,0.1
1,radar__training__splice__severe__a0,27,hellinger,radar,184.88,229900,118,4,0.1
1,radar__training__concept__severe__a0,27,hellinger,radar,195.88,229900,54,4,0.1
1,radar__training__instance__moderate__a0,27,hellinger,radar,198.6,229900,143,4,0.1
1,radar__training__instance__severe__a0,27,hellinger,radar,197.16,229900,144,4,0.1
1,radar__training__concept__moderate__a0,27,hellinger,radar,198.5,229900,64,4,0.1
1,radar__training__splice__moderate__a0,27,hellinger,radar,188.9,229900,123,4,0.1
2,radar__training__instance__severe__a0,27,hellinger,radar,193.54,229900,139,4,0.1
2,radar__training__splice__severe__a0,27,hellinger,radar,186.04,229900,71,4,0.1
2,radar__training__concept__severe__a0,27,hellinger,radar,198.88,229900,13,4,0.1
2,radar__training__concept__moderate__a0,27,hellinger,radar,201.58,229900,68,4,0.1
2,radar__training__clean__none__aNone,27,hellinger,radar,199.02,229900,6,4,0.1
2,radar__training__splice__moderate__a0,27,hellinger,radar,191.36,229900,114,4,0.1
2,radar__training__instance__moderate__a0,27,hellinger,radar,195.68,229900,3,4,0.1
3,radar__training__concept__moderate__a0,27,hellinger,radar,202.32,229900,64,4,0.1
3,radar__training__clean__none__aNone,27,hellinger,radar,193.54,229900,2,4,0.1
3,radar__training__instance__moderate__a0,27,hellinger,radar,196.56,229900,20,4,0.1
3,radar__training__instance__severe__a0,27,hellinger,radar,194.92,229900,50,4,0.1
3,radar__training__splice__severe__a0,27,hellinger,radar,189.28,229900,12,4,0.1
3,radar__training__splice__moderate__a0,27,hellinger,radar,184.64,229900,124,4,0.1
3,radar__training__concept__severe__a0,27,hellinger,radar,193.22,229900,121,4,0.1
