rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status
60000,57000,41800,0,0,0.7892574580037035,False,3000,none,True,56050,0.9082604817127564,0.8990646712983215,0,0,,56050,15200,0.2711864406779661,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,0.05,1,0,complete
60000,57000,50350,0,0,0.8608490000042366,False,3000,none,True,56050,0.9015700267618199,0.8919644297837805,0,0,,56050,6650,0.11864406779661017,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,0.01,5,4,complete
60000,60800,22800,5700,2,0.6910542080004234,False,3000,confirmed,True,56050,0.9100981266726137,0.9011040894066082,0,0,,56050,37050,0.6610169491525424,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,0.05,1,0,complete
60000,58900,47500,2850,1,0.7331439160043374,False,3000,confirmed,True,56050,0.9047100802854594,0.8958488232320195,0,0,,56050,11400,0.2033898305084746,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,0.01,5,4,complete
60000,57000,36100,32300,34,0.6152245409903117,False,3000,rl,True,56050,0.912792149866191,0.9041118463841458,0,0,,56050,20900,0.3728813559322034,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,43700,38000,40,0.6078424169973005,False,3000,rl,True,56050,0.9101159678858163,0.9012088987170797,0,0,,56050,13300,0.23728813559322035,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,0.01,5,4,complete
60000,57000,35150,0,0,0.7499852500041015,False,3000,none,True,56050,0.8996610169491526,0.8895560459772032,14252,8714,0.6114229581813079,41798,16312,0.3902579070768936,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,0.05,1,0,complete
60000,57000,49400,0,0,0.7919590000092285,False,3000,none,True,56050,0.8960035682426405,0.8854498302746361,14252,12383,0.868860510805501,41798,5731,0.13711182353222642,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,0.01,5,4,complete
60000,57000,35150,0,0,0.7409228339965921,False,3000,confirmed,True,56050,0.8996610169491526,0.8895560459772032,14252,8714,0.6114229581813079,41798,16312,0.3902579070768936,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,confirmed,0.05,1,0,complete
60000,57000,49400,0,0,0.7833387499995297,False,3000,confirmed,True,56050,0.8960035682426405,0.8854498302746361,14252,12383,0.868860510805501,41798,5731,0.13711182353222642,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,confirmed,0.01,5,4,complete
60000,57000,38950,32300,34,0.6167530000093393,False,3000,rl,True,56050,0.9054415700267618,0.8974530340350046,14252,9658,0.677659275891103,41798,13456,0.32192927891286666,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,35150,28500,30,0.6008096669975203,False,3000,rl,True,56050,0.9038180196253345,0.8950850949924882,14252,8747,0.613738422677519,41798,16345,0.3910474185367721,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_persistence_7,0.01,5,4,complete
60000,57000,46550,0,0,2.570236166997347,False,3000,none,True,56050,0.5328278322925959,0.5246615264744932,0,0,,56050,10450,0.1864406779661017,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,no_reset,0.05,1,0,complete
60000,57000,49400,0,0,2.524148749987944,False,3000,none,True,56050,0.5290276538804639,0.5225831002555164,0,0,,56050,7600,0.13559322033898305,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,no_reset,0.01,5,4,complete
60000,64600,45600,8550,3,2.496161500006565,False,3000,confirmed,True,56050,0.5035682426404996,0.4960799057864767,0,0,,56050,15200,0.2711864406779661,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,confirmed,0.05,1,0,complete
60000,60800,44650,2850,1,2.516166000001249,False,3000,confirmed,True,56050,0.551364852809991,0.5439077804251312,0,0,,56050,14250,0.2542372881355932,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,confirmed,0.01,5,4,complete
60000,57000,31350,13300,14,2.2916410000034375,False,3000,rl,True,56050,0.5053702051739518,0.49924190797620105,0,0,,56050,25650,0.4576271186440678,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,38000,18050,19,2.2046229999978095,False,3000,rl,True,56050,0.4961819803746655,0.49004009971036777,0,0,,56050,19000,0.3389830508474576,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,q_alarm_persistence_7,0.01,5,4,complete
60000,57000,34200,0,0,2.4904525419988204,False,3000,none,True,56050,0.4863514719000892,0.4693114529727782,14242,8377,0.5881898609745823,41808,16935,0.40506601607347875,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,no_reset,0.05,1,0,complete
60000,57000,46550,0,0,2.4460813330078963,False,3000,none,True,56050,0.5022123104371097,0.4914287465462658,14242,11638,0.8171605111641623,41808,7846,0.18766743207041714,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,no_reset,0.01,5,4,complete
60000,60800,44650,2850,1,2.4927383340109373,True,3000,confirmed,True,56050,0.48620874219446925,0.4737126351566201,14242,10589,0.7435051256845948,41808,10597,0.2534682357443552,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,confirmed,0.01,5,4,complete
60000,58900,37050,2850,1,2.5350595409981906,False,3000,confirmed,True,56050,0.5023193577163247,0.4833432285916314,14242,8912,0.6257548097177362,41808,15570,0.3724167623421355,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,confirmed,0.05,1,0,complete
