,,,,,,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_accuracy,host_accuracy,host_accuracy,host_accuracy,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets,resets,resets,resets,training_visits,training_visits,training_visits,training_visits,seconds,seconds,seconds,seconds
,,,,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
stream,mode,level,arm,feedback_fraction,delay_blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,clean,none,confirmed,0.01,1,0.5521701662140178,0.0037565849883578147,0.5478914756753127,0.5549271976741277,0.5573713945881653,0.005508323489701396,0.551436217662801,0.5623193577163247,,,,,0.13559322033898305,0.01694915254237288,0.11864406779661017,0.15254237288135594,2.3333333333333335,0.5773502691896258,2,3,62700.0,1900.0,60800,64600,2.658756791667353,0.06495120170724042,2.6197851250035455,2.7337364580016583
RBF_I,clean,none,confirmed,0.01,5,0.5464986775149108,0.02300839426313193,0.5208535636688116,0.5653322500287888,0.551543264942016,0.02294300244311371,0.5260481712756467,0.5705263157894737,,,,,0.21468926553672318,0.035282474567222576,0.1864406779661017,0.2542372881355932,2.3333333333333335,0.5773502691896257,2,3,62066.666666666664,1096.9655114602895,60800,62700,2.6250681253344132,0.030370555017098202,2.603458124998724,2.6597922920045676
RBF_I,clean,none,confirmed,0.02,1,0.5596258577221722,0.019005734658686626,0.5422357257501353,0.579914259397834,0.5639131727624145,0.01914331692796415,0.5469937555753791,0.5846922390722569,,,,,0.18644067796610173,0.033898305084745756,0.15254237288135594,0.22033898305084745,1.6666666666666667,0.5773502691896258,1,2,62700.0,1900.0,60800,64600,2.7012340413348284,0.08095090327242219,2.6390231249970384,2.7927580410032533
RBF_I,clean,none,confirmed,0.02,5,0.54341638664985,0.00990749588453989,0.535752055019033,0.5546039579735781,0.5507225691347012,0.010472913724718909,0.5407850133809099,0.5616592328278323,,,,,0.20903954802259886,0.04892798891437506,0.15254237288135594,0.23728813559322035,1.6666666666666667,1.5275252316519468,0,3,62066.666666666664,1096.9655114602879,60800,62700,2.7083019033355717,0.08651910195209607,2.6253570840053726,2.797999542002799
RBF_I,clean,none,confirmed,0.05,1,0.5396274780112226,0.02588149109122787,0.5104367969826074,0.5597707629123767,0.5457805530776093,0.023993805174789398,0.5183050847457628,0.5626048171275647,,,,,0.23163841807909602,0.05178051632718464,0.1864406779661017,0.288135593220339,2.6666666666666665,0.5773502691896257,2,3,63966.666666666664,1096.9655114602895,62700,64600,2.682351903000381,0.07269522956981059,2.6292045839945786,2.765193832994555
RBF_I,clean,none,confirmed,0.05,5,0.5435073218300325,0.02404834765606709,0.5207460115182007,0.5686635020087358,0.5477787689562891,0.022122435315485193,0.5286173059768065,0.5719892952720785,,,,,0.2937853107344633,0.07642796191225246,0.22033898305084745,0.3728813559322034,0.3333333333333333,0.5773502691896258,0,1,62700.0,1900.0,60800,64600,2.8127083746658172,0.027004853632901032,2.785519707991625,2.83952558299643
RBF_I,clean,none,error_rule,0.01,1,0.5512278977391664,0.019747360523841306,0.5339531930510535,0.5727550398841634,0.5568777876895629,0.020919786796198145,0.5380731489741303,0.5794112399643175,,,,,0.192090395480226,0.0869762955838455,0.11864406779661017,0.288135593220339,13.333333333333334,2.081665999466133,11,15,57000.0,0.0,57000,57000,2.4001557083344474,0.010703627013839418,2.3930917079997016,2.412470791998203
RBF_I,clean,none,error_rule,0.01,5,0.5462428650956628,0.020778996852925054,0.5325538516166348,0.5701526843928802,0.5513767469521261,0.020775695064912256,0.5374308652988403,0.5752542372881356,,,,,0.2768361581920904,0.019571195565750037,0.2542372881355932,0.288135593220339,8.666666666666666,0.5773502691896258,8,9,57000.0,0.0,57000,57000,2.4042476253331793,0.01696366276079013,2.3854202089860337,2.4183423750073416
RBF_I,clean,none,error_rule,0.02,1,0.549084526124645,0.019468211899630466,0.5362529255051928,0.5714854380613216,0.5547130538209931,0.02043838748610691,0.5401248884924175,0.5780731489741302,,,,,0.2768361581920904,0.05178051632718463,0.22033898305084745,0.3220338983050847,12.666666666666666,1.1547005383792515,12,14,57000.0,0.0,57000,57000,2.4366510553324283,0.018220231384264603,2.418039124997449,2.454452541001956
RBF_I,clean,none,error_rule,0.02,5,0.5448098242701377,0.01909908887852923,0.5331732333453609,0.5668520991989521,0.5501397561700863,0.018851522071618988,0.5383586083853702,0.5718822479928635,,,,,0.3559322033898305,0.03389830508474578,0.3220338983050847,0.3898305084745763,8.333333333333334,1.1547005383792517,7,9,57000.0,0.0,57000,57000,2.405804179996873,0.018613532622050916,2.3908554160007043,2.4266525830025785
RBF_I,clean,none,error_rule,0.05,1,0.5496435111752915,0.016280380299711083,0.5351636399474955,0.5672661622154667,0.5555040142729705,0.017031996233995712,0.5399464763603925,0.5737020517395183,,,,,0.3276836158192091,0.06416845588474888,0.2542372881355932,0.3728813559322034,9.0,1.0,8,10,57000.0,0.0,57000,57000,2.4524523053357066,0.012525422678644422,2.440313500002958,2.4653315000032308
RBF_I,clean,none,error_rule,0.05,5,0.5424934627205936,0.011322504240302149,0.5351196098313384,0.555530192502585,0.5476241451085341,0.010841415950558299,0.5413559322033898,0.56014272970562,,,,,0.4745762711864407,0.044843242560416795,0.423728813559322,0.5084745762711864,6.333333333333333,1.1547005383792515,5,7,57000.0,0.0,57000,57000,2.4604683330010935,0.04557574008167769,2.4204997080087196,2.510101082996698
RBF_I,clean,none,no_reset,0.01,1,0.5718451115520597,0.012446036843661907,0.5575391369875846,0.5801847546117795,0.5760392506690456,0.011903017800495755,0.5623728813559322,0.5841391614629795,,,,,0.096045197740113,0.05448390260447997,0.03389830508474576,0.13559322033898305,0.0,0.0,0,0,57000.0,0.0,57000,57000,2.8332700280006975,0.15675379547801518,2.7285208749963203,3.0134822499967413
RBF_I,clean,none,no_reset,0.01,5,0.5707106394051206,0.004300186489494969,0.5676824550338431,0.5756326896897679,0.5725958965209634,0.004354023710844616,0.5690811775200714,0.5774665477252453,,,,,0.17514124293785313,0.0869762955838455,0.1016949152542373,0.2711864406779661,0.0,0.0,0,0,57000.0,0.0,57000,57000,2.794106013670292,0.12128108560836837,2.7111374999949476,2.9332952910044696
RBF_I,clean,none,no_reset,0.02,1,0.5806951031332316,0.019112819305173796,0.5606228061531493,0.5986765038061654,0.584073743681237,0.018097097513960034,0.5640677966101695,0.5993041926851026,,,,,0.12994350282485875,0.03528247456722258,0.1016949152542373,0.1694915254237288,0.0,0.0,0,0,57000.0,0.0,57000,57000,2.8464066666686754,0.14147974314161835,2.7563997500110418,3.009480374996201
RBF_I,clean,none,no_reset,0.02,5,0.5654403431154945,0.031876230381149326,0.5287522281767043,0.5863496939386209,0.5684269997026464,0.02972875811442309,0.5344335414808207,0.5895628902765389,,,,,0.2655367231638418,0.03914239113150006,0.22033898305084745,0.288135593220339,0.0,0.0,0,0,57000.0,0.0,57000,57000,2.7900643476702194,0.1722332240844061,2.667581166999298,2.986999291999382
