state,action,q_value,selected,visits,mean_reward,rejected_fraction,variant,seed
0,update,7.185361761892008,True,761,0.7113009198423127,0.2588699080157687,alarm,17
0,reset,6.320472800998831,False,1753,0.735653166001141,0.4460924130062749,alarm,17
1,update,6.857813747180741,True,704,0.7454545454545454,0.421875,alarm,17
1,reset,4.971559087341096,False,86,0.6125581395348837,0.686046511627907,alarm,17
0,update,5.95050645561976,False,1528,0.7233507853403142,0.3298429319371728,alarm,27
0,reset,6.285097758699081,True,943,0.7232661717921527,0.464475079533404,alarm,27
1,update,5.84626896460819,False,65,0.6827692307692308,0.4,alarm,27
1,reset,6.651143153841431,True,768,0.7292968749999998,0.6640625,alarm,27
0,update,5.404334097476857,False,1564,0.7348337595907928,0.2909207161125319,alarm,7
0,reset,6.642550607563912,True,880,0.7185454545454546,0.421590909090909,alarm,7
1,update,5.799861718061158,False,654,0.7174006116207952,0.3730886850152905,alarm,7
1,reset,6.591975958884463,True,206,0.7486407766990292,0.6262135922330098,alarm,7
00,update,6.805304475268311,True,799,0.7950187734668336,0.3779724655819774,alarm_persistence,17
00,reset,6.296394555097983,False,1140,0.7492456140350878,0.4368421052631579,alarm_persistence,17
01,update,6.5846062419574825,True,78,0.6035897435897436,0.2692307692307692,alarm_persistence,17
01,reset,5.413860571462676,False,490,0.5861632653061225,0.4836734693877551,alarm_persistence,17
10,update,5.404724757674155,False,372,0.7343548387096775,0.4059139784946236,alarm_persistence,17
10,reset,6.728973225472333,True,78,0.7720512820512822,0.6923076923076923,alarm_persistence,17
11,update,6.060578941615186,True,336,0.7298214285714286,0.4583333333333333,alarm_persistence,17
11,reset,3.857980737345287,False,11,0.66,0.8181818181818182,alarm_persistence,17
00,update,6.053302480895406,False,899,0.7686763070077864,0.3359288097886541,alarm_persistence,27
00,reset,6.322137686415385,True,993,0.7708761329305136,0.4481369587109768,alarm_persistence,27
01,update,5.7624352885224255,False,525,0.5702095238095238,0.28,alarm_persistence,27
01,reset,6.4446621035276515,True,47,0.6144680851063828,0.5106382978723404,alarm_persistence,27
10,update,4.9749651983960534,False,19,0.7463157894736843,0.4210526315789473,alarm_persistence,27
10,reset,5.974823906514924,True,458,0.7382532751091703,0.6812227074235808,alarm_persistence,27
11,update,6.517382880175262,True,342,0.7138596491228071,0.4970760233918128,alarm_persistence,27
11,reset,5.039944081479517,False,21,0.7257142857142855,0.7142857142857143,alarm_persistence,27
00,update,5.9068324359667805,False,1251,0.772853717026379,0.2765787370103917,alarm_persistence,7
00,reset,6.327333857473554,True,575,0.7990608695652174,0.4382608695652173,alarm_persistence,7
01,update,6.355940077370442,True,549,0.5848816029143898,0.2459016393442623,alarm_persistence,7
01,reset,5.232659491617799,False,26,0.6538461538461539,0.4615384615384615,alarm_persistence,7
10,update,5.438723775669936,False,493,0.723732251521298,0.3245436105476673,alarm_persistence,7
10,reset,6.418070480234006,True,47,0.8004255319148937,0.7021276595744681,alarm_persistence,7
11,update,6.367536653437508,True,342,0.7082456140350878,0.4210526315789473,alarm_persistence,7
11,reset,4.944599966073183,False,21,0.7019047619047619,0.6190476190476191,alarm_persistence,7
