epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__splice__severe,27,d3_oof,53.08,57000,3,2,0.1
0,SEA_A__s112__clean__none,27,d3_oof,53.48,57000,1,2,0.1
0,RBF_I__s112__instance__severe,27,d3_oof,30.9,57000,1,2,0.1
0,RBF_I__s112__concept__severe,27,d3_oof,32.04,57000,1,2,0.1
0,SEA_A__s112__instance__moderate,27,d3_oof,53.88,57000,0,2,0.1
0,RBF_I__s112__instance__moderate,27,d3_oof,32.44,57000,5,2,0.1
0,SEA_A__s112__instance__severe,27,d3_oof,53.74,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,27,d3_oof,35.12,57000,0,2,0.1
0,SEA_A__s112__splice__moderate,27,d3_oof,54.06,57000,1,2,0.1
0,RBF_I__s112__splice__moderate,27,d3_oof,32.1,57000,4,2,0.1
0,SEA_A__s112__concept__moderate,27,d3_oof,53.1,57000,1,2,0.1
0,SEA_A__s112__concept__severe,27,d3_oof,53.56,57000,0,2,0.1
0,RBF_I__s112__clean__none,27,d3_oof,32.980000000000004,57000,0,2,0.1
0,RBF_I__s112__splice__severe,27,d3_oof,31.900000000000002,57000,19,2,0.1
1,SEA_A__s112__splice__moderate,27,d3_oof,54.26,57000,1,2,0.1
1,SEA_A__s112__clean__none,27,d3_oof,54.339999999999996,57000,4,2,0.1
1,SEA_A__s112__concept__moderate,27,d3_oof,53.66,57000,1,2,0.1
1,RBF_I__s112__splice__severe,27,d3_oof,30.14,57000,6,2,0.1
1,SEA_A__s112__instance__moderate,27,d3_oof,54.38,57000,24,2,0.1
1,SEA_A__s112__instance__severe,27,d3_oof,54.08,57000,28,2,0.1
1,RBF_I__s112__concept__moderate,27,d3_oof,32.38,57000,15,2,0.1
1,RBF_I__s112__clean__none,27,d3_oof,32.86,57000,29,2,0.1
1,RBF_I__s112__instance__moderate,27,d3_oof,31.64,57000,29,2,0.1
1,RBF_I__s112__instance__severe,27,d3_oof,32.12,57000,0,2,0.1
1,SEA_A__s112__splice__severe,27,d3_oof,54.0,57000,32,2,0.1
1,SEA_A__s112__concept__severe,27,d3_oof,53.78,57000,20,2,0.1
1,RBF_I__s112__concept__severe,27,d3_oof,31.94,57000,25,2,0.1
1,RBF_I__s112__splice__moderate,27,d3_oof,32.78,57000,13,2,0.1
2,SEA_A__s112__instance__moderate,27,d3_oof,54.32,57000,28,2,0.1
2,SEA_A__s112__concept__severe,27,d3_oof,53.8,57000,19,2,0.1
2,RBF_I__s112__splice__severe,27,d3_oof,32.04,57000,22,2,0.1
2,SEA_A__s112__instance__severe,27,d3_oof,54.06,57000,28,2,0.1
2,RBF_I__s112__splice__moderate,27,d3_oof,32.14,57000,29,2,0.1
2,RBF_I__s112__concept__moderate,27,d3_oof,34.84,57000,2,2,0.1
2,SEA_A__s112__splice__severe,27,d3_oof,54.1,57000,30,2,0.1
2,SEA_A__s112__concept__moderate,27,d3_oof,53.98,57000,23,2,0.1
2,SEA_A__s112__splice__moderate,27,d3_oof,54.2,57000,30,2,0.1
2,RBF_I__s112__instance__moderate,27,d3_oof,32.1,57000,19,2,0.1
2,SEA_A__s112__clean__none,27,d3_oof,54.32,57000,3,2,0.1
2,RBF_I__s112__instance__severe,27,d3_oof,31.28,57000,10,2,0.1
2,RBF_I__s112__clean__none,27,d3_oof,32.7,57000,29,2,0.1
2,RBF_I__s112__concept__severe,27,d3_oof,32.1,57000,0,2,0.1
3,RBF_I__s112__clean__none,27,d3_oof,32.78,57000,29,2,0.1
3,RBF_I__s112__instance__moderate,27,d3_oof,31.7,57000,1,2,0.1
3,RBF_I__s112__splice__moderate,27,d3_oof,32.18,57000,28,2,0.1
3,SEA_A__s112__concept__severe,27,d3_oof,53.56,57000,0,2,0.1
3,RBF_I__s112__concept__moderate,27,d3_oof,35.26,57000,1,2,0.1
3,SEA_A__s112__splice__severe,27,d3_oof,53.52,57000,2,2,0.1
3,SEA_A__s112__clean__none,27,d3_oof,53.92,57000,2,2,0.1
3,RBF_I__s112__splice__severe,27,d3_oof,32.94,57000,1,2,0.1
3,SEA_A__s112__instance__severe,27,d3_oof,54.06,57000,30,2,0.1
3,RBF_I__s112__instance__severe,27,d3_oof,30.06,57000,33,2,0.1
3,SEA_A__s112__instance__moderate,27,d3_oof,54.019999999999996,57000,1,2,0.1
3,SEA_A__s112__concept__moderate,27,d3_oof,53.62,57000,1,2,0.1
3,SEA_A__s112__splice__moderate,27,d3_oof,54.2,57000,4,2,0.1
3,RBF_I__s112__concept__severe,27,d3_oof,32.88,57000,5,2,0.1
