epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__splice__severe,27,d3_oof,53.08,57000,3,4,0.1
0,SEA_A__s112__clean__none,27,d3_oof,53.48,57000,1,4,0.1
0,RBF_I__s112__instance__severe,27,d3_oof,30.9,57000,1,4,0.1
0,RBF_I__s112__concept__severe,27,d3_oof,32.04,57000,1,4,0.1
0,SEA_A__s112__instance__moderate,27,d3_oof,53.88,57000,0,4,0.1
0,RBF_I__s112__instance__moderate,27,d3_oof,32.44,57000,5,4,0.1
0,SEA_A__s112__instance__severe,27,d3_oof,53.74,57000,1,4,0.1
0,RBF_I__s112__concept__moderate,27,d3_oof,35.12,57000,0,4,0.1
0,SEA_A__s112__splice__moderate,27,d3_oof,54.06,57000,1,4,0.1
0,RBF_I__s112__splice__moderate,27,d3_oof,32.1,57000,4,4,0.1
0,SEA_A__s112__concept__moderate,27,d3_oof,53.1,57000,1,4,0.1
0,SEA_A__s112__concept__severe,27,d3_oof,53.56,57000,0,4,0.1
0,RBF_I__s112__clean__none,27,d3_oof,32.980000000000004,57000,0,4,0.1
0,RBF_I__s112__splice__severe,27,d3_oof,34.32,57000,1,4,0.1
1,SEA_A__s112__splice__moderate,27,d3_oof,53.96,57000,27,4,0.1
1,SEA_A__s112__clean__none,27,d3_oof,54.18,57000,32,4,0.1
1,SEA_A__s112__concept__moderate,27,d3_oof,54.38,57000,17,4,0.1
1,RBF_I__s112__splice__severe,27,d3_oof,30.64,57000,17,4,0.1
1,SEA_A__s112__instance__moderate,27,d3_oof,54.16,57000,22,4,0.1
1,SEA_A__s112__instance__severe,27,d3_oof,54.18,57000,24,4,0.1
1,RBF_I__s112__concept__moderate,27,d3_oof,32.76,57000,15,4,0.1
1,RBF_I__s112__clean__none,27,d3_oof,32.58,57000,0,4,0.1
1,RBF_I__s112__instance__moderate,27,d3_oof,31.080000000000002,57000,17,4,0.1
1,RBF_I__s112__instance__severe,27,d3_oof,32.12,57000,0,4,0.1
1,SEA_A__s112__splice__severe,27,d3_oof,54.06,57000,23,4,0.1
1,SEA_A__s112__concept__severe,27,d3_oof,53.82,57000,16,4,0.1
1,RBF_I__s112__concept__severe,27,d3_oof,32.3,57000,14,4,0.1
1,RBF_I__s112__splice__moderate,27,d3_oof,32.34,57000,21,4,0.1
2,SEA_A__s112__instance__moderate,27,d3_oof,53.7,57000,0,4,0.1
2,SEA_A__s112__concept__severe,27,d3_oof,53.82,57000,2,4,0.1
2,RBF_I__s112__splice__severe,27,d3_oof,34.12,57000,0,4,0.1
2,SEA_A__s112__instance__severe,27,d3_oof,53.98,57000,28,4,0.1
2,RBF_I__s112__splice__moderate,27,d3_oof,32.54,57000,23,4,0.1
2,RBF_I__s112__concept__moderate,27,d3_oof,34.84,57000,2,4,0.1
2,SEA_A__s112__splice__severe,27,d3_oof,53.7,57000,2,4,0.1
2,SEA_A__s112__concept__moderate,27,d3_oof,53.92,57000,0,4,0.1
2,SEA_A__s112__splice__moderate,27,d3_oof,53.839999999999996,57000,28,4,0.1
2,RBF_I__s112__instance__moderate,27,d3_oof,31.88,57000,15,4,0.1
2,SEA_A__s112__clean__none,27,d3_oof,54.32,57000,3,4,0.1
2,RBF_I__s112__instance__severe,27,d3_oof,29.919999999999998,57000,8,4,0.1
2,RBF_I__s112__clean__none,27,d3_oof,32.18,57000,15,4,0.1
2,RBF_I__s112__concept__severe,27,d3_oof,33.12,57000,2,4,0.1
3,RBF_I__s112__clean__none,27,d3_oof,32.24,57000,23,4,0.1
3,RBF_I__s112__instance__moderate,27,d3_oof,33.76,57000,3,4,0.1
3,RBF_I__s112__splice__moderate,27,d3_oof,32.24,57000,21,4,0.1
3,SEA_A__s112__concept__severe,27,d3_oof,53.26,57000,16,4,0.1
3,RBF_I__s112__concept__moderate,27,d3_oof,32.92,57000,18,4,0.1
3,SEA_A__s112__splice__severe,27,d3_oof,54.019999999999996,57000,22,4,0.1
3,SEA_A__s112__clean__none,27,d3_oof,54.16,57000,33,4,0.1
3,RBF_I__s112__splice__severe,27,d3_oof,30.82,57000,20,4,0.1
3,SEA_A__s112__instance__severe,27,d3_oof,54.16,57000,26,4,0.1
3,RBF_I__s112__instance__severe,27,d3_oof,29.78,57000,20,4,0.1
3,SEA_A__s112__instance__moderate,27,d3_oof,54.44,57000,26,4,0.1
3,SEA_A__s112__concept__moderate,27,d3_oof,53.839999999999996,57000,23,4,0.1
3,SEA_A__s112__splice__moderate,27,d3_oof,54.08,57000,33,4,0.1
3,RBF_I__s112__concept__severe,27,d3_oof,31.94,57000,23,4,0.1
