epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__splice__severe,17,hddm_w,32.160000000000004,57000,1,2,0.1
0,SEA_A__s112__splice__severe,17,hddm_w,53.72,57000,1,2,0.1
0,RBF_I__s112__instance__severe,17,hddm_w,29.62,57000,2,2,0.1
0,SEA_A__s112__concept__severe,17,hddm_w,52.96,57000,0,2,0.1
0,RBF_I__s112__splice__moderate,17,hddm_w,35.04,57000,0,2,0.1
0,RBF_I__s112__clean__none,17,hddm_w,33.54,57000,0,2,0.1
0,RBF_I__s112__instance__moderate,17,hddm_w,31.86,57000,0,2,0.1
0,SEA_A__s112__instance__moderate,17,hddm_w,54.339999999999996,57000,2,2,0.1
0,SEA_A__s112__clean__none,17,hddm_w,53.56,57000,0,2,0.1
0,RBF_I__s112__concept__moderate,17,hddm_w,34.62,57000,0,2,0.1
0,SEA_A__s112__instance__severe,17,hddm_w,53.46,57000,1,2,0.1
0,RBF_I__s112__concept__severe,17,hddm_w,31.86,57000,0,2,0.1
0,SEA_A__s112__splice__moderate,17,hddm_w,53.6,57000,2,2,0.1
0,SEA_A__s112__concept__moderate,17,hddm_w,53.72,57000,1,2,0.1
1,RBF_I__s112__splice__severe,17,hddm_w,31.96,57000,3,2,0.1
1,SEA_A__s112__instance__severe,17,hddm_w,53.0,57000,2,2,0.1
1,SEA_A__s112__concept__moderate,17,hddm_w,52.94,57000,0,2,0.1
1,RBF_I__s112__instance__moderate,17,hddm_w,31.7,57000,1,2,0.1
1,SEA_A__s112__clean__none,17,hddm_w,53.88,57000,2,2,0.1
1,SEA_A__s112__splice__moderate,17,hddm_w,54.0,57000,2,2,0.1
1,RBF_I__s112__splice__moderate,17,hddm_w,35.660000000000004,57000,0,2,0.1
1,SEA_A__s112__splice__severe,17,hddm_w,54.1,57000,1,2,0.1
1,RBF_I__s112__clean__none,17,hddm_w,32.5,57000,2,2,0.1
1,RBF_I__s112__concept__severe,17,hddm_w,31.98,57000,0,2,0.1
1,RBF_I__s112__concept__moderate,17,hddm_w,32.7,57000,20,2,0.1
1,SEA_A__s112__concept__severe,17,hddm_w,53.78,57000,20,2,0.1
1,RBF_I__s112__instance__severe,17,hddm_w,30.080000000000002,57000,33,2,0.1
1,SEA_A__s112__instance__moderate,17,hddm_w,54.18,57000,29,2,0.1
2,SEA_A__s112__instance__severe,17,hddm_w,53.94,57000,24,2,0.1
2,SEA_A__s112__clean__none,17,hddm_w,54.4,57000,36,2,0.1
2,RBF_I__s112__splice__severe,17,hddm_w,32.26,57000,10,2,0.1
2,RBF_I__s112__concept__severe,17,hddm_w,32.28,57000,5,2,0.1
2,RBF_I__s112__clean__none,17,hddm_w,32.72,57000,24,2,0.1
2,SEA_A__s112__concept__severe,17,hddm_w,53.82,57000,19,2,0.1
2,RBF_I__s112__concept__moderate,17,hddm_w,32.76,57000,29,2,0.1
2,SEA_A__s112__instance__moderate,17,hddm_w,54.32,57000,28,2,0.1
2,SEA_A__s112__splice__severe,17,hddm_w,54.0,57000,32,2,0.1
2,RBF_I__s112__splice__moderate,17,hddm_w,32.86,57000,23,2,0.1
2,SEA_A__s112__concept__moderate,17,hddm_w,54.1,57000,18,2,0.1
2,SEA_A__s112__splice__moderate,17,hddm_w,54.04,57000,36,2,0.1
2,RBF_I__s112__instance__severe,17,hddm_w,30.26,57000,19,2,0.1
2,RBF_I__s112__instance__moderate,17,hddm_w,31.060000000000002,57000,31,2,0.1
3,SEA_A__s112__concept__moderate,17,hddm_w,53.52,57000,8,2,0.1
3,SEA_A__s112__splice__severe,17,hddm_w,53.68,57000,3,2,0.1
3,RBF_I__s112__clean__none,17,hddm_w,32.84,57000,19,2,0.1
3,RBF_I__s112__splice__moderate,17,hddm_w,32.64,57000,22,2,0.1
3,RBF_I__s112__splice__severe,17,hddm_w,31.28,57000,23,2,0.1
3,RBF_I__s112__instance__severe,17,hddm_w,31.0,57000,17,2,0.1
3,RBF_I__s112__instance__moderate,17,hddm_w,34.42,57000,0,2,0.1
3,RBF_I__s112__concept__moderate,17,hddm_w,35.18,57000,0,2,0.1
3,RBF_I__s112__concept__severe,17,hddm_w,31.740000000000002,57000,20,2,0.1
3,SEA_A__s112__instance__severe,17,hddm_w,53.54,57000,2,2,0.1
3,SEA_A__s112__splice__moderate,17,hddm_w,53.76,57000,1,2,0.1
3,SEA_A__s112__clean__none,17,hddm_w,54.42,57000,2,2,0.1
3,SEA_A__s112__concept__severe,17,hddm_w,53.56,57000,0,2,0.1
3,SEA_A__s112__instance__moderate,17,hddm_w,54.32,57000,1,2,0.1
