,,,,,,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_accuracy,host_accuracy,host_accuracy,host_accuracy,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets,resets,resets,resets,training_visits,training_visits,training_visits,training_visits,seconds,seconds,seconds,seconds
,,,,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
stream,mode,level,arm,feedback_fraction,delay_blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,clean,none,confirmed,0.01,5,0.5439077804251312,,0.5439077804251312,0.5439077804251312,0.551364852809991,,0.551364852809991,0.551364852809991,,,,,0.2542372881355932,,0.2542372881355932,0.2542372881355932,1.0,,1,1,60800.0,,60800,60800,2.516166000001249,,2.516166000001249,2.516166000001249
RBF_I,clean,none,confirmed,0.05,1,0.4960799057864767,,0.4960799057864767,0.4960799057864767,0.5035682426404996,,0.5035682426404996,0.5035682426404996,,,,,0.2711864406779661,,0.2711864406779661,0.2711864406779661,3.0,,3,3,64600.0,,64600,64600,2.496161500006565,,2.496161500006565,2.496161500006565
RBF_I,clean,none,no_reset,0.01,5,0.5225831002555164,,0.5225831002555164,0.5225831002555164,0.5290276538804639,,0.5290276538804639,0.5290276538804639,,,,,0.13559322033898305,,0.13559322033898305,0.13559322033898305,0.0,,0,0,57000.0,,57000,57000,2.524148749987944,,2.524148749987944,2.524148749987944
RBF_I,clean,none,no_reset,0.05,1,0.5246615264744932,,0.5246615264744932,0.5246615264744932,0.5328278322925959,,0.5328278322925959,0.5328278322925959,,,,,0.1864406779661017,,0.1864406779661017,0.1864406779661017,0.0,,0,0,57000.0,,57000,57000,2.570236166997347,,2.570236166997347,2.570236166997347
RBF_I,clean,none,q_alarm_persistence_7,0.01,5,0.49004009971036777,,0.49004009971036777,0.49004009971036777,0.4961819803746655,,0.4961819803746655,0.4961819803746655,,,,,0.3389830508474576,,0.3389830508474576,0.3389830508474576,19.0,,19,19,57000.0,,57000,57000,2.2046229999978095,,2.2046229999978095,2.2046229999978095
RBF_I,clean,none,q_alarm_persistence_7,0.05,1,0.49924190797620105,,0.49924190797620105,0.49924190797620105,0.5053702051739518,,0.5053702051739518,0.5053702051739518,,,,,0.4576271186440678,,0.4576271186440678,0.4576271186440678,14.0,,14,14,57000.0,,57000,57000,2.2916410000034375,,2.2916410000034375,2.2916410000034375
RBF_I,instance,severe,confirmed,0.01,5,0.4737126351566201,,0.4737126351566201,0.4737126351566201,0.48620874219446925,,0.48620874219446925,0.48620874219446925,0.7435051256845948,,0.7435051256845948,0.7435051256845948,0.2534682357443552,,0.2534682357443552,0.2534682357443552,1.0,,1,1,60800.0,,60800,60800,2.4927383340109373,,2.4927383340109373,2.4927383340109373
RBF_I,instance,severe,confirmed,0.05,1,0.4833432285916314,,0.4833432285916314,0.4833432285916314,0.5023193577163247,,0.5023193577163247,0.5023193577163247,0.6257548097177362,,0.6257548097177362,0.6257548097177362,0.3724167623421355,,0.3724167623421355,0.3724167623421355,1.0,,1,1,58900.0,,58900,58900,2.5350595409981906,,2.5350595409981906,2.5350595409981906
RBF_I,instance,severe,no_reset,0.01,5,0.4914287465462658,,0.4914287465462658,0.4914287465462658,0.5022123104371097,,0.5022123104371097,0.5022123104371097,0.8171605111641623,,0.8171605111641623,0.8171605111641623,0.18766743207041714,,0.18766743207041714,0.18766743207041714,0.0,,0,0,57000.0,,57000,57000,2.4460813330078963,,2.4460813330078963,2.4460813330078963
RBF_I,instance,severe,no_reset,0.05,1,0.4693114529727782,,0.4693114529727782,0.4693114529727782,0.4863514719000892,,0.4863514719000892,0.4863514719000892,0.5881898609745823,,0.5881898609745823,0.5881898609745823,0.40506601607347875,,0.40506601607347875,0.40506601607347875,0.0,,0,0,57000.0,,57000,57000,2.4904525419988204,,2.4904525419988204,2.4904525419988204
RBF_I,instance,severe,q_alarm_persistence_7,0.01,5,0.4616584210624969,,0.4616584210624969,0.4616584210624969,0.48119536128456736,,0.48119536128456736,0.48119536128456736,0.6442213172307261,,0.6442213172307261,0.6442213172307261,0.3559845005740528,,0.3559845005740528,0.3559845005740528,19.0,,19,19,57000.0,,57000,57000,2.199260374996811,,2.199260374996811,2.199260374996811
RBF_I,instance,severe,q_alarm_persistence_7,0.05,1,0.4656627007311193,,0.4656627007311193,0.4656627007311193,0.48526315789473684,,0.48526315789473684,0.48526315789473684,0.45744979637691335,,0.45744979637691335,0.45744979637691335,0.5423124760811328,,0.5423124760811328,0.5423124760811328,21.0,,21,21,57000.0,,57000,57000,2.2292667500005336,,2.2292667500005336,2.2292667500005336
SEA_A,clean,none,confirmed,0.01,5,0.8958488232320195,,0.8958488232320195,0.8958488232320195,0.9047100802854594,,0.9047100802854594,0.9047100802854594,,,,,0.2033898305084746,,0.2033898305084746,0.2033898305084746,1.0,,1,1,58900.0,,58900,58900,0.7331439160043374,,0.7331439160043374,0.7331439160043374
SEA_A,clean,none,confirmed,0.05,1,0.9011040894066082,,0.9011040894066082,0.9011040894066082,0.9100981266726137,,0.9100981266726137,0.9100981266726137,,,,,0.6610169491525424,,0.6610169491525424,0.6610169491525424,2.0,,2,2,60800.0,,60800,60800,0.6910542080004234,,0.6910542080004234,0.6910542080004234
SEA_A,clean,none,no_reset,0.01,5,0.8919644297837805,,0.8919644297837805,0.8919644297837805,0.9015700267618199,,0.9015700267618199,0.9015700267618199,,,,,0.11864406779661017,,0.11864406779661017,0.11864406779661017,0.0,,0,0,57000.0,,57000,57000,0.8608490000042366,,0.8608490000042366,0.8608490000042366
SEA_A,clean,none,no_reset,0.05,1,0.8990646712983215,,0.8990646712983215,0.8990646712983215,0.9082604817127564,,0.9082604817127564,0.9082604817127564,,,,,0.2711864406779661,,0.2711864406779661,0.2711864406779661,0.0,,0,0,57000.0,,57000,57000,0.7892574580037035,,0.7892574580037035,0.7892574580037035
SEA_A,clean,none,q_alarm_persistence_7,0.01,5,0.9012088987170797,,0.9012088987170797,0.9012088987170797,0.9101159678858163,,0.9101159678858163,0.9101159678858163,,,,,0.23728813559322035,,0.23728813559322035,0.23728813559322035,40.0,,40,40,57000.0,,57000,57000,0.6078424169973005,,0.6078424169973005,0.6078424169973005
SEA_A,clean,none,q_alarm_persistence_7,0.05,1,0.9041118463841458,,0.9041118463841458,0.9041118463841458,0.912792149866191,,0.912792149866191,0.912792149866191,,,,,0.3728813559322034,,0.3728813559322034,0.3728813559322034,34.0,,34,34,57000.0,,57000,57000,0.6152245409903117,,0.6152245409903117,0.6152245409903117
SEA_A,instance,severe,confirmed,0.01,5,0.8854498302746361,,0.8854498302746361,0.8854498302746361,0.8960035682426405,,0.8960035682426405,0.8960035682426405,0.868860510805501,,0.868860510805501,0.868860510805501,0.13711182353222642,,0.13711182353222642,0.13711182353222642,0.0,,0,0,57000.0,,57000,57000,0.7833387499995297,,0.7833387499995297,0.7833387499995297
SEA_A,instance,severe,confirmed,0.05,1,0.8895560459772032,,0.8895560459772032,0.8895560459772032,0.8996610169491526,,0.8996610169491526,0.8996610169491526,0.6114229581813079,,0.6114229581813079,0.6114229581813079,0.3902579070768936,,0.3902579070768936,0.3902579070768936,0.0,,0,0,57000.0,,57000,57000,0.7409228339965921,,0.7409228339965921,0.7409228339965921
