stage,condition,arm,feedback_fraction,delay_blocks,host_macro_f1,resets,summary_sha256,prediction_sha256,path
validation,RBF_I__s114__clean__none,map_0000,0.05,1,0.6159922292291727,0,06d6b92ccfe4ac26c60c5153a7e51e275b4f117caeaa26bfe1ffae506922ce95,20670d9e992a57b418b22fa4dfdbfd8cb4f5b3683c41a066046168986f04ae99,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0000/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0001,0.05,1,0.5893648908939335,1,29a3e25fab508895bf78d9a67ac87b95d7e75cb90df3636f42ef4f789ce4e920,4401aabe40682fbee5a212e305e9e1358bb8695656ec913a142390f900219285,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0001/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0010,0.05,1,0.5664855395041999,2,3ae0eb9174098468e6ada708d7a09072038a02fb1ef8bb667ab4243d293f5860,3d06c1de79a619f4a1ca803e84027ffd43a37af76e7c8bcd91ceccaa0fe3dfdf,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0010/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0011,0.05,1,0.5736262372237494,3,bde0a3d7681934138bd519fe9a996472930b275836b846afe75b073b3aed25bf,d64d97decdea4e5dcd1f4ada53d2de634b1dcd0897b168b120615482fb542dae,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0011/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0100,0.05,1,0.5868777419344888,7,7ed39d7af54aafa7e2969a87d1a082238ae70897508539d63693cb280fac843c,ea02dcc075a508ec9a62c81a6e76f7cb9fa68dca77df3245e1a1e6d2a84ddf4e,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0100/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0101,0.05,1,0.5862294573994415,9,4f9aa521e83e4631ea85193a0c605bbad4c18564292d368ab9048cc9b5d129ec,031d6044461c4c4904f856cc39fce6b78f036f91979fa6fdf444d3a47f072ba8,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0101/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0110,0.05,1,0.583363714731049,9,d670a6b37dd89cabba74df9ba6c54b192aeefe1d27b57f2a1316516a99347c2b,775e52c8b10a1d9461f286c7dbcf1b5daf04b40c5691cb48e94195a6814f3b90,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0110/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_0111,0.05,1,0.586936204550057,10,cab6469c5fe0a23fe08a61c38728568d11ae78ed8242cfdc8c07b0ea4af731e9,9256c94c47b78ae46a833c9433eef975139ca82b1360a1037b66f2fa8cc364b2,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_0111/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1000,0.05,1,0.5781450058134341,16,b6715eb6945b7ed2b397bb83b3c3f52fbd618439ac25fbe1e535b9b910744285,42ca8e5b7c087c05da7b01b1eafc1421137c4f20b700d089fdadb028f292f5e9,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1000/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1001,0.05,1,0.5776380062653046,16,1489c7e29171ac28422c62b5881ec1f1d95bd36f451ecc023c6fa0a22c956f59,cabac507eda7b15fe3b98d17dfeb810944c6778edb12c45aab8b7028ffb2fcc3,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1001/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1010,0.05,1,0.5781450058134341,16,501dd611bfdbbdeb3a5c731409018913434920b2cccf9ece00f6c5e009091bff,42ca8e5b7c087c05da7b01b1eafc1421137c4f20b700d089fdadb028f292f5e9,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1010/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1011,0.05,1,0.5776380062653046,16,d584afb7a38749ea5ae9612a85b8975e222f43fb249e2710fc3cdbbdbbaec176,cabac507eda7b15fe3b98d17dfeb810944c6778edb12c45aab8b7028ffb2fcc3,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1011/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1100,0.05,1,0.586627062978935,24,5940d4ddf8a3f23e8e13a4b1a324fff76beffa367f15d3354b2fbed7f7fafda3,73479b1a249d4ed4742dac9380a86265ffe6329f41b29afca8b04c8b5c1463f1,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1100/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1101,0.05,1,0.586627062978935,24,155fb0ee4d77683b7d744e6e5a31f627eebe41c3eea82ad5377e9b09e9fa83e7,73479b1a249d4ed4742dac9380a86265ffe6329f41b29afca8b04c8b5c1463f1,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1101/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1110,0.05,1,0.586627062978935,24,4bf1b41a8fb9e9e3afef6af9590ed7ec37d129d758ddeba4a28571c0126adaf9,73479b1a249d4ed4742dac9380a86265ffe6329f41b29afca8b04c8b5c1463f1,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1110/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__clean__none,map_1111,0.05,1,0.586627062978935,24,8f43f93981f03cbc6cd14d7c20a19eba1238d7ccb9565019338e2192f02c7bb1,73479b1a249d4ed4742dac9380a86265ffe6329f41b29afca8b04c8b5c1463f1,results/policy_robustness/validation_runs/RBF_I__s114__clean__none/map_1111/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0000,0.05,1,0.5934333944457044,0,05d61522d816c87f5b702065d114eee59bd990e5ca573691af768fc46495bef1,fcee2c5e8b9f4240ee76041fcbffe53039acf9324ea6f657f34c9c0f746047f0,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0000/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0001,0.05,1,0.5596116683194895,8,483e931b913606c74649e3a4dd5e526abf13771c64e62dc038b7e199b36e4d59,108307774c6302d23285563d50d208bbd7fe720bd71c35f223db6ae7988dc0cd,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0001/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0010,0.05,1,0.5592724794974311,2,436f2b636110ef64018c2292131ab91915281b5427c47bff5977220fd4d8d7d5,a262eb7fbf61d2525867f81d7a7e49625fbd9cf4da62e16001134af299bf1ef7,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0010/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0011,0.05,1,0.5649966389025188,8,fb838eb939e52a29d6d71b59a957a15927c32b50b80580e64aebbf7aae865721,7047b23c7e5fb61f01b3c5d431f90d2a76191b57e61817fca2483d6c5a4f2f39,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0011/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0100,0.05,1,0.5636963742996457,4,eb66f1b34103f9aa036423acec2d8854d1c25fad4fbe3bc720c43ba187c62c51,f5e9cad5c954a7189e81cc96a5598c80aae932fe5b7a1aff198c66e27aa06564,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0100/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0101,0.05,1,0.5613283253444477,11,ded531044c74858f3f8fd173060ab6415157a99937e0e58b66e8af8d33ad1ab7,bc80ece1dba2bde0f207fceb3a8d74fa1c117dc95c8ccb41647f4e067ae77989,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0101/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0110,0.05,1,0.5673350343295505,8,ed0f2c5388ba287d1754f1abbb16b1ec935b0836a03b1a03d0703619b3f62880,272bcf4f9d0370c05fc3469564f75f556b69a9c9d9c1abaf23f67ea8958c2ccf,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0110/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_0111,0.05,1,0.5674261113408973,13,8757c763d40116a55a0c8dcbd94f074c466046c935e29cf7616948950e827d00,f17ae49dca167d7bde19a0e47d74e47590958daf8ad539fc8ddfceddf6aaeab6,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_0111/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_1000,0.05,1,0.5634026282758022,9,ac57719c325879e4a04f695bd8c70c0138f412fb2537a023524c800bb856d92d,a25e4ca769b745868cac4546aa183474a17289e1b3127caa98d98fc73f0bbd38,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_1000/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_1001,0.05,1,0.5658960407724082,10,9cc7139651e052235c917e863e40e2e3c8e476a4871b19117cbd1117d9983052,e61b9d7b91c720840ee508e8f88ce1a6595e8a0c45713b541438f9264eb2540d,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_1001/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_1010,0.05,1,0.5702286247384741,10,189651d28963d336cdad7e8eeb8f3d0409cb484e50588e77b04666a86f40eb9e,a10d7484d643f73ec4a3ee075c216e7a1e8c2f3860b88d0ed3bf8ca0dfd27eb0,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_1010/feedback_0.05_delay_1/summary.json
validation,RBF_I__s114__concept__moderate,map_1011,0.05,1,0.5657540964394496,13,4db114606150141a927d10f60db7bbf342222c8e6fecf72b9f13ee0132d06015,32630facfb496da9f22bee17b70067a1b118c34f8f3e3e2ae45f8b9c0ddb491c,results/policy_robustness/validation_runs/RBF_I__s114__concept__moderate/map_1011/feedback_0.05_delay_1/summary.json
