epoch,condition,seed,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__splice__severe,17,31.36,57000,21,2,0.1
0,SEA_A__s112__splice__severe,17,54.1,57000,29,2,0.1
0,RBF_I__s112__instance__severe,17,30.06,57000,31,2,0.1
0,SEA_A__s112__concept__severe,17,54.0,57000,9,2,0.1
0,RBF_I__s112__splice__moderate,17,32.72,57000,18,2,0.1
0,RBF_I__s112__clean__none,17,32.72,57000,27,2,0.1
0,RBF_I__s112__instance__moderate,17,32.14,57000,26,2,0.1
0,SEA_A__s112__instance__moderate,17,54.339999999999996,57000,27,2,0.1
0,SEA_A__s112__clean__none,17,54.28,57000,37,2,0.1
0,RBF_I__s112__concept__moderate,17,32.660000000000004,57000,18,2,0.1
0,SEA_A__s112__instance__severe,17,54.1,57000,28,2,0.1
0,RBF_I__s112__concept__severe,17,32.04,57000,18,2,0.1
0,SEA_A__s112__splice__moderate,17,54.02,57000,35,2,0.1
0,SEA_A__s112__concept__moderate,17,54.019999999999996,57000,17,2,0.1
1,RBF_I__s112__splice__severe,17,31.76,57000,18,2,0.1
1,SEA_A__s112__instance__severe,17,53.0,57000,2,2,0.1
1,SEA_A__s112__concept__moderate,17,52.94,57000,0,2,0.1
1,RBF_I__s112__instance__moderate,17,31.7,57000,1,2,0.1
1,SEA_A__s112__clean__none,17,54.3,57000,36,2,0.1
1,SEA_A__s112__splice__moderate,17,54.12,57000,33,2,0.1
1,RBF_I__s112__splice__moderate,17,32.660000000000004,57000,15,2,0.1
1,SEA_A__s112__splice__severe,17,54.1,57000,27,2,0.1
1,RBF_I__s112__clean__none,17,32.3,57000,22,2,0.1
1,RBF_I__s112__concept__severe,17,31.88,57000,17,2,0.1
1,RBF_I__s112__concept__moderate,17,32.42,57000,3,2,0.1
1,SEA_A__s112__concept__severe,17,53.64,57000,1,2,0.1
1,RBF_I__s112__instance__severe,17,31.36,57000,1,2,0.1
1,SEA_A__s112__instance__moderate,17,54.32,57000,26,2,0.1
2,SEA_A__s112__instance__severe,17,54.18,57000,27,2,0.1
2,SEA_A__s112__clean__none,17,54.4,57000,36,2,0.1
2,RBF_I__s112__splice__severe,17,32.78,57000,17,2,0.1
2,RBF_I__s112__concept__severe,17,31.72,57000,19,2,0.1
2,RBF_I__s112__clean__none,17,33.36,57000,1,2,0.1
2,SEA_A__s112__concept__severe,17,54.0,57000,7,2,0.1
2,RBF_I__s112__concept__moderate,17,32.54,57000,21,2,0.1
2,SEA_A__s112__instance__moderate,17,54.32,57000,28,2,0.1
2,SEA_A__s112__splice__severe,17,54.0,57000,32,2,0.1
2,RBF_I__s112__splice__moderate,17,32.86,57000,23,2,0.1
2,SEA_A__s112__concept__moderate,17,53.98,57000,15,2,0.1
2,SEA_A__s112__splice__moderate,17,54.14,57000,33,2,0.1
2,RBF_I__s112__instance__severe,17,29.94,57000,32,2,0.1
2,RBF_I__s112__instance__moderate,17,33.660000000000004,57000,1,2,0.1
3,SEA_A__s112__concept__moderate,17,54.06,57000,13,2,0.1
3,SEA_A__s112__splice__severe,17,54.06,57000,31,2,0.1
3,RBF_I__s112__clean__none,17,32.84,57000,29,2,0.1
3,RBF_I__s112__splice__moderate,17,32.8,57000,17,2,0.1
3,RBF_I__s112__splice__severe,17,30.94,57000,23,2,0.1
3,RBF_I__s112__instance__severe,17,30.24,57000,2,2,0.1
3,RBF_I__s112__instance__moderate,17,31.52,57000,30,2,0.1
3,RBF_I__s112__concept__moderate,17,33.38,57000,2,2,0.1
3,RBF_I__s112__concept__severe,17,30.12,57000,10,2,0.1
3,SEA_A__s112__instance__severe,17,53.52,57000,2,2,0.1
3,SEA_A__s112__splice__moderate,17,53.76,57000,1,2,0.1
3,SEA_A__s112__clean__none,17,54.42,57000,2,2,0.1
3,SEA_A__s112__concept__severe,17,53.56,57000,0,2,0.1
3,SEA_A__s112__instance__moderate,17,54.22,57000,1,2,0.1
