epoch,condition,seed,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__splice__severe,27,53.56,57000,5,4,0.1
0,SEA_A__s112__clean__none,27,53.82,57000,4,4,0.1
0,RBF_I__s112__instance__severe,27,29.32,57000,3,4,0.1
0,RBF_I__s112__concept__severe,27,30.28,57000,7,4,0.1
0,SEA_A__s112__instance__moderate,27,53.72,57000,0,4,0.1
0,RBF_I__s112__instance__moderate,27,31.36,57000,6,4,0.1
0,SEA_A__s112__instance__severe,27,53.74,57000,1,4,0.1
0,RBF_I__s112__concept__moderate,27,31.2,57000,6,4,0.1
0,SEA_A__s112__splice__moderate,27,54.019999999999996,57000,1,4,0.1
0,RBF_I__s112__splice__moderate,27,32.1,57000,9,4,0.1
0,SEA_A__s112__concept__moderate,27,53.839999999999996,57000,3,4,0.1
0,SEA_A__s112__concept__severe,27,53.72,57000,5,4,0.1
0,RBF_I__s112__clean__none,27,32.38,57000,2,4,0.1
0,RBF_I__s112__splice__severe,27,33.74,57000,3,4,0.1
1,SEA_A__s112__splice__moderate,27,54.18,57000,1,4,0.1
1,SEA_A__s112__clean__none,27,54.339999999999996,57000,4,4,0.1
1,SEA_A__s112__concept__moderate,27,54.3,57000,2,4,0.1
1,RBF_I__s112__splice__severe,27,32.06,57000,5,4,0.1
1,SEA_A__s112__instance__moderate,27,53.76,57000,1,4,0.1
1,SEA_A__s112__instance__severe,27,52.98,57000,4,4,0.1
1,RBF_I__s112__concept__moderate,27,32.160000000000004,57000,14,4,0.1
1,RBF_I__s112__clean__none,27,32.42,57000,15,4,0.1
1,RBF_I__s112__instance__moderate,27,31.080000000000002,57000,17,4,0.1
1,RBF_I__s112__instance__severe,27,30.78,57000,4,4,0.1
1,SEA_A__s112__splice__severe,27,54.06,57000,23,4,0.1
1,SEA_A__s112__concept__severe,27,53.82,57000,16,4,0.1
1,RBF_I__s112__concept__severe,27,32.3,57000,14,4,0.1
1,RBF_I__s112__splice__moderate,27,32.34,57000,21,4,0.1
2,SEA_A__s112__instance__moderate,27,54.14,57000,25,4,0.1
2,SEA_A__s112__concept__severe,27,53.5,57000,14,4,0.1
2,RBF_I__s112__splice__severe,27,30.98,57000,21,4,0.1
2,SEA_A__s112__instance__severe,27,53.98,57000,28,4,0.1
2,RBF_I__s112__splice__moderate,27,32.54,57000,23,4,0.1
2,RBF_I__s112__concept__moderate,27,32.58,57000,21,4,0.1
2,SEA_A__s112__splice__severe,27,54.06,57000,22,4,0.1
2,SEA_A__s112__concept__moderate,27,54.3,57000,16,4,0.1
2,SEA_A__s112__splice__moderate,27,53.839999999999996,57000,28,4,0.1
2,RBF_I__s112__instance__moderate,27,31.88,57000,15,4,0.1
2,SEA_A__s112__clean__none,27,54.32,57000,3,4,0.1
2,RBF_I__s112__instance__severe,27,29.48,57000,4,4,0.1
2,RBF_I__s112__clean__none,27,32.18,57000,15,4,0.1
2,RBF_I__s112__concept__severe,27,30.22,57000,5,4,0.1
3,RBF_I__s112__clean__none,27,32.52,57000,19,4,0.1
3,RBF_I__s112__instance__moderate,27,32.2,57000,1,4,0.1
3,RBF_I__s112__splice__moderate,27,32.38,57000,18,4,0.1
3,SEA_A__s112__concept__severe,27,53.26,57000,16,4,0.1
3,RBF_I__s112__concept__moderate,27,32.92,57000,18,4,0.1
3,SEA_A__s112__splice__severe,27,54.019999999999996,57000,22,4,0.1
3,SEA_A__s112__clean__none,27,54.16,57000,33,4,0.1
3,RBF_I__s112__splice__severe,27,30.82,57000,20,4,0.1
3,SEA_A__s112__instance__severe,27,54.16,57000,26,4,0.1
3,RBF_I__s112__instance__severe,27,29.78,57000,20,4,0.1
3,SEA_A__s112__instance__moderate,27,54.44,57000,26,4,0.1
3,SEA_A__s112__concept__moderate,27,54.36,57000,17,4,0.1
3,SEA_A__s112__splice__moderate,27,54.08,57000,33,4,0.1
3,RBF_I__s112__concept__severe,27,31.96,57000,18,4,0.1
