rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_baseline,host_accuracy_baseline,poison_admission_rate_baseline,clean_withhold_rate_baseline,resets_baseline,training_visits_baseline,seconds_baseline,malicious_recall_baseline,benign_fpr_baseline,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference,malicious_recall_difference,benign_fpr_difference
12000,11400,7600,0,0,0.1534223339986056,False,600,none,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,no_reset,adwin,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1534223339986056,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.15180616699217353,False,600,none,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,no_reset,adwin,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1534223339986056,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0016161670064320788,,
12000,13300,9500,2850,1,0.16146245900017675,False,600,confirmed,True,10450,0.8745454545454545,0.8614834935393795,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,adwin,0.01,5,4,complete,0.8644455039562979,0.8795215311004785,,0.45454545454545453,0,13300,0.16527987500012387,,,-0.002962010416918459,-0.004976076555023967,,-0.09090909090909088,1,0,-0.0038174159999471158,,
12000,13300,6650,0,0,0.16527987500012387,True,600,confirmed,True,10450,0.8795215311004785,0.8644455039562979,0,0,,10450,4750,0.45454545454545453,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,adwin,0.05,1,0,complete,0.8644455039562979,0.8795215311004785,,0.45454545454545453,0,13300,0.16527987500012387,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,1900,2,0.13224858400644735,False,600,rl,True,10450,0.8864114832535885,0.8729015939580664,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,adwin,0.05,1,0,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.13224858400644735,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,5700,950,1,0.1293362089927541,False,600,rl,True,10450,0.8916746411483254,0.8801696017385143,0,0,,10450,5700,0.5454545454545454,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,adwin,0.01,5,4,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.13224858400644735,,,0.007268007780447894,0.0052631578947368585,,0.18181818181818177,-1,0,-0.002912375013693236,,
12000,11400,6650,0,0,0.13470933299686294,False,600,rl,True,10450,0.8795215311004785,0.8644455039562979,0,0,,10450,4750,0.45454545454545453,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,selected_map,adwin,0.05,1,0,complete,0.8644455039562979,0.8795215311004785,,0.45454545454545453,0,11400,0.13470933299686294,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.13204545799817424,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,selected_map,adwin,0.01,5,4,complete,0.8644455039562979,0.8795215311004785,,0.45454545454545453,0,11400,0.13470933299686294,,,0.011719674654594892,0.00746411483253584,,-0.09090909090909088,0,0,-0.002663874998688698,,
12000,11400,7600,0,0,0.13451370800612494,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_7,adwin,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14028929200139828,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.005775583995273337,,
12000,11400,7600,0,0,0.13435504199878778,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_persistence_7,adwin,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.138344708000659,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.003989666001871228,,
12000,11400,7600,0,0,0.14028929200139828,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_7,adwin,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14028929200139828,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.138344708000659,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_persistence_7,adwin,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.138344708000659,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.14273374999174848,False,600,none,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,no_reset,hddm_w,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1484426670067478,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.005708917014999315,,
12000,11400,7600,0,0,0.1484426670067478,False,600,none,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,no_reset,hddm_w,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1484426670067478,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.15469062500051223,False,600,confirmed,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,hddm_w,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.16128641700197477,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0065957920014625415,,
12000,11400,7600,0,0,0.16128641700197477,False,600,confirmed,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,hddm_w,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.16128641700197477,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,5700,950,1,0.15175662499677856,False,600,rl,True,10450,0.8916746411483254,0.8801696017385143,0,0,,10450,5700,0.5454545454545454,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,hddm_w,0.01,5,4,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.15623875000164844,,,0.007268007780447894,0.0052631578947368585,,0.18181818181818177,-1,0,-0.004482125004869886,,
