dataset,category,mode,level,metric,mean,sd,defined,realizations
SEA,0,clean,none,accuracy,0.8997633993689647,0.0043405790653497,3,3
SEA,0,clean,none,macro_f1,0.8891380015673663,0.005090520173289,3,3
SEA,0,clean,none,macro_recall,0.8792103964574404,0.0057968711296831,3,3
SEA,0,clean,none,roc_auc,0.9292834096921356,0.0024878739590768,3,3
SEA,1,instance,moderate,accuracy,0.8990591564046708,0.0041620068687655,3,3
SEA,1,instance,moderate,macro_f1,0.888488692092063,0.0049440103019862,3,3
SEA,1,instance,moderate,macro_recall,0.8789403353716606,0.005761191939453,3,3
SEA,1,instance,moderate,roc_auc,0.9258156221156,0.0023327269246007,3,3
SEA,2,instance,severe,accuracy,0.8952597431077566,0.0027174207558173,3,3
SEA,2,instance,severe,macro_f1,0.8837993258675869,0.003168081233002,3,3
SEA,2,instance,severe,macro_recall,0.873082264354152,0.0034563695301924,3,3
SEA,2,instance,severe,roc_auc,0.9232144389564532,0.0004421049175118,3,3
SEA,3,concept,moderate,accuracy,0.8987440474761305,0.0024060738181321,3,3
SEA,3,concept,moderate,macro_f1,0.8880574911063457,0.0028356699502723,3,3
SEA,3,concept,moderate,macro_recall,0.8782622842438189,0.0032495684359772,3,3
SEA,3,concept,moderate,roc_auc,0.92662274985611,0.0005434919205866,3,3
SEA,4,concept,severe,accuracy,0.8986543796319163,0.0034267449886138,3,3
SEA,4,concept,severe,macro_f1,0.8880902465489928,0.0040807060190582,3,3
SEA,4,concept,severe,macro_recall,0.8786737826549135,0.0047885583277801,3,3
SEA,4,concept,severe,roc_auc,0.9252434420433436,0.0029453548578087,3,3
SEA,5,splice,moderate,accuracy,0.8989435861197729,0.0038158092530791,3,3
SEA,5,splice,moderate,macro_f1,0.8885372892616653,0.0045783602462002,3,3
SEA,5,splice,moderate,macro_recall,0.8794735265509518,0.0053895226476164,3,3
SEA,5,splice,moderate,roc_auc,0.9297525055547816,0.0006681303118785,3,3
SEA,6,splice,severe,accuracy,0.901138960802258,0.0025708085284731,3,3
SEA,6,splice,severe,macro_f1,0.891237780161803,0.002882022164927,3,3
SEA,6,splice,severe,macro_recall,0.8828802314058675,0.0030909520014276,3,3
SEA,6,splice,severe,roc_auc,0.9309324018419484,0.0005899705932464,3,3
