dataset,base_key,attack_seed,category,mode,level,run_id,common_host_rows,correct,accuracy,change_from_clean_pp,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,clean_withhold_rate,training_visits_per_100k,seconds_per_100k
SEA,SEA_A__base_s0,0,0,clean,none,SEA_A__base_s0__clean__none__anone__none__none__unguarded,97326,87130,0.8952386823664796,0.0,0.9006032721756307,0.8730765553628621,0.8837967729566432,,,,0.9265074986144193,0.9099139709018693,,0.0,95000.0,5.502122720051557
SEA,SEA_A__base_s0,0,1,instance,moderate,SEA_A__base_s0__instance__moderate__a0__none__none__unguarded,97326,87282,0.8968004438690587,0.15617615025790288,0.9010621563845694,0.8757927216489221,0.8858197643860454,,,,0.9242267233420263,0.9082794585892118,1.0,0.0,95000.0,5.5954596400260925
SEA,SEA_A__base_s0,0,2,instance,severe,SEA_A__base_s0__instance__severe__a0__none__none__unguarded,97326,86867,0.8925364239771489,-0.2702258389330692,0.8982754112011803,0.8695732950556767,0.8806220306427555,,,,0.9230776114056547,0.9071522575586203,1.0,0.0,95000.0,5.507111079990864
SEA,SEA_A__base_s0,0,3,concept,moderate,SEA_A__base_s0__concept__moderate__a0__none__none__unguarded,97326,87263,0.8966052236812363,0.1366541314756664,0.900696230372924,0.8756961495622849,0.8856351997915504,,,,0.9262360879505606,0.9108061265794777,1.0,0.0,95000.0,5.591433519963175
SEA,SEA_A__base_s0,0,4,concept,severe,SEA_A__base_s0__concept__severe__a0__none__none__unguarded,97326,87100,0.8949304399646548,-0.030824240182480978,0.8994155787492045,0.8733894353422766,0.8836389578747805,,,,0.9218507279881263,0.9041446926419188,1.0,0.0,95000.0,5.485102120041847
SEA,SEA_A__base_s0,0,5,splice,moderate,SEA_A__base_s0__splice__moderate__a0__none__none__unguarded,97326,87809,0.9022152353944475,0.6976553027967847,0.9044068870914337,0.8839445235184613,0.8924132034498408,,,,0.9301676661367049,0.9127339373900849,1.0,0.0,95000.0,5.610813040006906
SEA,SEA_A__base_s0,0,6,splice,severe,SEA_A__base_s0__splice__severe__a0__none__none__unguarded,97326,87416,0.8981772599305428,0.29385775640631273,0.9000989050058623,0.8793777425441647,0.8879099452125339,,,,0.9303509066058994,0.9147891196983979,1.0,0.0,95000.0,5.296107279974967
SEA,SEA_A__base_s1,1,0,clean,none,SEA_A__base_s1__clean__none__anone__none__none__unguarded,98286,88473,0.9001587204688358,0.0,0.9042047303322706,0.8799566037600561,0.8896833268734019,,,,0.9300308536364765,0.9100664070182298,,0.0,95000.0,5.475294120050966
SEA,SEA_A__base_s1,1,1,instance,moderate,SEA_A__base_s1__instance__moderate__a1__none__none__unguarded,98286,88837,0.9038621980750056,0.3703477606169736,0.9064128890615044,0.8855896450113308,0.8941936086151263,,,,0.9284937289607003,0.910124413052276,1.0,0.0,95000.0,5.35034039998427
SEA,SEA_A__base_s1,1,2,instance,severe,SEA_A__base_s1__instance__severe__a1__none__none__unguarded,98286,88258,0.897971226827829,-0.2187493641006788,0.9031302777903157,0.8764835158891422,0.8869581120056103,,,,0.9237087816274383,0.9042522590895382,1.0,0.0,95000.0,5.372202600073069
SEA,SEA_A__base_s1,1,3,concept,moderate,SEA_A__base_s1__concept__moderate__a1__none__none__unguarded,98286,88590,0.9013491239851047,0.11904035162688675,0.904723356469662,0.8819161973444932,0.8911766206883553,,,,0.9272441612871136,0.9084220130304446,1.0,0.0,95000.0,5.441697319969535
SEA,SEA_A__base_s1,1,4,concept,severe,SEA_A__base_s1__concept__severe__a1__none__none__unguarded,98286,88622,0.9016747044339988,0.1515983965162948,0.904540507388668,0.8827255824915092,0.8916544286958377,,,,0.9271453075697185,0.9097776603085137,1.0,0.0,95000.0,5.525542240031064
SEA,SEA_A__base_s1,1,5,splice,moderate,SEA_A__base_s1__splice__moderate__a1__none__none__unguarded,98286,88444,0.8998636631870256,-0.029505728181022928,0.9022415585437473,0.880986973779869,0.8897129071945221,,,,0.9301080676810325,0.9143971639851498,1.0,0.0,95000.0,5.5760684400796885
SEA,SEA_A__base_s1,1,6,splice,severe,SEA_A__base_s1__splice__severe__a1__none__none__unguarded,98286,88732,0.902793887227072,0.26351667582361626,0.9056809030595598,0.884036990256267,0.8929153969775858,,,,0.9315304974203286,0.9158009923377259,1.0,0.0,95000.0,5.490617279987782
SEA,SEA_A__base_s2,2,0,clean,none,SEA_A__base_s2__clean__none__anone__none__none__unguarded,98130,88699,0.9038927952715785,0.0,0.9075478868851521,0.8845980302494028,0.8939339048720542,,,,0.9313118768255112,0.9158604760919452,,0.0,95000.0,5.381733679957688
SEA,SEA_A__base_s2,2,1,instance,moderate,SEA_A__base_s2__instance__moderate__a2__none__none__unguarded,98130,87975,0.896514827269948,-0.7377968001630486,0.9006428057141639,0.8754386394547289,0.8854527032750178,,,,0.9247264140440739,0.9084235734719781,1.0,0.0,95000.0,5.555888879951089
SEA,SEA_A__base_s2,2,2,instance,severe,SEA_A__base_s2__instance__severe__a2__none__none__unguarded,98130,87853,0.8952715785182921,-0.862121675328642,0.900378803362526,0.8731899821176374,0.8838178349543953,,,,0.9228569238362665,0.907526259952561,1.0,0.0,95000.0,5.473619920015335
SEA,SEA_A__base_s2,2,3,concept,moderate,SEA_A__base_s2__concept__moderate__a2__none__none__unguarded,98130,88148,0.8982777947620504,-0.5615000509528123,0.9028664645323916,0.8771745058246785,0.8873606528391316,,,,0.9263880003306559,0.9114075077190349,1.0,0.0,95000.0,5.373872399982066
SEA,SEA_A__base_s2,2,4,concept,severe,SEA_A__base_s2__concept__severe__a2__none__none__unguarded,98130,88254,0.8993579944970956,-0.4534800774482872,0.9021662946928456,0.8799063301309547,0.8889773530763603,,,,0.9267342905721863,0.9084401242173109,1.0,0.0,95000.0,5.476596039999277
SEA,SEA_A__base_s2,2,5,splice,moderate,SEA_A__base_s2__splice__moderate__a2__none__none__unguarded,98130,87802,0.8947518597778457,-0.9140935493732849,0.898689163237349,0.873489082354525,0.8834857571406333,,,,0.9289817828466076,0.9095564226080977,1.0,0.0,95000.0,5.493588080070913
SEA,SEA_A__base_s2,2,6,splice,severe,SEA_A__base_s2__splice__severe__a2__none__none__unguarded,98130,88557,0.9024457352491593,-0.14470600224192331,0.9033792967141815,0.8852259614171708,0.8928879982952895,,,,0.9309158014996175,0.9149273321566771,1.0,0.0,95000.0,5.553568959981203
RBF,RBF_I__base_s0,0,0,clean,none,RBF_I__base_s0__clean__none__anone__none__none__unguarded,147079,105109,0.7146431509596883,0.0,0.7162079675826518,0.7148225957365956,0.7150112170465691,,,,0.8881964622593596,0.7735138827491859,,0.0,95000.0,18.075120520032943
RBF,RBF_I__base_s0,0,1,instance,moderate,RBF_I__base_s0__instance__moderate__a0__none__none__unguarded,147079,99597,0.6771666927297575,-3.7476458229930842,0.6812028090897926,0.6766331052057556,0.6776752913287643,,,,0.8644369537577024,0.7227630299550727,1.0,0.0,95000.0,17.935542280040682
RBF,RBF_I__base_s0,0,2,instance,severe,RBF_I__base_s0__instance__severe__a0__none__none__unguarded,147079,96954,0.6591967582047743,-5.544639275491403,0.666889350558088,0.6589119783493942,0.6601768973482826,,,,0.8523511291680272,0.6933388515820085,1.0,0.0,95000.0,18.16852591997013
RBF,RBF_I__base_s0,0,3,concept,moderate,RBF_I__base_s0__concept__moderate__a0__none__none__unguarded,147079,99642,0.6774726507523168,-3.717050020737156,0.6783262852268614,0.6770412660997491,0.6772451665376553,,,,0.8684418191741481,0.7363281055782538,1.0,0.0,95000.0,18.345695760007946
RBF,RBF_I__base_s0,0,4,concept,severe,RBF_I__base_s0__concept__severe__a0__none__none__unguarded,147079,99627,0.677370664744797,-3.727248621489132,0.679349046908806,0.6769286592197954,0.6767958582417546,,,,0.8660544884203558,0.7277093076848515,1.0,0.0,95000.0,17.98732479996979
RBF,RBF_I__base_s0,0,5,splice,moderate,RBF_I__base_s0__splice__moderate__a0__none__none__unguarded,147079,101505,0.690139312886272,-2.4503838073416384,0.6911055745193275,0.6903443439517898,0.6902144375649679,,,,0.8733307438419439,0.7403345437184554,1.0,0.0,95000.0,18.019212479982524
RBF,RBF_I__base_s0,0,6,splice,severe,RBF_I__base_s0__splice__severe__a0__none__none__unguarded,147079,100968,0.6864882138170643,-2.815493714262407,0.6878638966123276,0.6864553013339014,0.6866025099316805,,,,0.8737203081114837,0.7349604405974469,1.0,0.0,95000.0,18.62661832002923
RBF,RBF_I__base_s1,1,0,clean,none,RBF_I__base_s1__clean__none__anone__none__none__unguarded,147293,102816,0.6980372454902812,0.0,0.696860433513754,0.6947988420371817,0.6956281873470127,,,,0.8751122336469349,0.7527956149674923,,0.0,95000.0,18.01912388000637
RBF,RBF_I__base_s1,1,1,instance,moderate,RBF_I__base_s1__instance__moderate__a1__none__none__unguarded,147293,98567,0.6691899818728656,-2.884726361741563,0.6728841131943203,0.6642828566777785,0.6652222015624181,,,,0.8583749214100916,0.714744285307457,1.0,0.0,95000.0,17.79328779997304
RBF,RBF_I__base_s1,1,2,instance,severe,RBF_I__base_s1__instance__severe__a1__none__none__unguarded,147293,97501,0.6619527065101533,-3.608453898012798,0.6772551226807777,0.6555804439147533,0.6576630586377863,,,,0.854176722656235,0.701707050852921,1.0,0.0,95000.0,17.88615199998021
RBF,RBF_I__base_s1,1,3,concept,moderate,RBF_I__base_s1__concept__moderate__a1__none__none__unguarded,147293,100861,0.6847643811993781,-1.327286429090313,0.6832756038687011,0.6824148556679396,0.6818269916075017,,,,0.8700903741034118,0.7401162632950222,1.0,0.0,95000.0,17.83180539999157
RBF,RBF_I__base_s1,1,4,concept,severe,RBF_I__base_s1__concept__severe__a1__none__none__unguarded,147293,99434,0.6750762086453531,-2.2961036844928118,0.6729884930521838,0.6697687865701349,0.670554205902181,,,,0.8650310873219118,0.7264123337262339,1.0,0.0,95000.0,18.042733679991212
RBF,RBF_I__base_s1,1,5,splice,moderate,RBF_I__base_s1__splice__moderate__a1__none__none__unguarded,147293,101041,0.6859864352005866,-1.205081028969468,0.6850364782833274,0.6828620350427015,0.6838408974933282,,,,0.8722104772238288,0.7453958113891923,1.0,0.0,95000.0,19.4546141599305
RBF,RBF_I__base_s1,1,6,splice,severe,RBF_I__base_s1__splice__severe__a1__none__none__unguarded,147293,102203,0.6938754726972769,-0.4161772793004337,0.6965658542677471,0.6908526669244788,0.6933874237384633,,,,0.8780372934746199,0.7547618196576125,1.0,0.0,95000.0,18.640323599986733
RBF,RBF_I__base_s2,2,0,clean,none,RBF_I__base_s2__clean__none__anone__none__none__unguarded,146713,94643,0.6450893922147322,0.0,0.643958475745222,0.6449079257244633,0.6443542984925238,,,,0.8456694583020157,0.6931242792089382,,0.0,95000.0,18.19439072003588
RBF,RBF_I__base_s2,2,1,instance,moderate,RBF_I__base_s2__instance__moderate__a2__none__none__unguarded,146713,95122,0.6483542699010995,0.32648776863672957,0.6481967265540483,0.6480858616528269,0.6478727382730372,,,,0.8419628972693628,0.6895247198619148,1.0,0.0,95000.0,17.822537080012264
RBF,RBF_I__base_s2,2,2,instance,severe,RBF_I__base_s2__instance__severe__a2__none__none__unguarded,146713,92672,0.6316549998977595,-1.3434392316972632,0.6311395381681902,0.6314879513015961,0.6303839617490697,,,,0.8277902986246887,0.6636712567136531,1.0,0.0,95000.0,18.00990172000602
RBF,RBF_I__base_s2,2,3,concept,moderate,RBF_I__base_s2__concept__moderate__a2__none__none__unguarded,146713,95784,0.6528664808162876,0.777708860155546,0.651658864045433,0.6533230685699452,0.6522717503445434,,,,0.8513780450971802,0.7122617701443174,1.0,0.0,95000.0,18.59439091999084
RBF,RBF_I__base_s2,2,4,concept,severe,RBF_I__base_s2__concept__severe__a2__none__none__unguarded,146713,98804,0.6734508871061188,2.836149489138662,0.6726640129049286,0.6715578452766734,0.6715174989578122,,,,0.8615516694216044,0.7231795318130448,1.0,0.0,95000.0,18.653448079992085
RBF,RBF_I__base_s2,2,5,splice,moderate,RBF_I__base_s2__splice__moderate__a2__none__none__unguarded,146713,95309,0.6496288672442115,0.45394750294793784,0.6496207774628933,0.6491948947212669,0.6485955127929155,,,,0.851284076601794,0.7030604270333571,1.0,0.0,95000.0,18.749362639989705
RBF,RBF_I__base_s2,2,6,splice,severe,RBF_I__base_s2__splice__severe__a2__none__none__unguarded,146713,100642,0.68597874762291,4.0889355408177845,0.685365818388852,0.6857265341363241,0.6850516056293453,,,,0.8683426870421713,0.735944507796255,1.0,0.0,95000.0,19.00430371994153
RADAR,radar,0,0,clean,none,radar__clean__none__anone__none__none__unguarded,186302,130933,0.702799755236122,0.0,0.5701779899349227,0.5340568366837255,0.5454880591420612,0.8897089541846539,0.9177062040771228,0.10747726964309948,0.9337119970549014,0.8999001832890576,,0.0,94999.92779828075,71.09325980449763
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0__none__none__unguarded,186302,123640,0.6636536376421079,-3.9146117594014096,0.5315207065339275,0.45386706143491184,0.47863201670605676,0.8760039683078972,0.7122147947627203,0.09524306606678706,0.7739545369661586,0.7746606650937834,1.0,0.0,94999.92779828075,68.99481139878473
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0__none__none__unguarded,186302,115568,0.6203261371321832,-8.247361810393883,0.49571566629063346,0.34753491495332217,0.38860820350828473,0.8877205797547192,0.510259101707088,0.060972681816758356,0.7737691331516405,0.7874204149787241,1.0,0.0,94999.92779828075,67.13845368673154
