dataset,category,mode,level,series,metric,mean,sd,defined,runs
RADAR,0,clean,none,adwin,alarm_rate,0.7004132231404959,,1,1
RADAR,0,clean,none,adwin,detection_delay,,,0,1
RADAR,0,clean,none,adwin,event_recall,,,0,1
RADAR,0,clean,none,adwin,poison_alarm_rate,,,0,1
RADAR,0,clean,none,adwin,seconds_per_100k,0.09478299254154815,,1,1
RADAR,0,clean,none,adwin,unexposed_alarm_rate,0.7004132231404959,,1,1
RADAR,0,clean,none,d3_oof,alarm_rate,0.024793388429752067,,1,1
RADAR,0,clean,none,d3_oof,detection_delay,,,0,1
RADAR,0,clean,none,d3_oof,event_recall,,,0,1
RADAR,0,clean,none,d3_oof,poison_alarm_rate,,,0,1
RADAR,0,clean,none,d3_oof,seconds_per_100k,17.33352397986113,,1,1
RADAR,0,clean,none,d3_oof,unexposed_alarm_rate,0.024793388429752067,,1,1
RADAR,0,clean,none,hddm_w,alarm_rate,0.5702479338842975,,1,1
RADAR,0,clean,none,hddm_w,detection_delay,,,0,1
RADAR,0,clean,none,hddm_w,event_recall,,,0,1
RADAR,0,clean,none,hddm_w,poison_alarm_rate,,,0,1
RADAR,0,clean,none,hddm_w,seconds_per_100k,1.5777768887569774,,1,1
RADAR,0,clean,none,hddm_w,unexposed_alarm_rate,0.5702479338842975,,1,1
RADAR,0,clean,none,hellinger,alarm_rate,0.06198347107438017,,1,1
RADAR,0,clean,none,hellinger,detection_delay,,,0,1
RADAR,0,clean,none,hellinger,event_recall,,,0,1
RADAR,0,clean,none,hellinger,poison_alarm_rate,,,0,1
RADAR,0,clean,none,hellinger,seconds_per_100k,0.4073064844860859,,1,1
RADAR,0,clean,none,hellinger,unexposed_alarm_rate,0.06198347107438017,,1,1
RADAR,1,instance,moderate,adwin,alarm_rate,0.6659779614325069,0.02170241219915804,3,3
RADAR,1,instance,moderate,adwin,detection_delay,,,0,3
RADAR,1,instance,moderate,adwin,event_recall,,,0,3
RADAR,1,instance,moderate,adwin,poison_alarm_rate,0.6659779614325069,0.02170241219915804,3,3
RADAR,1,instance,moderate,adwin,seconds_per_100k,0.13103793757795093,0.0229386245824394,3,3
RADAR,1,instance,moderate,adwin,unexposed_alarm_rate,,,0,3
RADAR,1,instance,moderate,d3_oof,alarm_rate,0.024793388429752067,0.0,3,3
RADAR,1,instance,moderate,d3_oof,detection_delay,,,0,3
RADAR,1,instance,moderate,d3_oof,event_recall,,,0,3
RADAR,1,instance,moderate,d3_oof,poison_alarm_rate,0.024793388429752067,0.0,3,3
RADAR,1,instance,moderate,d3_oof,seconds_per_100k,17.003566620645845,0.1768017471101575,3,3
RADAR,1,instance,moderate,d3_oof,unexposed_alarm_rate,,,0,3
RADAR,1,instance,moderate,hddm_w,alarm_rate,0.5750688705234159,0.016048457572632284,3,3
