condition,dataset,base_key,attack_seed,mode,level,series,category,source_run,rows,audit_rows,policy,learner_resets,events_path,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k
radar__clean__none__anone,RADAR,radar,,clean,none,adwin,0,radar__clean__none__anone__none__none__unguarded,484753,24238,none,0,runs/RADAR/clean/none/radar__clean__none__anone/adwin/alarms.parquet,0.7004132231404959,339,484,0,0,,484,339,0.7004132231404959,,,,,0.09478299254154815
radar__clean__none__anone,RADAR,radar,,clean,none,d3_oof,0,radar__clean__none__anone__none__none__unguarded,484753,24238,none,0,runs/RADAR/clean/none/radar__clean__none__anone/d3_oof/alarms.parquet,0.024793388429752067,12,484,0,0,,484,12,0.024793388429752067,,,,,17.33352397986113
radar__clean__none__anone,RADAR,radar,,clean,none,hddm_w,0,radar__clean__none__anone__none__none__unguarded,484753,24238,none,0,runs/RADAR/clean/none/radar__clean__none__anone/hddm_w/alarms.parquet,0.5702479338842975,276,484,0,0,,484,276,0.5702479338842975,,,,,1.5777768887569774
radar__clean__none__anone,RADAR,radar,,clean,none,hellinger,0,radar__clean__none__anone__none__none__unguarded,484753,24238,none,0,runs/RADAR/clean/none/radar__clean__none__anone/hellinger/alarms.parquet,0.06198347107438017,30,484,0,0,,484,30,0.06198347107438017,,,,,0.4073064844860859
radar__instance__moderate__a0,RADAR,radar,0.0,instance,moderate,adwin,1,radar__instance__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a0/adwin/alarms.parquet,0.6446280991735537,312,484,484,312,0.6446280991735537,0,0,,,,,,0.10794433467216855
radar__instance__moderate__a0,RADAR,radar,0.0,instance,moderate,d3_oof,1,radar__instance__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a0/d3_oof/alarms.parquet,0.024793388429752067,12,484,484,12,0.024793388429752067,0,0,,,,,,16.802564997305993
radar__instance__moderate__a0,RADAR,radar,0.0,instance,moderate,hddm_w,1,radar__instance__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a0/hddm_w/alarms.parquet,0.5619834710743802,272,484,484,272,0.5619834710743802,0,0,,,,,,0.9729700072597486
radar__instance__moderate__a0,RADAR,radar,0.0,instance,moderate,hellinger,1,radar__instance__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a0/hellinger/alarms.parquet,0.06198347107438017,30,484,484,30,0.06198347107438017,0,0,,,,,,0.3855843485463667
radar__instance__moderate__a1,RADAR,radar,1.0,instance,moderate,adwin,1,radar__instance__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a1/adwin/alarms.parquet,0.6652892561983471,322,484,484,322,0.6652892561983471,0,0,,,,,,0.13135110086875845
radar__instance__moderate__a1,RADAR,radar,1.0,instance,moderate,d3_oof,1,radar__instance__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a1/d3_oof/alarms.parquet,0.024793388429752067,12,484,484,12,0.024793388429752067,0,0,,,,,,17.135012841381773
radar__instance__moderate__a1,RADAR,radar,1.0,instance,moderate,hddm_w,1,radar__instance__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/moderate/radar__instance__moderate__a1/hddm_w/alarms.parquet,0.5702479338842975,276,484,484,276,0.5702479338842975,0,0,,,,,,1.2081724297683614
