dataset,series,category,mode,level,profile,metric,mean,sd,defined,realizations
RADAR,adwin,0,clean,none,confirmed_screened,accuracy,0.6641424481459774,0.0013397772899078,3,3
RADAR,adwin,0,clean,none,confirmed_screened,macro_f1,0.5377433255988713,0.0122432933192603,3,3
RADAR,adwin,0,clean,none,confirmed_screened,macro_recall,0.5255775071678679,0.0112445786533006,3,3
RADAR,adwin,0,clean,none,confirmed_screened,roc_auc,0.8650663673149249,0.0011176076749522,3,3
RADAR,adwin,0,clean,none,confirmed_unscreened,accuracy,0.7063924767784447,0.0059567267739885,3,3
RADAR,adwin,0,clean,none,confirmed_unscreened,macro_f1,0.5979949811496323,0.0075186930298301,3,3
RADAR,adwin,0,clean,none,confirmed_unscreened,macro_recall,0.5834048260365993,0.0095767614119391,3,3
RADAR,adwin,0,clean,none,confirmed_unscreened,roc_auc,0.8671138319609154,0.0080141932773878,3,3
RADAR,adwin,0,clean,none,immediate_screened,accuracy,0.5944609416072844,0.0061096177135741,3,3
RADAR,adwin,0,clean,none,immediate_screened,macro_f1,0.4809610539189368,0.0060246732522105,3,3
RADAR,adwin,0,clean,none,immediate_screened,macro_recall,0.4779036084703019,0.003929585596828,3,3
RADAR,adwin,0,clean,none,immediate_screened,roc_auc,0.7543229550650818,0.0116452847916311,3,3
RADAR,adwin,0,clean,none,immediate_unscreened,accuracy,0.7018382764994245,0.001794445132964,3,3
RADAR,adwin,0,clean,none,immediate_unscreened,macro_f1,0.668814397802557,0.0086641143572805,3,3
RADAR,adwin,0,clean,none,immediate_unscreened,macro_recall,0.6877867336825222,0.0097997535035535,3,3
RADAR,adwin,0,clean,none,immediate_unscreened,roc_auc,0.803791177214701,0.0033147280519696,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,accuracy,0.6340180373702817,0.0056273988904156,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,macro_f1,0.481328365590389,0.0086121987646594,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,macro_recall,0.4615400641033651,0.0110777001690501,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,roc_auc,0.809075994600103,0.0285615959362658,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,accuracy,0.6657365689232376,0.0083960164445854,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,macro_f1,0.5405778603370761,0.0212739408425422,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,macro_recall,0.5180857941172184,0.0203468194860636,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,roc_auc,0.8139874582001972,0.0093301991580281,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,accuracy,0.6242075276818552,0.006955966668611,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,macro_f1,0.50811595820837,0.002641810487152,3,3
