dataset,base_key,attack_seed,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,radar,0,0,adwin,confirmed,-3.739090294253411,-5.862561341797634,-5.4254734418509365,0.006232483921737586,,14.676922742158341,-1.650325010881831,16.57048523683669
RADAR,radar,0,0,adwin,immediate,-10.51625854794903,-19.111525119280326,-21.683831407091485,-0.03340284281377637,,36.38223102281505,-28.46810643771158,3.414922898882864
RADAR,radar,0,0,d3_oof,confirmed,-2.6274543483161827,-4.410917137133263,-4.036682336973707,-0.006269010573863754,,12.60975052495294,-0.6188718790806869,25.917570164587246
RADAR,radar,0,0,d3_oof,immediate,-3.564105591995792,-9.994365626001128,-11.703292358304262,6.319022006917585e-05,,17.364246624525357,-1.2377437581613733,27.713378070902444
RADAR,radar,0,0,hddm_w,confirmed,-3.936619037906197,-7.813036904884029,-7.79503073797817,0.0008367490267625621,,15.297074407319961,-1.8566156372420606,16.444203728480602
RADAR,radar,0,0,hddm_w,immediate,-5.493231419952549,-15.548860049574852,-18.587330052475394,0.024866174828050647,,35.55536213593289,-35.688278360319586,6.02068890755222
RADAR,radar,0,0,hellinger,confirmed,-2.9618576290109666,-7.225267141492436,-9.080122641897997,-0.00517889554168538,,14.470205520437801,-1.4440343845216022,31.036304715999094
RADAR,radar,0,0,hellinger,immediate,-5.3568936458008976,-14.454150698730894,-16.08193619634775,0.018282851484164753,,22.32545994581833,-4.538393779925033,50.277206556746805
RADAR,radar,0,0,none,none,-4.452984938433302,-6.477024258594488,-5.144171715107154,-0.01929219583371744,,7.441819981939441,0.0,106.93428653353816
RADAR,radar,0,1,adwin,confirmed,-2.9618576290109555,-6.264756878518629,-5.665839991919536,-0.007392585225833526,-17.394957983193283,17.35881908614884,-1.8566156372420597,19.215903150662783
RADAR,radar,0,1,adwin,immediate,-10.581206857682691,-17.353455625742995,-18.1894313412226,-0.03081586456249119,-31.454650825847587,31.41507380711569,-23.104550152345624,5.998445682613728
RADAR,radar,0,1,d3_oof,confirmed,-0.40686627089350225,-3.441131893880933,-1.6049564400019256,0.04029207280352409,-14.213271515502758,14.272362979938292,0.41258125272045754,42.11213407651087
RADAR,radar,0,1,d3_oof,immediate,0.0,-4.62870613422966,-5.25201951780852,0.007301140165738018,-17.31816864676905,17.37238986544444,-0.6188718790806864,23.071522899246318
RADAR,radar,0,1,hddm_w,confirmed,0.33816062092731913,-2.0208933733710244,-2.197911650699602,0.025111482686537956,-14.321935670820052,14.253159046972819,-1.6503250108818301,18.231950498555705
RADAR,radar,0,1,hddm_w,immediate,-9.699842191710228,-19.331516899328484,-20.87387859955826,-0.020363104644947727,-29.4943494639235,29.57226439974907,-29.705850195872948,12.27202432996237
RADAR,radar,0,1,hellinger,confirmed,0.25657266159246905,-2.425265963768436,-1.0199331626965347,0.0327282150758712,-13.28600405679513,13.21998745343046,-0.6188718790806864,26.03722328692507
RADAR,radar,0,1,hellinger,immediate,-3.282841837446726,-10.585007613923342,-11.47604724479434,0.05099977258240429,-18.270066647348592,18.420412500480097,-4.538393779925033,42.84159681324534
RADAR,radar,0,1,none,none,2.026279911112072,2.2792822428836015,3.6093885782637503,0.07306023865285438,-7.557229788467124,7.664673725178909,0.0,201.90777138048247
RADAR,radar,0,2,adwin,confirmed,-4.0139128941181434,-7.638378317427175,-7.756831939619346,-0.03815743784864978,-16.663483906808796,16.77106292524414,-1.4440343845216024,12.975481802053949
RADAR,radar,0,2,adwin,immediate,-10.553295187383927,-17.4270271226547,-16.9338674370932,-0.03848452197129815,-30.980695114752965,31.016578532412208,-21.04164388874334,4.310903243512399
RADAR,radar,0,2,d3_oof,confirmed,-2.488432759712722,-6.245873850555372,-5.367632459499777,0.011000465872540222,-15.482969341342312,15.51075760611683,-0.6188718790806869,39.894376125592885
