dataset,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,0,clean,none,confirmed,accuracy,0.6641424481459774,0.0013397772899078131,3,3
RADAR,0,clean,none,confirmed,clean_withhold_rate,0.1467692274215834,0.0,3,3
RADAR,0,clean,none,confirmed,macro_f1,0.5377433255988713,0.012243293319260346,3,3
RADAR,0,clean,none,confirmed,macro_recall,0.5255775071678679,0.011244578653300663,3,3
RADAR,0,clean,none,confirmed,poison_admission_rate,,,0,3
RADAR,0,clean,none,confirmed,resets_per_100k,6.80759066988755,0.0,3,3
RADAR,0,clean,none,confirmed,roc_auc,0.8650663673149249,0.0011176076749522443,3,3
RADAR,0,clean,none,confirmed,seconds_per_100k,65.297160409542,0.0,3,3
RADAR,0,clean,none,immediate,accuracy,0.5944609416072844,0.0061096177135741255,3,3
RADAR,0,clean,none,immediate,clean_withhold_rate,0.3638223102281504,0.0,3,3
RADAR,0,clean,none,immediate,macro_f1,0.48096105391893684,0.006024673252210534,3,3
RADAR,0,clean,none,immediate,macro_recall,0.47790360847030194,0.003929585596827987,3,3
RADAR,0,clean,none,immediate,poison_admission_rate,,,0,3
RADAR,0,clean,none,immediate,resets_per_100k,21.660515767824027,0.0,3,3
RADAR,0,clean,none,immediate,roc_auc,0.7543229550650818,0.011645284791631145,3,3
RADAR,0,clean,none,immediate,seconds_per_100k,37.3671877636694,0.0,3,3
RADAR,0,clean,none,none,accuracy,0.6541539280413301,0.008639012824034066,3,3
RADAR,0,clean,none,none,clean_withhold_rate,0.0744181998193944,0.0,3,3
RADAR,0,clean,none,none,macro_f1,0.4741153286076727,0.007363129222204727,3,3
RADAR,0,clean,none,none,macro_recall,0.4799384254540194,0.0031605945474796077,3,3
RADAR,0,clean,none,none,poison_admission_rate,,,0,3
RADAR,0,clean,none,none,resets_per_100k,0.0,0.0,3,3
RADAR,0,clean,none,none,roc_auc,0.9166145796794986,0.008219695677407034,3,3
RADAR,0,clean,none,none,seconds_per_100k,178.0275463380358,0.0,3,3
RADAR,0,clean,none,rl,accuracy,0.6219072287311472,0.0029200487928657767,3,3
RADAR,0,clean,none,rl,clean_withhold_rate,0.37071288428550186,0.0,3,3
RADAR,0,clean,none,rl,macro_f1,0.5080759370725229,0.004781540842007097,3,3
RADAR,0,clean,none,rl,macro_recall,0.50446229728389,0.004866438535546521,3,3
RADAR,0,clean,none,rl,poison_admission_rate,,,0,3
RADAR,0,clean,none,rl,resets_per_100k,30.324722074953637,0.0,3,3
RADAR,0,clean,none,rl,roc_auc,0.7581516760394224,0.007501647331427363,3,3
RADAR,0,clean,none,rl,seconds_per_100k,44.067843458427426,0.0,3,3
RADAR,0,clean,none,rl_alarm,accuracy,0.6078365588647147,0.0043076542154533515,3,3
RADAR,0,clean,none,rl_alarm,clean_withhold_rate,0.30456337333492906,0.0,3,3
RADAR,0,clean,none,rl_alarm,macro_f1,0.4761746925811447,0.002967910192091333,3,3
RADAR,0,clean,none,rl_alarm,macro_recall,0.4689112976689967,0.0012963848009982224,3,3
RADAR,0,clean,none,rl_alarm,poison_admission_rate,,,0,3
RADAR,0,clean,none,rl_alarm,resets_per_100k,38.64511067148286,0.0,3,3
RADAR,0,clean,none,rl_alarm,roc_auc,0.7591085183568155,0.0039328167102573456,3,3
RADAR,0,clean,none,rl_alarm,seconds_per_100k,115.31097409057429,0.0,3,3
RADAR,1,instance,moderate,confirmed,accuracy,0.6340180373702817,0.005627398890415674,3,3
RADAR,1,instance,moderate,confirmed,clean_withhold_rate,0.15780354744135466,0.019475312035503282,3,3
RADAR,1,instance,moderate,confirmed,macro_f1,0.48132836559038905,0.008612198764659499,3,3
RADAR,1,instance,moderate,confirmed,macro_recall,0.4615400641033651,0.011077700169050197,3,3
RADAR,1,instance,moderate,confirmed,poison_admission_rate,0.8422567218696827,0.01781891285266105,3,3
RADAR,1,instance,moderate,confirmed,resets_per_100k,7.426462548968238,0.8991999933039456,3,3
RADAR,1,instance,moderate,confirmed,roc_auc,0.809075994600103,0.028561595936265897,3,3
RADAR,1,instance,moderate,confirmed,seconds_per_100k,83.4950405051781,2.0475309891323343,3,3
RADAR,1,instance,moderate,immediate,accuracy,0.6242075276818552,0.006955966668611069,3,3
RADAR,1,instance,moderate,immediate,clean_withhold_rate,0.32128675670588847,0.009262173961157813,3,3
RADAR,1,instance,moderate,immediate,macro_f1,0.50811595820837,0.0026418104871520896,3,3
RADAR,1,instance,moderate,immediate,macro_recall,0.5014307426034393,0.0051401127424701935,3,3
RADAR,1,instance,moderate,immediate,poison_admission_rate,0.6799468688692513,0.0052782431583039005,3,3
RADAR,1,instance,moderate,immediate,resets_per_100k,25.44251058442822,0.7810037064649807,3,3
RADAR,1,instance,moderate,immediate,roc_auc,0.8087591152508745,0.003938874000284075,3,3
RADAR,1,instance,moderate,immediate,seconds_per_100k,51.40975049148292,0.35719792114638327,3,3
RADAR,1,instance,moderate,none,accuracy,0.647302252156101,0.03173548305145332,3,3
RADAR,1,instance,moderate,none,clean_withhold_rate,0.0904339554965331,0.01458040153699592,3,3
RADAR,1,instance,moderate,none,macro_f1,0.4483436844076094,0.048636568485588595,3,3
RADAR,1,instance,moderate,none,macro_recall,0.43970009540931326,0.05034514249589015,3,3
RADAR,1,instance,moderate,none,poison_admission_rate,0.9106796100531938,0.014184007153443087,3,3
RADAR,1,instance,moderate,none,resets_per_100k,0.0,0.0,3,3
RADAR,1,instance,moderate,none,roc_auc,0.8228733960916704,0.03042757223256019,3,3
RADAR,1,instance,moderate,none,seconds_per_100k,243.02164714127002,24.514729637251488,3,3
RADAR,1,instance,moderate,rl,accuracy,0.6424751824061261,0.0008768632028410214,3,3
RADAR,1,instance,moderate,rl,clean_withhold_rate,0.3202612438193119,0.007856417932088213,3,3
RADAR,1,instance,moderate,rl,macro_f1,0.510956279732941,0.0061323363614313895,3,3
RADAR,1,instance,moderate,rl,macro_recall,0.4982744200867872,0.009837712810897337,3,3
RADAR,1,instance,moderate,rl,poison_admission_rate,0.6802637740388792,0.00902390224049608,3,3
RADAR,1,instance,moderate,rl,resets_per_100k,32.84605195268977,2.0039981868790795,3,3
RADAR,1,instance,moderate,rl,roc_auc,0.8123195010566256,0.007745181588500101,3,3
RADAR,1,instance,moderate,rl,seconds_per_100k,59.12284426409968,0.5785238737546102,3,3
RADAR,1,instance,moderate,rl_alarm,accuracy,0.6259044904976119,0.007731799516864758,3,3
RADAR,1,instance,moderate,rl_alarm,clean_withhold_rate,0.30550636241656054,0.013846994316621522,3,3
RADAR,1,instance,moderate,rl_alarm,macro_f1,0.48516247102542986,0.017036449700424346,3,3
RADAR,1,instance,moderate,rl_alarm,macro_recall,0.4759156803939235,0.01569687963098882,3,3
RADAR,1,instance,moderate,rl_alarm,poison_admission_rate,0.696181210794618,0.0121108298255947,3,3
RADAR,1,instance,moderate,rl_alarm,resets_per_100k,39.10353428561671,0.9157004520486918,3,3
