,,,,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,detection_delay,detection_delay,detection_delay,detection_delay,detection_delay,commit_delay,commit_delay,commit_delay,commit_delay,commit_delay,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_recall,malicious_recall,malicious_recall,malicious_recall,malicious_recall,benign_fpr,benign_fpr,benign_fpr,benign_fpr,benign_fpr,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,average_precision,average_precision,average_precision,average_precision,average_precision
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
stream,detector,policy,guarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,adwin,confirmed,False,0.6262815361513892,0.039720497517325454,0.556011515014676,0.7070978651447897,21,0.624967246724223,0.040249520100452844,0.5533039358854343,0.7075742756901842,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,2.2476190476190476,1.3592715135759477,0.0,4.0,21,99270.47619047618,2582.6158757942994,95000.0,102600.0,21,18.350739916183407,0.4095933004300097,17.629997839964926,19.378649040032176,21,5.0,3.597838857487151,0.6666666666666666,11.333333333333334,21,29.73333333333333,15.698842472321333,11.25,53.333333333333336,20,0.0,0.0,0.0,0.0,21,0.15873015873015872,0.29095718698132317,0.0,1.0,21,0.03301886792452825,0.028301886792452807,0.0,0.0566037735849056,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,adwin,confirmed,True,0.6547478220236912,0.03069005505699324,0.607279644895371,0.7126992179243289,21,0.653836703835171,0.030791141588666426,0.6062949557587561,0.7113067536853407,21,0.6205233244109939,0.12985413064973111,0.3907223438289274,0.8435034118671197,18,0.24624190914917354,0.04801810161960439,0.156649530454516,0.3587999548430797,21,0.30476190476190473,0.37746018396142195,0.0,1.2,21,102744.76190476191,4958.200902593218,96520.0,110200.0,21,26.90530594285755,2.3373231542714215,22.990989879984408,30.811340839974584,21,7.7936507936507935,5.587164049533728,0.6666666666666666,24.0,21,32.21875,16.666603422499055,9.5,56.5,8,0.0,0.0,0.0,0.0,21,0.8571428571428571,0.19920476822239896,0.3333333333333333,1.0,21,0.037735849056603724,0.02668327476175648,0.0,0.0566037735849056,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,adwin,immediate,False,0.5410294033747879,0.030973054562765317,0.4936723865432377,0.6018854364827732,21,0.537193638326985,0.03024148421979319,0.487079506178653,0.5989787137184158,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,17.942857142857143,11.577416440146369,4.4,34.8,21,95000.0,0.0,95000.0,95000.0,21,17.34998241141882,0.30820070888659545,16.73210583999753,17.893635600060225,21,6.555555555555555,5.019222309540851,1.0,19.666666666666668,21,6.555555555555555,5.019222309540851,1.0,19.666666666666668,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.0424528301886792,0.0283018867924528,0.0,0.0566037735849056,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,adwin,immediate,True,0.5947048206194775,0.04954827620819356,0.5357455385119152,0.7021686746987952,21,0.5923411566739157,0.050242463693985,0.5321963789998326,0.7012885393874988,21,0.41584663974391156,0.22122269371088052,0.1493960477770852,0.773862008929825,18,0.35635809119581663,0.06681043642306854,0.2294079297697311,0.469104089156368,21,5.6,5.255092767972799,0.0,16.0,21,95000.0,0.0,95000.0,95000.0,21,21.26903462476053,2.532482561019449,19.187057880032807,27.66734988000244,21,6.031746031746032,3.6906861179412185,0.6666666666666666,12.666666666666666,21,20.978070175438596,11.316226267315152,7.25,41.0,19,0.0,0.0,0.0,0.0,21,0.2698412698412698,0.3434958776891187,0.0,1.0,21,0.037735849056603724,0.02668327476175648,0.0,0.0566037735849056,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,adwin,rl,True,0.5711317552301609,0.052109407662225486,0.5038951361604118,0.6850391037835553,63,0.5683376425502539,0.0528185572603168,0.4994424592475858,0.6855197414514087,63,0.4574902884014992,0.12858024071076524,0.213268226974238,0.8075875431748617,54,0.4368320510596726,0.09252731539501169,0.1975624443238993,0.5736001083350261,63,26.93968253968254,18.345805002449907,0.0,52.400000000000006,63,95000.0,0.0,95000.0,95000.0,63,22.890082207620736,5.108655876985077,19.211952439974997,37.4775452000089,63,11.628333333333332,10.58529777151142,0.6666666666666666,67.5,50,10.544642857142858,16.885472540039643,0.6666666666666666,57.5,56,0.25396825396825395,0.4178554470186724,0.0,1.0,63,0.19047619047619047,0.3476200997395858,0.0,1.0,63,0.012578616352201241,0.02586205346574873,0.0,0.0754716981132075,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,adwin,rl_alarm,True,0.5800036655626216,0.06281893399694825,0.5064975387255566,0.7088902980342422,63,0.5773962486359564,0.06400472390125628,0.5020379528223036,0.7087114675377425,63,0.47784120871298513,0.20539748559755897,0.145019021647645,0.8394316362921569,54,0.4149000072593069,0.1393987587224892,0.1606557213880829,0.5741699458580567,63,30.95873015873016,22.44264830356757,0.0,52.400000000000006,63,95000.0,0.0,95000.0,95000.0,63,25.369017116833362,8.294887932110983,19.17634784001857,42.158632920030506,63,12.602836879432624,9.657764090932137,0.6666666666666666,34.333333333333336,47,1.7460317460317458,1.4423135656755908,0.6666666666666666,7.666666666666667,42,0.2751322751322751,0.4421342930797629,0.0,1.0,63,0.3333333333333333,0.4751909633114914,0.0,1.0,63,0.012578616352201241,0.023224809618741998,0.0,0.0566037735849056,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,d3_oof,confirmed,False,0.6632100537143651,0.026088394975744632,0.5962858433054866,0.6992601986894948,21,0.662140965445613,0.026592868039604776,0.5936499830245082,0.6990192047645076,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,0.5333333333333333,0.4066120181860508,0.0,1.2,21,96013.33333333333,772.5628345534965,95000.0,97280.0,21,18.731721649527373,0.34181679839860507,18.180376040004194,19.54763192003593,21,25.376984126984127,12.630585097064184,4.5,47.25,21,30.21111111111111,18.48757805468424,8.5,55.75,15,0.11111111111111109,0.19245008972987526,0.0,0.6666666666666666,21,0.6349206349206349,0.29636242648265626,0.0,1.0,21,0.0235849056603773,0.018064662410496916,0.0,0.0377358490566037,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,d3_oof,confirmed,True,0.6592738444638,0.021528509395975594,0.6240422958017833,0.697429718875502,21,0.6586787302544875,0.02140771151958547,0.622768711033012,0.6973233019362195,21,0.700237744460509,0.054059009168300746,0.599212426164953,0.7869220830290433,18,0.2392328368193389,0.037004053173517806,0.180722891566265,0.3235892866919849,21,0.09523809523809522,0.2155833724483186,0.0,0.7999999999999999,21,96375.23809523809,979.7531273112583,95000.0,98040.0,21,27.9221656800026,2.030224033529721,23.55312160002068,29.98263627998531,21,22.23412698412698,13.74443369775407,4.5,48.75,21,29.875,28.07245090831935,8.0,68.0,4,0.11111111111111109,0.19245008972987526,0.0,0.6666666666666666,21,0.9365079365079365,0.13412463602715946,0.6666666666666666,1.0,21,0.018867924528301827,0.01540559586656084,0.0,0.0377358490566037,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
