dataset,category,mode,level,metric,mean,sd,defined,realizations
RADAR,0,clean,none,accuracy,0.7015510745648297,0.001150620161524795,3,3
RADAR,0,clean,none,macro_f1,0.5494893664597541,0.004241263852754313,3,3
RADAR,0,clean,none,macro_recall,0.5405454458803849,0.005757053567905897,3,3
RADAR,0,clean,none,roc_auc,0.9351512119603299,0.002402665714144223,3,3
RADAR,1,instance,moderate,accuracy,0.6421541725654216,0.0190419936002027,3,3
RADAR,1,instance,moderate,macro_f1,0.4554997807968932,0.0223644889421702,3,3
RADAR,1,instance,moderate,macro_recall,0.43957017478275473,0.012995936053973188,3,3
RADAR,1,instance,moderate,roc_auc,0.7797817374411804,0.007571244427423915,3,3
RADAR,2,instance,severe,accuracy,0.6147655043948198,0.02074699938597661,3,3
RADAR,2,instance,severe,macro_f1,0.3871928876138382,0.02933091593173611,3,3
RADAR,2,instance,severe,macro_recall,0.35724147463630535,0.03298305729006244,3,3
RADAR,2,instance,severe,roc_auc,0.7773463231876031,0.0236936931896229,3,3
RADAR,3,concept,moderate,accuracy,0.6627104072184092,0.015778701965063587,3,3
RADAR,3,concept,moderate,macro_f1,0.4926781340852759,0.01669364894159411,3,3
RADAR,3,concept,moderate,macro_recall,0.4993184552868371,0.016867078814275575,3,3
RADAR,3,concept,moderate,roc_auc,0.8986602027337093,0.011890353080715869,3,3
RADAR,4,concept,severe,accuracy,0.6532112777500655,0.0047556905095268096,3,3
RADAR,4,concept,severe,macro_f1,0.4517309588828571,0.012889308348720244,3,3
RADAR,4,concept,severe,macro_recall,0.4668268216679528,0.018288802415803045,3,3
RADAR,4,concept,severe,roc_auc,0.9004584366612568,0.01300792426162766,3,3
RADAR,5,splice,moderate,accuracy,0.6871369049545075,0.007670066105916956,3,3
RADAR,5,splice,moderate,macro_f1,0.5102110757428749,0.010110749113342534,3,3
RADAR,5,splice,moderate,macro_recall,0.4962610536417335,0.01570006280869501,3,3
RADAR,5,splice,moderate,roc_auc,0.9117688366171214,0.007455692338716592,3,3
RADAR,6,splice,severe,accuracy,0.6948738942138747,0.010582991875638586,3,3
RADAR,6,splice,severe,macro_f1,0.5136399787483392,0.017704062070651106,3,3
RADAR,6,splice,severe,macro_recall,0.5117514393365529,0.011708474875970876,3,3
RADAR,6,splice,severe,roc_auc,0.9159769193261327,0.003711916018210258,3,3
RBF,0,clean,none,accuracy,0.685923262888234,0.036324823051873525,3,3
RBF,0,clean,none,macro_f1,0.6849979009620352,0.036508249428837736,3,3
RBF,0,clean,none,macro_recall,0.6848431211660801,0.03600489625417353,3,3
RBF,0,clean,none,roc_auc,0.8696593847361034,0.021781567604978593,3,3
RBF,1,instance,moderate,accuracy,0.6649036481679075,0.01487677450884566,3,3
RBF,1,instance,moderate,macro_f1,0.6635900770547398,0.01496816337986328,3,3
RBF,1,instance,moderate,macro_recall,0.6630006078454537,0.014316752430930538,3,3
RBF,1,instance,moderate,roc_auc,0.854924924145719,0.011627453057458562,3,3
RBF,2,instance,severe,accuracy,0.6509348215375623,0.016753580352045258,3,3
RBF,2,instance,severe,macro_f1,0.6494079725783796,0.01652315306746469,3,3
RBF,2,instance,severe,macro_recall,0.6486601245219146,0.014964539092593775,3,3
RBF,2,instance,severe,roc_auc,0.8447727168163169,0.01473550452555177,3,3
RBF,3,concept,moderate,accuracy,0.6717011709226609,0.016713811557525902,3,3
RBF,3,concept,moderate,macro_f1,0.6704479694965668,0.015906900617010673,3,3
RBF,3,concept,moderate,macro_recall,0.6709263967792113,0.01547988175808199,3,3
RBF,3,concept,moderate,roc_auc,0.8633034127915801,0.010360512985546471,3,3
RBF,4,concept,severe,accuracy,0.6752992534987564,0.001969384660025207,3,3
RBF,4,concept,severe,macro_f1,0.6729558543672493,0.003360238934200789,3,3
RBF,4,concept,severe,macro_recall,0.6727517636888679,0.0037262615274657974,3,3
RBF,4,concept,severe,roc_auc,0.8642124150546241,0.002360405250120964,3,3
RBF,5,splice,moderate,accuracy,0.67525153844369,0.02228682475848688,3,3
RBF,5,splice,moderate,macro_f1,0.6742169492837372,0.022416489670577466,3,3
RBF,5,splice,moderate,macro_recall,0.6741337579052527,0.021919315895687276,3,3
RBF,5,splice,moderate,roc_auc,0.8656084325558555,0.012417895532170896,3,3
RBF,6,splice,severe,accuracy,0.6887808113790838,0.0044194535195052065,3,3
RBF,6,splice,severe,macro_f1,0.6883471797664963,0.004433324995019233,3,3
RBF,6,splice,severe,macro_recall,0.6876781674649015,0.0027732400763743332,3,3
RBF,6,splice,severe,roc_auc,0.8733667628760916,0.0048569634696093295,3,3
SEA,0,clean,none,accuracy,0.8997633993689647,0.004340579065349719,3,3
SEA,0,clean,none,macro_f1,0.8891380015673663,0.005090520173289064,3,3
SEA,0,clean,none,macro_recall,0.8792103964574404,0.005796871129683188,3,3
SEA,0,clean,none,roc_auc,0.9292834096921356,0.0024878739590768304,3,3
SEA,1,instance,moderate,accuracy,0.8990591564046708,0.004162006868765526,3,3
SEA,1,instance,moderate,macro_f1,0.888488692092063,0.0049440103019862906,3,3
SEA,1,instance,moderate,macro_recall,0.8789403353716606,0.0057611919394530975,3,3
SEA,1,instance,moderate,roc_auc,0.9258156221156001,0.002332726924600758,3,3
SEA,2,instance,severe,accuracy,0.8952597431077566,0.0027174207558173682,3,3
SEA,2,instance,severe,macro_f1,0.8837993258675869,0.0031680812330020557,3,3
SEA,2,instance,severe,macro_recall,0.873082264354152,0.0034563695301924554,3,3
SEA,2,instance,severe,roc_auc,0.9232144389564532,0.00044210491751184777,3,3
SEA,3,concept,moderate,accuracy,0.8987440474761305,0.0024060738181321587,3,3
SEA,3,concept,moderate,macro_f1,0.8880574911063457,0.002835669950272301,3,3
SEA,3,concept,moderate,macro_recall,0.8782622842438189,0.003249568435977202,3,3
SEA,3,concept,moderate,roc_auc,0.92662274985611,0.0005434919205866624,3,3
SEA,4,concept,severe,accuracy,0.8986543796319163,0.003426744988613817,3,3
SEA,4,concept,severe,macro_f1,0.8880902465489928,0.004080706019058227,3,3
SEA,4,concept,severe,macro_recall,0.8786737826549135,0.004788558327780139,3,3
SEA,4,concept,severe,roc_auc,0.9252434420433436,0.0029453548578087063,3,3
SEA,5,splice,moderate,accuracy,0.8989435861197729,0.003815809253079189,3,3
SEA,5,splice,moderate,macro_f1,0.8885372892616653,0.004578360246200221,3,3
