condition,stream,mode,level,activation_row,host_rows
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,1000,236550
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,1000,177198
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,1000,200920
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,1000,200990
SEA_A__base_s1__concept__moderate__a1,SEA_A,concept,moderate,1000,200912
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,1000,236550
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,1000,236550
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,1000,236550
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,1000,177145
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,1000,236550
SEA_A__base_s1__concept__severe__a1,SEA_A,concept,severe,1000,177130
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,1000,236550
SEA_A__base_s1__splice__moderate__a1,SEA_A,splice,moderate,1000,200970
SEA_A__base_s2__splice__moderate__a2,SEA_A,splice,moderate,1000,200900
SEA_A__base_s2__clean__none__anone,SEA_A,clean,none,1000,236550
SEA_A__base_s2__splice__severe__a2,SEA_A,splice,severe,1000,177115
SEA_A__base_s1__splice__severe__a1,SEA_A,splice,severe,1000,177153
SEA_A__base_s2__concept__moderate__a2,SEA_A,concept,moderate,1000,200914
SEA_A__base_s2__concept__severe__a2,SEA_A,concept,severe,1000,177165
SEA_A__base_s2__instance__moderate__a2,SEA_A,instance,moderate,1000,236550
SEA_A__base_s2__instance__severe__a2,SEA_A,instance,severe,1000,236550
RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,1000,236550
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,1000,236550
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,1000,236550
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,1000,177127
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,1000,236550
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,1000,236550
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,1000,200943
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,1000,200909
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,1000,177086
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,1000,236550
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,1000,201008
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,1000,177191
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,1000,200920
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,1000,177196
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,1000,236550
RBF_I__base_s2__instance__moderate__a2,RBF_I,instance,moderate,1000,236550
RBF_I__base_s2__concept__moderate__a2,RBF_I,concept,moderate,1000,200860
RBF_I__base_s2__concept__severe__a2,RBF_I,concept,severe,1000,177144
RBF_I__base_s2__splice__severe__a2,RBF_I,splice,severe,1000,177160
RBF_I__base_s2__splice__moderate__a2,RBF_I,splice,moderate,1000,200871
RBF_I__base_s2__instance__severe__a2,RBF_I,instance,severe,1000,236550
radar__clean__none__anone,radar,clean,none,340000,76356
radar__instance__severe__a0,radar,instance,severe,340000,76356
radar__instance__severe__a1,radar,instance,severe,340000,76356
radar__instance__moderate__a1,radar,instance,moderate,340000,76356
radar__instance__moderate__a2,radar,instance,moderate,340000,76356
radar__instance__moderate__a0,radar,instance,moderate,340000,76356
radar__instance__severe__a2,radar,instance,severe,340000,76356
radar__concept__moderate__a0,radar,concept,moderate,340000,64906
radar__splice__moderate__a1,radar,splice,moderate,340000,65400
radar__splice__moderate__a0,radar,splice,moderate,340000,65615
radar__splice__moderate__a2,radar,splice,moderate,340000,62754
radar__splice__severe__a2,radar,splice,severe,340000,56492
radar__concept__moderate__a1,radar,concept,moderate,340000,64553
radar__splice__severe__a0,radar,splice,severe,340000,57322
radar__splice__severe__a1,radar,splice,severe,340000,58224
radar__concept__severe__a0,radar,concept,severe,340000,58270
radar__concept__moderate__a2,radar,concept,moderate,340000,66349
radar__concept__severe__a2,radar,concept,severe,340000,55932
radar__concept__severe__a1,radar,concept,severe,340000,57400
