condition,stream,mode,level,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,adwin,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.23927808299958997
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,adwin,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.2179978750009468
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hddm_w,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.08477574899916362
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hddm_w,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.07157899900084885
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hellinger,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.04310966600132815
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hellinger,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.013806042001306196
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,d3_oof,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.14743683400229202
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,d3_oof,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.23163216700049905
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,adwin,rows,0.0073082088962630465,0.007847122581756572,0.007246267578530863,0.003778717525142139,-0.6344689311227928,-0.2609792435580537,0.7504380644291684,-0.2513572387950202,0,0.1329334160000144
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,adwin,blocks,-0.010333073736723875,-0.013091449244266085,-0.01651877575904903,-0.010510944958952995,-0.1554960237228737,-0.0949728552240996,0.2069348968863728,-0.0693122947211594,0,0.518834875998436
