protocol,condition,mode,level,attack_seed,host_rows,classes_present,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,always_goodware_accuracy,always_goodware_macro_f1,always_goodware_malicious_recall,always_goodware_benign_fpr,mask_sha256
filter_suffix,radar__clean__none__anone,clean,none,,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__instance__moderate__a0,instance,moderate,0.0,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__instance__moderate__a1,instance,moderate,1.0,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__instance__moderate__a2,instance,moderate,2.0,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__instance__severe__a0,instance,severe,0.0,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__instance__severe__a1,instance,severe,1.0,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__instance__severe__a2,instance,severe,2.0,76356,8,9760,1934,39,17,107,1373,265,62861,0.8232620881135733,0.11288312490572272,0.0,0.0,
filter_suffix,radar__concept__moderate__a0,concept,moderate,0.0,64906,8,8339,1418,38,14,98,1369,265,53365,0.8221890118016825,0.11280237759044906,0.0,0.0,
filter_suffix,radar__concept__moderate__a1,concept,moderate,1.0,64553,8,8791,1490,33,12,88,1132,265,52742,0.8170340650318343,0.11241314634042372,0.0,0.0,
filter_suffix,radar__concept__moderate__a2,concept,moderate,2.0,66349,8,9021,1679,39,15,89,839,235,54432,0.8203891543203364,0.11266672738261813,0.0,0.0,
filter_suffix,radar__concept__severe__a0,concept,severe,0.0,58270,8,6721,1605,36,11,62,1274,265,48296,0.8288313025570619,0.11330067751440422,0.0,0.0,
filter_suffix,radar__concept__severe__a1,concept,severe,1.0,57400,8,7559,1472,38,15,72,1138,265,46841,0.8160452961672474,0.11233823543519345,0.0,0.0,
filter_suffix,radar__concept__severe__a2,concept,severe,2.0,55932,8,7633,1322,30,8,98,1373,172,45296,0.8098405206321962,0.11186628205634805,0.0,0.0,
filter_suffix,radar__splice__moderate__a0,splice,moderate,0.0,65615,8,7783,1451,29,10,79,1373,258,54632,0.8326144936371257,0.11358287524844694,0.0,0.0,
filter_suffix,radar__splice__moderate__a1,splice,moderate,1.0,65400,8,7468,1675,29,13,93,1367,265,54490,0.8331804281345566,0.11362498957377597,0.0,0.0,
filter_suffix,radar__splice__moderate__a2,splice,moderate,2.0,62754,8,7952,1591,34,17,100,895,265,51900,0.827038913854097,0.113166570725836,0.0,0.0,
filter_suffix,radar__splice__severe__a0,splice,severe,0.0,57322,8,8088,1206,30,7,79,900,210,46802,0.8164753497784446,0.11237082709077638,0.0,0.0,
filter_suffix,radar__splice__severe__a1,splice,severe,1.0,58224,8,7338,1787,29,14,101,896,265,47794,0.8208642484198956,0.11270255994265124,0.0,0.0,
filter_suffix,radar__splice__severe__a2,splice,severe,2.0,56492,8,8304,1531,15,14,93,926,215,45394,0.8035474049422927,0.11138429224819897,0.0,0.0,
original_common_mask,radar_cohort_0,clean,none,0.0,186302,8,14931,9771,13839,15556,9887,16925,9596,95797,0.5142027460789471,0.08489661430916097,0.0,0.0,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580
original_common_mask,radar_cohort_1,clean,none,1.0,186081,8,15143,10696,11279,15255,11505,17871,9508,94824,0.5095845357666823,0.08439152026485823,0.0,0.0,48157e0cb429fe7d7f043f5511c93e7a12be6ee0552bcaa57753748c893ed2d7
original_common_mask,radar_cohort_2,clean,none,2.0,191161,8,17019,11731,12214,15488,12247,18969,8502,94991,0.4969162119888471,0.08298998434398501,0.0,0.0,e0cc6af06256f2065fdea583aad7b1391405b98a3b92be73622a362eddf64e4e
