dataset,base_key,attack_seed,category,metric,error_aware_minus_alarm
RADAR,radar,0,0,accuracy,1.2705177614840473
RADAR,radar,0,0,macro_f1,3.2171523160872626
RADAR,radar,0,0,macro_recall,4.0030602472536145
RADAR,radar,0,0,roc_auc,-0.0024486935181288194
RADAR,radar,0,1,accuracy,0.8153428304580768
RADAR,radar,0,1,macro_f1,-0.00819453339503351
RADAR,radar,0,1,macro_recall,-0.48866025905585087
RADAR,radar,0,1,roc_auc,0.026683611831447518
RADAR,radar,0,2,accuracy,0.18339398753993708
RADAR,radar,0,2,macro_f1,2.7455176624799957
RADAR,radar,0,2,macro_recall,2.5142025145685922
RADAR,radar,0,2,roc_auc,-0.006041243789724593
RADAR,radar,0,3,accuracy,4.13951541046258
RADAR,radar,0,3,macro_f1,6.943251973623693
RADAR,radar,0,3,macro_recall,7.063694632643958
RADAR,radar,0,3,roc_auc,0.03673486619218458
RADAR,radar,0,4,accuracy,2.9763502270506947
RADAR,radar,0,4,macro_f1,4.01615978504185
RADAR,radar,0,4,macro_recall,4.690350025295243
RADAR,radar,0,4,roc_auc,0.02542796476838216
RADAR,radar,0,5,accuracy,-1.0642218906220298
RADAR,radar,0,5,macro_f1,-0.16269364535404485
RADAR,radar,0,5,macro_recall,-0.3176418719278038
RADAR,radar,0,5,roc_auc,-0.025660655347688577
RADAR,radar,0,6,accuracy,-1.912844020282467
RADAR,radar,0,6,macro_f1,-1.809971626532053
RADAR,radar,0,6,macro_recall,-2.740065535975067
RADAR,radar,0,6,roc_auc,-0.01951491246900794
RADAR,radar,1,0,accuracy,1.39544965185413
RADAR,radar,1,0,macro_f1,2.881641956443093
RADAR,radar,1,0,macro_recall,3.121081737884118
RADAR,radar,1,0,roc_auc,0.0031158482082451755
RADAR,radar,1,1,accuracy,2.068095793408964
RADAR,radar,1,1,macro_f1,4.379254909542696
RADAR,radar,1,1,macro_recall,4.464696769227156
RADAR,radar,1,1,roc_auc,0.004415743212530021
RADAR,radar,1,2,accuracy,-0.5757349398022082
RADAR,radar,1,2,macro_f1,-0.22348129499420466
