epoch,condition,seed,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__splice__severe,17,31.46,57000,20,4,0.1
0,SEA_A__s112__splice__severe,17,54.1,57000,29,4,0.1
0,RBF_I__s112__instance__severe,17,30.06,57000,31,4,0.1
0,SEA_A__s112__concept__severe,17,54.0,57000,9,4,0.1
0,RBF_I__s112__splice__moderate,17,32.72,57000,18,4,0.1
0,RBF_I__s112__clean__none,17,32.72,57000,27,4,0.1
0,RBF_I__s112__instance__moderate,17,32.14,57000,26,4,0.1
0,SEA_A__s112__instance__moderate,17,54.339999999999996,57000,27,4,0.1
0,SEA_A__s112__clean__none,17,54.28,57000,37,4,0.1
0,RBF_I__s112__concept__moderate,17,32.660000000000004,57000,18,4,0.1
0,SEA_A__s112__instance__severe,17,54.1,57000,28,4,0.1
0,RBF_I__s112__concept__severe,17,32.04,57000,18,4,0.1
0,SEA_A__s112__splice__moderate,17,54.02,57000,35,4,0.1
0,SEA_A__s112__concept__moderate,17,54.019999999999996,57000,17,4,0.1
1,RBF_I__s112__splice__severe,17,31.76,57000,18,4,0.1
1,SEA_A__s112__instance__severe,17,54.1,57000,29,4,0.1
1,SEA_A__s112__concept__moderate,17,53.66,57000,14,4,0.1
1,RBF_I__s112__instance__moderate,17,31.38,57000,31,4,0.1
1,SEA_A__s112__clean__none,17,54.48,57000,5,4,0.1
1,SEA_A__s112__splice__moderate,17,54.14,57000,4,4,0.1
1,RBF_I__s112__splice__moderate,17,32.04,57000,6,4,0.1
1,SEA_A__s112__splice__severe,17,54.14,57000,5,4,0.1
1,RBF_I__s112__clean__none,17,32.4,57000,5,4,0.1
1,RBF_I__s112__concept__severe,17,32.58,57000,5,4,0.1
1,RBF_I__s112__concept__moderate,17,32.46,57000,6,4,0.1
1,SEA_A__s112__concept__severe,17,53.94,57000,6,4,0.1
1,RBF_I__s112__instance__severe,17,30.080000000000002,57000,33,4,0.1
1,SEA_A__s112__instance__moderate,17,54.56,57000,7,4,0.1
2,SEA_A__s112__instance__severe,17,53.66,57000,6,4,0.1
2,SEA_A__s112__clean__none,17,54.38,57000,6,4,0.1
2,RBF_I__s112__splice__severe,17,32.36,57000,4,4,0.1
2,RBF_I__s112__concept__severe,17,31.72,57000,19,4,0.1
2,RBF_I__s112__clean__none,17,32.56,57000,8,4,0.1
2,SEA_A__s112__concept__severe,17,54.0,57000,7,4,0.1
2,RBF_I__s112__concept__moderate,17,32.54,57000,21,4,0.1
2,SEA_A__s112__instance__moderate,17,54.32,57000,28,4,0.1
2,SEA_A__s112__splice__severe,17,54.1,57000,30,4,0.1
2,RBF_I__s112__splice__moderate,17,33.08,57000,15,4,0.1
2,SEA_A__s112__concept__moderate,17,53.98,57000,15,4,0.1
2,SEA_A__s112__splice__moderate,17,54.14,57000,33,4,0.1
2,RBF_I__s112__instance__severe,17,29.94,57000,32,4,0.1
2,RBF_I__s112__instance__moderate,17,31.92,57000,9,4,0.1
3,SEA_A__s112__concept__moderate,17,54.06,57000,13,4,0.1
3,SEA_A__s112__splice__severe,17,54.06,57000,31,4,0.1
3,RBF_I__s112__clean__none,17,32.84,57000,29,4,0.1
3,RBF_I__s112__splice__moderate,17,32.8,57000,17,4,0.1
3,RBF_I__s112__splice__severe,17,30.94,57000,23,4,0.1
3,RBF_I__s112__instance__severe,17,30.28,57000,33,4,0.1
3,RBF_I__s112__instance__moderate,17,32.34,57000,7,4,0.1
3,RBF_I__s112__concept__moderate,17,33.36,57000,7,4,0.1
3,RBF_I__s112__concept__severe,17,31.8,57000,0,4,0.1
3,SEA_A__s112__instance__severe,17,53.52,57000,2,4,0.1
3,SEA_A__s112__splice__moderate,17,54.24,57000,3,4,0.1
3,SEA_A__s112__clean__none,17,54.28,57000,3,4,0.1
3,SEA_A__s112__concept__severe,17,53.72,57000,5,4,0.1
3,SEA_A__s112__instance__moderate,17,54.22,57000,1,4,0.1
