dataset,category,mode,level,metric,mean,sd,defined,realizations
RBF,0,clean,none,accuracy,0.685923262888234,0.0363248230518735,3,3
RBF,0,clean,none,macro_f1,0.6849979009620352,0.0365082494288377,3,3
RBF,0,clean,none,macro_recall,0.6848431211660801,0.0360048962541735,3,3
RBF,0,clean,none,roc_auc,0.8696593847361034,0.0217815676049785,3,3
RBF,1,instance,moderate,accuracy,0.6649036481679075,0.0148767745088456,3,3
RBF,1,instance,moderate,macro_f1,0.6635900770547398,0.0149681633798632,3,3
RBF,1,instance,moderate,macro_recall,0.6630006078454537,0.0143167524309305,3,3
RBF,1,instance,moderate,roc_auc,0.854924924145719,0.0116274530574585,3,3
RBF,2,instance,severe,accuracy,0.6509348215375623,0.0167535803520452,3,3
RBF,2,instance,severe,macro_f1,0.6494079725783796,0.0165231530674646,3,3
RBF,2,instance,severe,macro_recall,0.6486601245219146,0.0149645390925937,3,3
RBF,2,instance,severe,roc_auc,0.8447727168163169,0.0147355045255517,3,3
RBF,3,concept,moderate,accuracy,0.6717011709226609,0.0167138115575259,3,3
RBF,3,concept,moderate,macro_f1,0.6704479694965668,0.0159069006170106,3,3
RBF,3,concept,moderate,macro_recall,0.6709263967792113,0.0154798817580819,3,3
RBF,3,concept,moderate,roc_auc,0.8633034127915801,0.0103605129855464,3,3
RBF,4,concept,severe,accuracy,0.6752992534987564,0.0019693846600252,3,3
RBF,4,concept,severe,macro_f1,0.6729558543672493,0.0033602389342007,3,3
RBF,4,concept,severe,macro_recall,0.6727517636888679,0.0037262615274657,3,3
RBF,4,concept,severe,roc_auc,0.8642124150546241,0.0023604052501209,3,3
RBF,5,splice,moderate,accuracy,0.67525153844369,0.0222868247584868,3,3
RBF,5,splice,moderate,macro_f1,0.6742169492837372,0.0224164896705774,3,3
RBF,5,splice,moderate,macro_recall,0.6741337579052527,0.0219193158956872,3,3
RBF,5,splice,moderate,roc_auc,0.8656084325558555,0.0124178955321708,3,3
RBF,6,splice,severe,accuracy,0.6887808113790838,0.0044194535195052,3,3
RBF,6,splice,severe,macro_f1,0.6883471797664963,0.0044333249950192,3,3
RBF,6,splice,severe,macro_recall,0.6876781674649015,0.0027732400763743,3,3
RBF,6,splice,severe,roc_auc,0.8733667628760916,0.0048569634696093,3,3
